selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,url,doi,arxiv,venue,authors,abstract
11,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",AI and nuclear decision-making paper focused on deterrence logic and inadvertent escalation.,5142d912986ab1e0d7e166f2c143ec25de99525b,Waltzing into uncertainty: AI in nuclear decision making and the challenge of divergent deterrence logics,2026,1,1,40.31,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/5142d912986ab1e0d7e166f2c143ec25de99525b,10.1017/cfl.2025.10021,,Law and Governance,Luba Zatsepina,"This article critically examines the integration of artificial intelligence (AI) into nuclear decision-making processes and its implications for deterrence strategies in the Third Nuclear Age. While realist deterrence logic assumes that the threat of mutual destruction compels rational actors to act cautiously, AI disrupts this by adding speed, opacity and algorithmic biases to decision-making processes. The article focuses on the case of Russia to explore how different understandings of deterrence among nuclear powers could increase the risk of misperceptions and inadvertent escalation in an AI-influenced strategic environment. I argue that AI does not operate in a conceptual vacuum: the effects of its integration depend on the strategic assumptions guiding its use. As such, divergent interpretations of deterrence may render AI-supported decision making more unpredictable, particularly in high-stakes nuclear contexts. I also consider how these risks intersect with broader arms race dynamics. Specifically, the pursuit of AI-enabled capabilities by global powers is not only accelerating military modernisation but also intensifying the security dilemma, as each side fears falling behind. In light of these challenges, this article calls for greater attention to conceptual divergence in deterrence thinking, alongside transparency protocols and confidence-building measures aimed at mitigating misunderstandings and promoting stability in an increasingly automated military landscape."
12,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Recent political-forecasting paper kept for review because it is relevant but currently low-signal.,3c6f7f8d9918e0858325522de2fe3be56d167046,Artificial Intelligence in Political Forecasting: Possibilities and Limitations,2026,0,1,39.8,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/3c6f7f8d9918e0858325522de2fe3be56d167046,10.22363/2313-1438-2026-28-1-129-148,,RUDN Journal of Political Science,S. Fedorchenko,"The purpose of the study is to identify the possibilities and limitations of artificial intelligence technologies in political forecasting. The principles of simplified factor analysis, as well as critical discourse analysis of academic literature devoted to the use of AI in political forecasting, served as methodological tools. The analysis showed the inconsistency of the introduction of intelligent systems in the field of modern political forecasting. Firstly, among the trigger factors contributing to the development of political AI prognostics, the following were identified: the ability to process huge amounts of information about politics using AI; working out the reliability of future decisions in the field of domestic and foreign policy; high predictive potentials of neural networks with high-quality organization of training and testing; modeling the political behavior of individuals and social groups; identification of precursor of political events by neural networks. Secondly, the stop factors hindering the development of political AI forecasting include: the effect of «poisoning data» due to its inaccuracy, marginality and unreliability; value bias of intelligent systems; substitution of political forecasting by over-fitting data; imperfection of existing political theories used in conjunction with machine learning; tendency of AI to escalation political modeling. The conclusions indicate that the most important trigger factors include the search for hidden political patterns, as well as the hybridization of machine and traditional political forecasting capabilities. It is emphasized that the prospects of the factor of searching for hidden political patterns can balance and exceed the serious risks of the «black box» effect only in combination with the factor of the possibility of hybridization, corresponding to the parameter of the combining the potentials of all three types of forecasting - trend (mathematical), analytical modeling and expertise."
13,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Deliberation, persuasion, and information environments",Dynamic adversarial policy-debate study of LLM confidence updating.,bf5582762ab423c157ff64b3c66d2dbe3d13476f,"When Two LLMs Debate, Both Think They'll Win",2025,1,1,39.51,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/bf5582762ab423c157ff64b3c66d2dbe3d13476f,10.48550/arXiv.2505.19184,2505.19184,arXiv.org,Pradyumna Shyama Prasad; Minh Nhat Nguyen,"Can LLMs accurately adjust their confidence when facing opposition? Building on previous studies measuring calibration on static fact-based question-answering tasks, we evaluate Large Language Models (LLMs) in a dynamic, adversarial debate setting, uniquely combining two realistic factors: (a) a multi-turn format requiring models to update beliefs as new information emerges, and (b) a zero-sum structure to control for task-related uncertainty, since mutual high-confidence claims imply systematic overconfidence. We organized 60 three-round policy debates among ten state-of-the-art LLMs, with models privately rating their confidence (0-100) in winning after each round. We observed five concerning patterns: (1) Systematic overconfidence: models began debates with average initial confidence of 72.9% vs. a rational 50% baseline. (2) Confidence escalation: rather than reducing confidence as debates progressed, debaters increased their win probabilities, averaging 83% by the final round. (3) Mutual overestimation: in 61.7% of debates, both sides simultaneously claimed>=75% probability of victory, a logical impossibility. (4) Persistent self-debate bias: models debating identical copies increased confidence from 64.1% to 75.2%; even when explicitly informed their chance of winning was exactly 50%, confidence still rose (from 50.0% to 57.1%). (5) Misaligned private reasoning: models' private scratchpad thoughts sometimes differed from their public confidence ratings, raising concerns about faithfulness of chain-of-thought reasoning. These results suggest LLMs lack the ability to accurately self-assess or update their beliefs in dynamic, multi-turn tasks; a major concern as LLMs are now increasingly deployed without careful review in assistant and agentic roles. Code for our experiments is available at https://github.com/pradyuprasad/llms_overconfidence"
14,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Direct comparison of human and synthetic LLM personas in political simulation.,0786bcdbaca4f7c15870a5b54d56e76b2ff7a0dc,Do we Still Need People? Comparing Human and LLM Personas in Political Modeling and Simulation,2025,1,1,38.51,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/0786bcdbaca4f7c15870a5b54d56e76b2ff7a0dc,10.1109/MODELS-C68889.2025.00074,,2025 ACM/IEEE 28th International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),Stephen Zhong; Nathalie Japkowicz; P. Giabbanelli,"Recent enthusiasm for using Large Language Models (LLMs) in survey research has raised a critical question: can synthetic personas replace human participants? Our study addresses this question by embedding LLM personas in a hybrid agent-based simulation, then evaluating how their behavior evolves in response to political messages over time. We find that while more sophisticated LLMs generally outperform their smaller or distilled counterparts as expected, the commonly assumed improvement of prompting for reasoning does not consistently enhance realism and can sometimes degrade it. Crucially, our simulation approach compares the dominant approach of using LLMs to answer questions at a single point in time with a longitudinal perspective, as behaviors change over time in our computational model. We show that this dynamic context plays an important mediating role depending on the LLM and the prompt, e.g. small initial divergences can be amplified or wide gaps in the quality of synthetic personas can be smoothened. Our work highlights the importance of evaluating LLM personas not only on static survey alignment but also on their dynamic behavior under social influence, where simulation rules, LLMs, and prompt choices interact in complex, non-linear ways. Our findings call for greater methodological care in how personas are constructed, validated, and deployed within hybrid simulations."
15,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,Direct democratic-deliberation and opinion-aggregation evaluation with fairness concerns.,29ecbb1c2fde56565ea283fb292f17dce21b2f0c,Can AI Truly Represent Your Voice in Deliberations? A Comprehensive Study of Large-Scale Opinion Aggregation with LLMs,2025,3,1,37.01,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/29ecbb1c2fde56565ea283fb292f17dce21b2f0c,10.48550/arXiv.2510.05154,2510.05154,arXiv.org,Shenzhe Zhu; Shu Yang; Michiel A. Bakker; A. Pentland; Jiaxin Pei,"Large-scale public deliberations generate thousands of free-form contributions that must be synthesized into representative and neutral summaries for policy use. While LLMs have been shown as a promising tool to generate summaries for large-scale deliberations, they also risk underrepresenting minority perspectives and exhibiting bias with respect to the input order, raising fairness concerns in high-stakes contexts. Studying and fixing these issues requires a comprehensive evaluation at a large scale, yet current practice often relies on LLMs as judges, which show weak alignment with human judgments. To address this, we present DeliberationBank, a large-scale human-grounded dataset with (1) opinion data spanning ten deliberation questions created by 3,000 participants and (2) summary judgment data annotated by 4,500 participants across four dimensions (representativeness, informativeness, neutrality, policy approval). Using these datasets, we train DeliberationJudge, a fine-tuned DeBERTa model that can rate deliberation summaries from individual perspectives. DeliberationJudge is more efficient and more aligned with human judgements compared to a wide range of LLM judges. With DeliberationJudge, we evaluate 18 LLMs and reveal persistent weaknesses in deliberation summarization, especially underrepresentation of minority positions. Our framework provides a scalable and reliable way to evaluate deliberation summarization, helping ensure AI systems are more representative and equitable for policymaking."
16,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",Evaluates ideology-conditioned LLM behavior for moderation and fairness.,0673fa71acff0a399f2996615c4d8c11f70bf371,Ideology-Based LLMs for Content Moderation,2025,1,1,36.51,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/0673fa71acff0a399f2996615c4d8c11f70bf371,10.1145/3810946,2510.25805,ACM Transactions on Intelligent Systems and Technology,Stefano Civelli; Pietro Bernardelle; Nardiena Pratama; Gianluca Demartini,"Large language models (LLMs) are increasingly used in content moderation systems, where ensuring fairness and objectivity is essential. In this study, we examine how persona adoption influences the consistency and fairness of harmful content classification across different LLM architectures, model sizes, and content modalities (i.e., language vs. vision). At first glance, headline performance metrics suggest that personas have little impact on overall classification accuracy. However, a closer analysis reveals important behavioral shifts. Personas with different ideological leanings display distinct propensities to label content as harmful, showing that the lens through which a model “views” input can subtly shape its judgments. Agreement analyses highlight that models, particularly larger ones, tend to align more closely with personas from the same political ideology, strengthening within-ideology consistency while widening divergence across ideological groups. To show this effect more directly, we conducted a study on a politically targeted task, which confirmed that personas not only behave more coherently within their own ideology but also exhibit a tendency to defend their perspective while downplaying harmfulness in opposing views. Together, these findings highlight how persona conditioning can introduce subtle ideological biases into LLM outputs, raising concerns about the use of AI systems that may reinforce partisan perspectives under the guise of neutrality."
17,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,AI-assisted resort-to-force decision paper focused on the human-machine integration layer.,c42b49463eb7a3d63a4d40aa9fff463c4f2b56a5,Integrators at War: Mediating in AI-assisted Resort-to-Force Decisions,2025,5,1,35.89,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/c42b49463eb7a3d63a4d40aa9fff463c4f2b56a5,10.1017/cfl.2025.10030,2501.06861,Law and Governance,Dennis Müller; Maurice Chiodo; Mitja Sienknecht,"The integration of AI systems into the military domain is changing the way war-related decisions are made. It binds together three disparate groups of actors – developers, integrators, and users – and creates a relationship between these groups and the machine, embedded in the (pre-)existing organisational and system structures. In this article, we focus on the important, but often neglected, group of integrators within such a socio-technical system. In complex human–machine configurations, integrators carry responsibility for linking the disparate groups of developers and users in the political and military system. To act as the mediating group requires a deep understanding of the other groups’ activities, perspectives and norms. We thus ask which challenges and shortcomings emerge from integrating AI systems into resort-to-force (RtF) decision-making processes, and how to address them. To answer this, we proceed in three steps. First, we conceptualise the relationship between different groups of actors and AI systems as a socio-technical system. Second, we identify challenges within such systems for human–machine teaming in RtF decisions. We focus on challenges that arise (a) from the technology itself, (b) from the integrators’ role in the socio-technical system and (c) from the human–machine interaction. Third, we provide policy recommendations to address these shortcomings when integrating AI systems into RtF decision-making structures."
18,Curated,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,LLM bridge paper for validated large-scale parliamentary text analysis.,7fb6820f4dd56bece31a63bc8d19e9d249c83b24,LLM Analysis of 150+ years of German Parliamentary Debates on Migration Reveals Shift from Post-War Solidarity to Anti-Solidarity in the Last Decade,2025,0,1,35.0,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/7fb6820f4dd56bece31a63bc8d19e9d249c83b24,10.48550/arXiv.2509.07274,2509.07274,arXiv.org,A. Kostikova; Ole Pütz; Steffen Eger; Olga Sabelfeld; Benjamin Paaßen,"Migration has been a core topic in German political debate, from the postwar displacement of millions of expellees to labor migration and recent refugee movements. Studying political speech across such wide-ranging phenomena in depth has traditionally required extensive manual annotation, limiting analysis to small subsets of the data. Large language models (LLMs) offer a potential way to overcome this constraint. Using a theory-driven annotation scheme, we examine how well LLMs annotate subtypes of solidarity and anti-solidarity in German parliamentary debates and whether the resulting labels support valid downstream inference. We first provide a comprehensive evaluation of multiple LLMs, analyzing the effects of model size, prompting strategies, fine-tuning, historical versus contemporary data, and systematic error patterns. We find that the strongest models, especially GPT-5 and gpt-oss-120B, achieve human-level agreement on this task, although their errors remain systematic and bias downstream results. To address this issue, we combine soft-label model outputs with Design-based Supervised Learning (DSL) to reduce bias in long-term trend estimates. Beyond the methodological evaluation, we interpret the resulting annotations from a social-scientific perspective to trace trends in solidarity and anti-solidarity toward migrants in postwar and contemporary Germany. Our approach shows relatively high levels of solidarity in the postwar period, especially in group-based and compassionate forms, and a marked rise in anti-solidarity since 2015, framed through exclusion, undeservingness, and resource burden. We argue that LLMs can support large-scale social-scientific text analysis, but only when their outputs are rigorously validated and statistically corrected."
19,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,Benchmark for parliamentary speech generation and political authenticity.,c613fceaa22fb40d71427f3b8f5dc2875b53418e,ParliaBench: An Evaluation and Benchmarking Framework for LLM-Generated Parliamentary Speech,2025,0,1,35.0,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/c613fceaa22fb40d71427f3b8f5dc2875b53418e,10.48550/arXiv.2511.08247,2511.08247,arXiv.org,Marios Koniaris; Argyro Tsipi; P. Tsanakas,"Parliamentary speech generation presents specific challenges for large language models beyond standard text generation tasks. Unlike general text generation, parliamentary speeches require not only linguistic quality but also political authenticity and ideological consistency. Current language models lack specialized training for parliamentary contexts, and existing evaluation methods focus on standard NLP metrics rather than political authenticity. To address this, we present ParliaBench, a benchmark for parliamentary speech generation. We constructed a dataset of speeches from UK Parliament to enable systematic model training. We introduce an evaluation framework combining computational metrics with LLM-as-a-judge assessments for measuring generation quality across three dimensions: linguistic quality, semantic coherence, and political authenticity. We propose two novel embedding-based metrics, Political Spectrum Alignment and Party Alignment, to quantify ideological positioning. We fine-tuned five large language models (LLMs), generated 28k speeches, and evaluated them using our framework, comparing baseline and fine-tuned models. Results show that fine-tuning produces statistically significant improvements across the majority of metrics and our novel metrics demonstrate strong discriminative power for political dimensions."
20,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Election-interference paper on GenAI/LLM misuse with direct democratic-risk relevance.,4af68a3cc8871dfe6fe68f91b93cfd17d81076f7,Charting the Landscape of Nefarious Uses of Generative Artificial Intelligence for Online Election Interference,2024,14,1,34.08,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/4af68a3cc8871dfe6fe68f91b93cfd17d81076f7,10.48550/arXiv.2406.01862,2406.01862,First Monday,Emilio Ferrara,"Generative artificial intelligence (GenAI) and large language models (LLMs) pose significant risks, particularly in the realm of online election interference. This paper explores the nefarious applications of GenAI, highlighting their potential to disrupt democratic processes through deepfakes, botnets, targeted misinformation campaigns, and synthetic identities. By examining recent case studies and public incidents, we illustrate how malicious actors exploit these technologies to try influencing voter behavior, spread disinformation, and undermine public trust in electoral systems. This paper also discusses the societal implications of these threats, emphasizing the urgent need for robust mitigation strategies and international cooperation to safeguard democratic integrity."
21,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",Political-bias audit of LLM-generated citations and source preferences.,8be09e69ebbcfbcfa93c912146ed8ea9cb665862,Media Source Matters More Than Content: Unveiling Political Bias in LLM-Generated Citations,2025,4,1,29.49,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/8be09e69ebbcfbcfa93c912146ed8ea9cb665862,10.18653/v1/2025.emnlp-main.872,,Conference on Empirical Methods in Natural Language Processing,Sunhao Dai; Zhanshuo Cao; Wenjie Wang; Liang Pang; Jun Xu; See-Kiong Ng; Tat-Seng Chua,","
22,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,"LLM-agent simulation of misinformation vulnerability, trust, polarization, and susceptibility.",7f571dcc44b2a48e2d649654847b40db50dbb7ca,Simulating Misinformation Vulnerabilities with Agent Personas,2025,1,1,27.51,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/7f571dcc44b2a48e2d649654847b40db50dbb7ca,10.1109/WSC68292.2025.11338973,2511.04697,Online World Conference on Soft Computing in Industrial Applications,David Farr; L. Ng; Stephen Prochaska; Iain J. Cruickshank; Jevin West,"Disinformation campaigns can distort public perception and destabilize institutions. Understanding how different populations respond to information is crucial for designing effective interventions, yet real-world experimentation is impractical and ethically challenging. To address this, we develop an agent-based simulation using Large Language Models (LLMs) to model responses to misinformation. We construct agent personas spanning five professions and three mental schemas, and evaluate their reactions to news headlines. Our findings show that LLM-generated agents align closely with ground-truth labels and human predictions, supporting their use as proxies for studying information responses. We also find that mental schemas, more than professional background, influence how agents interpret misinformation. This work provides a validation of LLMs to be used as agents in an agent-based model of an information network for analyzing trust, polarization, and susceptibility to deceptive content in complex social systems."
23,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",National security applications and doctrine,Direct governance paper for AI-enabled strategic intelligence and nation-state competition.,6861e45debde68847573e423ea816f02a050a6f8,Governing Automated Strategic Intelligence,2025,0,1,27.0,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/6861e45debde68847573e423ea816f02a050a6f8,10.48550/arXiv.2509.17087,2509.17087,arXiv.org,Nicholas Kruus; Madhavendra Thakur; Adam Khoja; Leonhard Nagel; Maximilian Nicholson; Abeer Sharma; J. Hausenloy; Alberto KoTafoya; A. Mukhanova; Alli Katila-Miikkulainen; Harish Chandran; Ivan Zhang; Jessie Chen; J. Raj; Jord Nguyen; Lai Hsien Hao; Neja Jayasundara; Soham Sen; Sophie Zhang; Ashley Dora Kokui Tamaklo; B. Thakur; H. Close; Janghee Lee; Nina Sefton; R. Thakur; Shiv Munagala; Yeeun Kim,"Military and economic strategic competitiveness between nation-states will increasingly be defined by the capability and cost of their frontier artificial intelligence models. Among the first areas of geopolitical advantage granted by such systems will be in automating military intelligence. Much discussion has been devoted to AI systems enabling new military modalities, such as lethal autonomous weapons, or making strategic decisions. However, the ability of a country of""CIA analysts in a data-center""to synthesize diverse data at scale, and its implications, have been underexplored. Multimodal foundation models appear on track to automate strategic analysis previously done by humans. They will be able to fuse today's abundant satellite imagery, phone-location traces, social media records, and written documents into a single queryable system. We conduct a preliminary uplift study to empirically evaluate these capabilities, then propose a taxonomy of the kinds of ground truth questions these systems will answer, present a high-level model of the determinants of this system's AI capabilities, and provide recommendations for nation-states to remain strategically competitive within the new paradigm of automated intelligence."
24,Important,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",High-relevance cyber-nuclear wargaming study referenced by the escalation-risk seed.,a103bb75a51840687befa963ca37abc00b52caa3,"Hacking Nuclear Stability: Wargaming Technology, Uncertainty, and Escalation",2023,10,1,24.61,reference:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/a103bb75a51840687befa963ca37abc00b52caa3,10.1017/S0020818323000115,,International Organization,Jacquelyn G. Schneider; Benjamin Schechter; Rachael Shaffer,"Abstract How do emerging technologies affect nuclear stability? In this paper, we use a quasi-experimental cyber-nuclear wargame with 580 players to explore three hypotheses about emerging technologies and nuclear stability: (1) technological uncertainty leads to preemption and escalation; (2) technological uncertainty leads to restraint; and (3) technological certainty leads to escalation through aggressive counterforce campaigns. The wargames suggest that uncertainty and fear about cyber vulnerabilities create no immediate incentives for preemptive nuclear use. The greater danger to strategic stability lies in how overconfidence in cyber exploits incentivizes more aggressive counterforce campaigns and, secondarily, how vulnerabilities encourage predelegation or automation. Both of these effects suggest worrisome relationships between cyber exploits and inadvertent nuclear use on one hand and cyber vulnerabilities and accidental nuclear use on the other hand. Together, these findings reveal the complicated relationship between pathways to escalation and strategic stability, highlighting the role that confidence and perhaps-misplaced certainty—versus uncertainty and fear—play in strategic stability."
25,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,LLM-focused overview for conflict-resolution practitioners and researchers.,031268c2c479dddae3cc7b1c957afb1cf1a02cd6,"AI in Conflict Resolution: Practical Considerations, Opportunities and Challenges",2025,0,1,17.0,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/031268c2c479dddae3cc7b1c957afb1cf1a02cd6,10.1002/crq.70012,,Conflict Resolution Quarterly,Aleksander Molak,"With the rise of generative artificial intelligence models, researchers and practitioners across the fields are exploring the potential opportunities such models present for their work. The promise of higher efficiency, and the idea that generative models could potentially lead to new scientific discoveries represent exciting new frontiers. This article presents an overview of potential opportunities and challenges a particular class of generative artificial intelligence—large language models—has to offer for researchers and practitioners working in the field of conflict resolution."
26,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",Recent public-opinion replication study retained as a watchlist item pending stronger metadata.,ee9fb2f85a5250d2b828e80140a11366e81f3cd1,Can AI reflect public opinion? Evidence from replicating Hainmueller and Hopkins' immigration experiment with LLMs,2026,0,1,13.8,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/ee9fb2f85a5250d2b828e80140a11366e81f3cd1,10.1016/j.chb.2026.108967,,Computers in Human Behavior,Yajing Chen; Ming Lei; Zhanyun Liu; Mandy Tang; Jie She,
27,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,Human-centered mitigation paper for AI automation bias in resort-to-force decisions.,a1f0e4cc8a0a06cbf7bac49748fcb44565856cda,Upskilling human actors against AI automation bias in strategic decision making on the resort to force,2026,1,1,32.31,citation:1,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/a1f0e4cc8a0a06cbf7bac49748fcb44565856cda,10.1017/cfl.2025.10029,,Law and Governance,Yee-Kuang Heng,"The use of artificial intelligence-driven decision-support systems (AI DSS) to assist human calculations on the resort to military force has raised concerns that automation bias may displace human judgments. Such fears are compounded by the complexities and pathologies of organisational decision making. Discussions of AI often revolve around better training AI models with more copious amounts of technical data, but this article poses research questions that shift the focus to a human-centric and institutional approach. How can governments better train human decision makers and restructure institutional settings within which humans operate to minimise the risks of automation bias and deskilling? This article begins by exploring how governments have invested in AI literacy education and capacity-building. Second, it demonstrates how the need to question groupthink and challenge assumptions in decision making becomes even more relevant as the use of AI DSS become more prevalent. Third, human decision makers operate within institutional structures with internal audit trails and organisational cultures, inter-agency networks and intelligence-sharing partnerships that may mitigate the risks of human deskilling. Bolstering these three inter-locking, mutually reinforcing elements of education, challenge functions and institutions offers some avenues for managing automation bias in decisions on the resort to force."
