selected_rank,importance,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,relation,source_seed_titles,query_ids,focus_areas,url,doi,arxiv,venue,authors,abstract
11,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,Strategic information-operations case study tied to peacekeeping and conflict settings.,c40f0a10e9cabc7711cdcf2e39102048ef78fe91,How Strategic Information Operations Affect Peacekeeping: Two Case Studies from the Central African Republic,2025,2,,,,,,influence-003,"AI Safety, Influence Operations, and Societal Risk",https://www.semanticscholar.org/paper/c40f0a10e9cabc7711cdcf2e39102048ef78fe91,10.1080/13533312.2025.2470342,,International Peacekeeping,Naomi Miyashita; Zarine Kharazian; Laura De Backer; Kate Starbird,"ABSTRACT Strategic information operations – efforts by individuals or groups to shape public opinion using propaganda, rumors and facts – pose significant challenges to peacekeeping missions. These operations undermine trust, hinder communication with the public and complicate the implementation of peacekeeping mandates. Common approaches to addressing these operations have primarily viewed them as state-led, top-down activities and have focused on combating viral falsehoods through strategic communications. In this article, we offer an alternative conception of these operations as fundamentally embedded within broader peacekeeping assemblages, where they become ‘actants’ exerting influence on the broader peacekeeping system. Using a mixed-methods analysis of two strategic information operations targeting the UN Stabilization Mission in the Central African Republic (MINUSCA) on Facebook, we demonstrate that these operations are multi-directional and participatory, involving interactions among state actors, influencers and ordinary individuals. We also reflect on how concern over the impact of these operations has shaped peacekeeping self-image, resourcing and coalition-building, and argue for more reflection on these dynamics when designing counter-disinformation strategies."
12,Watchlist,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias","Recent zero-citation political-bias paper on contested documents and prompt language, retained for monitoring.",95852e9b07af846a01840bb385c91e21c6bfaf74,The Language You Ask In: Language-Conditioned Ideological Divergence in LLM Analysis of Contested Political Documents,2026,0,1,45.8,citation:1,,Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,,,https://www.semanticscholar.org/paper/95852e9b07af846a01840bb385c91e21c6bfaf74,10.48550/arXiv.2601.12164,2601.12164,arXiv.org,Oleg Smirnov,"Large language models (LLMs) are increasingly deployed as analytical tools across multilingual contexts, yet their outputs may carry systematic biases conditioned by the language of the prompt. This study presents an experimental comparison of LLM-generated political analyses of a Ukrainian civil society document, using semantically equivalent prompts in Russian and Ukrainian. Despite identical source material and parallel query structures, the resulting analyses varied substantially in rhetorical positioning, ideological orientation, and interpretive conclusions. The Russian-language output echoed narratives common in Russian state discourse, characterizing civil society actors as illegitimate elites undermining democratic mandates. The Ukrainian-language output adopted vocabulary characteristic of Western liberal-democratic political science, treating the same actors as legitimate stakeholders within democratic contestation. These findings demonstrate that prompt language alone can produce systematically different ideological orientations from identical models analyzing identical content, with significant implications for AI deployment in polarized information environments, cross-lingual research applications, and the governance of AI systems in multilingual societies."
13,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,"Memory-politics angle is relevant, but corporate-greenwashing drift keeps it on the watchlist.",b486f530a72d9c882ad24f38312a7d1c3c51ecc6,Whose story wins? LLM-powered chatbots as sites and agents of memory-political contestation and corporate greenwashing,2026,2,1,51.19,citation:1,,Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,,,https://www.semanticscholar.org/paper/b486f530a72d9c882ad24f38312a7d1c3c51ecc6,10.2478/njms-2026-0004,,Nordic Journal of Media Studies,N. Pelevina; Erkki Mervaala,"Abstract In this article, we explore the memory-political dimensions of LLM-powered chatbots. We are initially interested in how LLMs (large language models) can be utilised to manipulate political discourse and historical interpretations. By expanding on the idea presented by, for example, Makhortykh and colleagues (2024), we examine how open, commercial LLMs generate information on current political topics with contested historical and political dimensions in the Nordic region by examining the outputs of three different models – ChatGPT, DeepSeek, and Mistral – in Finnish, Swedish, and English. Our focus is on three themes that are intertwined in identity and memory-political contestations in the Nordic region: climate change, security politics, and colonialism (e.g., regarding Indigenous communities). In this context, we study whether and how LLM-powered chatbots mediate various actors’ contesting narratives engaging in and functioning as sites and agents of memory-political contestations. We discuss the ideological and epistemic dimensions of LLM-powered chatbots at a time when generative artificial intelligence (GenAI) increasingly impacts memory discourses in democratic societies."
14,Watchlist,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,"Foreign-policy decision-making title is on-scope, but the paper is new, uncited, and likely conceptual.",6e3c651e567db13815a1bb355335f6a256feb476,ALGORITHMIC DIPLOMACY: THE ROLE OF ARTIFICIAL INTELLIGENCE IN SHAPING 21ST CENTURY FOREIGN POLICY DECISIONS,2026,0,,,,,,diplomacy-001,"Geopolitics, Diplomacy, National Security, and Wargaming",https://www.semanticscholar.org/paper/6e3c651e567db13815a1bb355335f6a256feb476,10.63878/aaj1599,,Al-Aasar,Rabi ul Awal; Hira Khan; Nazia Parveen; Syeda Misbah ul Ain Kazmi,"This study explores the transformative role of artificial intelligence (AI) in reshaping foreign policy decision-making in the 21st century, conceptualized here as “algorithmic diplomacy.” As global politics becomes increasingly data-driven, AI technologies are being integrated into diplomatic practices to enhance strategic forecasting, risk assessment, negotiation modeling, and real-time policy responses. This research investigates how AI systems ranging from machine learning algorithms to natural language processing tools are influencing the formulation, execution, and evaluation of foreign policy decisions across diverse geopolitical contexts. The paper adopts an interdisciplinary approach, drawing on international relations theory, political communication, and computational governance to examine the implications of AI adoption in diplomacy. It critically analyzes how algorithmic tools process vast datasets, including social media discourse, economic indicators, and security intelligence, to generate predictive insights that inform state behavior. While these technologies promise increased efficiency, objectivity, and speed in decision-making, the study also highlights inherent risks such as algorithmic bias, opacity (black-box systems), over-reliance on automated recommendations, and ethical concerns related to accountability and sovereignty. Furthermore, the research evaluates the strategic advantages gained by technologically advanced states, potentially widening the power asymmetry between nations and redefining global diplomatic hierarchies. It also explores the emergence of “digital diplomacy” and AI-assisted negotiation frameworks, where simulations and scenario modeling influence diplomatic strategies and conflict resolution processes. By combining theoretical analysis with contemporary case studies, this paper argues that AI is not merely a tool but an active agent in shaping foreign policy paradigms. The study concludes by proposing a framework for responsible AI governance in international relations, emphasizing transparency, human oversight, and multilateral cooperation to ensure that algorithmic diplomacy contributes to global stability rather than exacerbating existing tensions."
15,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Game-theoretic and strategic reasoning benchmarks,High-citation LLM strategic-reasoning paper retained as curated because it is generic rather than diplomatic or political.,f1a3cd5cc340f47e3e966709f7dfddef23460aa2,Strategic Reasoning with Language Models,2023,66,1,46.53,citation:1,,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,,,https://www.semanticscholar.org/paper/f1a3cd5cc340f47e3e966709f7dfddef23460aa2,10.48550/arXiv.2305.19165,2305.19165,arXiv.org,Kanishk Gandhi; Dorsa Sadigh; Noah D. Goodman,"Strategic reasoning enables agents to cooperate, communicate, and compete with other agents in diverse situations. Existing approaches to solving strategic games rely on extensive training, yielding strategies that do not generalize to new scenarios or games without retraining. Large Language Models (LLMs), with their ability to comprehend and generate complex, context-rich language, could prove powerful as tools for strategic gameplay. This paper introduces an approach that uses pretrained LLMs with few-shot chain-of-thought examples to enable strategic reasoning for AI agents. Our approach uses systematically generated demonstrations of reasoning about states, values, and beliefs to prompt the model. Using extensive variations of simple matrix games, we show that strategies that are derived based on systematically generated prompts generalize almost perfectly to new game structures, alternate objectives, and hidden information. Additionally, we demonstrate our approach can lead to human-like negotiation strategies in realistic scenarios without any extra training or fine-tuning. Our results highlight the ability of LLMs, guided by systematic reasoning demonstrations, to adapt and excel in diverse strategic scenarios."
16,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Behavioral game tests and human-like strategy,"Strategic-reasoning simulation paper with policy/planning motivation, but generic game setting.",2ad099eef1fd4bac4bafd4a52b6d2519083def51,Simulating Strategic Reasoning: Comparing the Ability of Single LLMs and Multi-Agent Systems to Replicate Human Behavior,2024,21,1,47.91,citation:1,,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,,,https://www.semanticscholar.org/paper/2ad099eef1fd4bac4bafd4a52b6d2519083def51,10.24251/hicss.2025.100,2402.08189,Hawaii International Conference on System Sciences,Karthik Sreedhar; Lydia B. Chilton,"When creating policies, plans, or designs for people, it is challenging for designers to foresee all of the ways in which people may reason and behave. Recently, Large Language Models (LLMs) have been shown to be able to simulate human reasoning. We extend this work by measuring LLMs ability to simulate strategic reasoning in the ultimatum game, a classic economics bargaining experiment. Experimental evidence shows human strategic reasoning is complex; people will often choose to punish other players to enforce social norms even at personal expense. We test if LLMs can replicate this behavior in simulation, comparing two structures: single LLMs and multi-agent systems. We compare their abilities to (1) simulate human-like reasoning in the ultimatum game, (2) simulate two player personalities, greedy and fair, and (3) create robust strategies that are logically complete and consistent with personality. Our evaluation shows that multi-agent systems are more accurate than single LLMs (88 percent vs. 50 percent) in simulating human reasoning and actions for personality pairs. Thus, there is potential to use LLMs to simulate human strategic reasoning to help decision and policy-makers perform preliminary explorations of how people behave in systems."
17,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Behavioral game tests and human-like strategy,LLM bounded-rationality evaluation in behavioral games; relevant but not political enough for Important.,fc00e0b0f038966baac6fff21bcbd4514e6d5a59,Beyond Nash Equilibrium: Bounded Rationality of LLMs and humans in Strategic Decision-making,2025,8,1,49.77,citation:1,,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,,,https://www.semanticscholar.org/paper/fc00e0b0f038966baac6fff21bcbd4514e6d5a59,10.48550/arXiv.2506.09390,2506.09390,arXiv.org,Kehan Zheng; Jinfeng Zhou; Hongning Wang,"Large language models are increasingly used in strategic decision-making settings, yet evidence shows that, like humans, they often deviate from full rationality. In this study, we compare LLMs and humans using experimental paradigms directly adapted from behavioral game-theory research. We focus on two well-studied strategic games, Rock-Paper-Scissors and the Prisoner's Dilemma, which are well known for revealing systematic departures from rational play in human subjects. By placing LLMs in identical experimental conditions, we evaluate whether their behaviors exhibit the bounded rationality characteristic of humans. Our findings show that LLMs reproduce familiar human heuristics, such as outcome-based strategy switching and increased cooperation when future interaction is possible, but they apply these rules more rigidly and demonstrate weaker sensitivity to the dynamic changes in the game environment. Model-level analyses reveal distinctive architectural signatures in strategic behavior, and even reasoning models sometimes struggle to find effective strategies in adaptive situations. These results indicate that current LLMs capture only a partial form of human-like bounded rationality and highlight the need for training methods that encourage flexible opponent modeling and stronger context awareness."
18,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Critique accepted as Important because it audits persona generation using election forecasting and public-opinion survey tasks.,3ea29481ec11d1568fde727d236f71e44e4e2ad0,LLM Generated Persona is a Promise with a Catch,2025,72,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/3ea29481ec11d1568fde727d236f71e44e4e2ad0,10.48550/arXiv.2503.16527,2503.16527,arXiv.org,Ang Li; Haozhe Chen; Hongseok Namkoong; Tianyi Peng,"The use of large language models (LLMs) to simulate human behavior has gained significant attention, particularly through personas that approximate individual characteristics. Persona-based simulations hold promise for transforming disciplines that rely on population-level feedback, including social science, economic analysis, marketing research, and business operations. Traditional methods to collect realistic persona data face significant challenges. They are prohibitively expensive and logistically challenging due to privacy constraints, and often fail to capture multi-dimensional attributes, particularly subjective qualities. Consequently, synthetic persona generation with LLMs offers a scalable, cost-effective alternative. However, current approaches rely on ad hoc and heuristic generation techniques that do not guarantee methodological rigor or simulation precision, resulting in systematic biases in downstream tasks. Through extensive large-scale experiments including presidential election forecasts and general opinion surveys of the U.S. population, we reveal that these biases can lead to significant deviations from real-world outcomes. Our findings underscore the need to develop a rigorous science of persona generation and outline the methodological innovations, organizational and institutional support, and empirical foundations required to enhance the reliability and scalability of LLM-driven persona simulations. To support further research and development in this area, we have open-sourced approximately one million generated personas, available for public access and analysis at https://huggingface.co/datasets/Tianyi-Lab/Personas."
19,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Critique accepted as Important because it reviews LLMs as subpopulation representative models for opinion measurement.,306f4aa90c2f2d3f55b81a99f0068d0e8ab8d359,Large Language Models as Subpopulation Representative Models: A Review,2023,22,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/306f4aa90c2f2d3f55b81a99f0068d0e8ab8d359,10.48550/arXiv.2310.17888,2310.17888,arXiv.org,Gabriel Simmons; Christopher Hare,"Of the many commercial and scientific opportunities provided by large language models (LLMs; including Open AI's ChatGPT, Meta's LLaMA, and Anthropic's Claude), one of the more intriguing applications has been the simulation of human behavior and opinion. LLMs have been used to generate human simulcra to serve as experimental participants, survey respondents, or other independent agents, with outcomes that often closely parallel the observed behavior of their genuine human counterparts. Here, we specifically consider the feasibility of using LLMs to estimate subpopulation representative models (SRMs). SRMs could provide an alternate or complementary way to measure public opinion among demographic, geographic, or political segments of the population. However, the introduction of new technology to the socio-technical infrastructure does not come without risk. We provide an overview of behavior elicitation techniques for LLMs, and a survey of existing SRM implementations. We offer frameworks for the analysis, development, and practical implementation of LLMs as SRMs, consider potential risks, and suggest directions for future work."
20,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Critique accepted as Important because it evaluates LLM synthetic samples against German election and public-opinion survey data.,95a41d1598d3f888dbc38905817390bb70d65a66,"Vox Populi, Vox AI? Using Language Models to Estimate German Public Opinion",2024,12,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/95a41d1598d3f888dbc38905817390bb70d65a66,10.1177/08944393251337014,2407.08563,Social science computer review,Leah von der Heyde; Anna Haensch; Alexander Wenz,"“Synthetic samples” generated by large language models (LLMs) have been argued to complement or replace traditional surveys, assuming their training data is grounded in human-generated data that potentially reflects attitudes and behaviors prevalent in the population. Initial US-based studies that have prompted LLMs to mimic survey respondents found that the responses match survey data. However, the relationship between the respective target population and LLM training data might affect the generalizability of such findings. In this paper, we critically evaluate the use of LLMs for public opinion research in a different context, by investigating whether LLMs can estimate vote choice in Germany. We generate a synthetic sample matching the 2017 German Longitudinal Election Study respondents and ask the LLM GPT-3.5 to predict each respondent’s vote choice. Comparing these predictions to the survey-based estimates on the aggregate and subgroup levels, we find that GPT-3.5 exhibits a bias towards the Green and Left parties. While the LLM predictions capture the tendencies of “typical” voters, they miss more complex factors of vote choice. By examining the LLM-based prediction of voting behavior in a non-English speaking context, our study contributes to research on the extent to which LLMs can be leveraged for studying public opinion. The findings point to disparities in opinion representation in LLMs and underscore the limitations in applying them for public opinion estimation."
21,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Critique accepted as Important because it studies bias reduction and rectification for LLM survey simulations including politics.,b3f15b5a6796ddf87045ba1f8db725ef101c8cac,"Valid Survey Simulations with Limited Human Data: The Roles of Prompting, Fine-Tuning, and Rectification",2025,6,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/b3f15b5a6796ddf87045ba1f8db725ef101c8cac,10.48550/arXiv.2510.11408,2510.11408,arXiv.org,Stefan Krsteski; Giuseppe Russo; Serina Chang; Robert West; Kristina Gligori'c,"Surveys provide valuable insights into public opinion and behavior, but their execution is costly and slow. Large language models (LLMs) have been proposed as a scalable, low-cost substitute for human respondents, but their outputs are often biased and yield invalid estimates. We study the interplay between synthesis methods that use LLMs to generate survey responses and rectification methods that debias population estimates, and explore how human responses are best allocated between them. Using two panel surveys with questions on nutrition, politics, and economics, we find that synthesis alone introduces substantial bias (24-86%), whereas combining it with rectification reduces bias below 5% and increases effective sample size by up to 14%. Overall, we challenge the common practice of using all human responses for fine-tuning, showing that under a fixed budget, allocating most to rectification results in far more effective estimation."
22,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Critique accepted as Important because it compares LLM public-opinion simulations against ANES political survey data.,a4ec508e5e0de8fc07c7552c1e0012c2e712442a,Simulating Public Opinion: Comparing Distributional and Individual-Level Predictions from LLMs and Random Forests,2025,2,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/a4ec508e5e0de8fc07c7552c1e0012c2e712442a,10.3390/e27090923,,Entropy,Fernando Miranda; P. Balbi,"Understanding and modeling the flow of information in human societies is essential for capturing phenomena such as polarization, opinion formation, and misinformation diffusion. Traditional agent-based models often rely on simplified behavioral rules that fail to capture the nuanced and context-sensitive nature of human decision-making. In this study, we explore the potential of Large Language Models (LLMs) as data-driven, high-fidelity agents capable of simulating individual opinions under varying informational conditions. Conditioning LLMs on real survey data from the 2020 American National Election Studies (ANES), we investigate their ability to predict individual-level responses across a spectrum of political and social issues in a zero-shot setting, without any training on the survey outcomes. Using Jensen–Shannon distance to quantify divergence in opinion distributions and F1-score to measure predictive accuracy, we compare LLM-generated simulations to those produced by a supervised Random Forest model. While performance at the individual level is comparable, LLMs consistently produce aggregate opinion distributions closer to the empirical ground truth. These findings suggest that LLMs offer a promising new method for simulating complex opinion dynamics and modeling the probabilistic structure of belief systems in computational social science."
23,Important,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",Critique accepted as Important because it validates a synthetic LLM social network with human participants and polarization outcomes.,2d71545ba1a2ff9f30703cef3df75a15d159b525,Understanding Online Polarization Through Human-Agent Interaction in a Synthetic LLM-Based Social Network,2025,10,,,,,,simulation-002,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/2d71545ba1a2ff9f30703cef3df75a15d159b525,10.1609/icwsm.v19i1.35826,2506.15866,International Conference on Web and Social Media,Tim Donkers; Jürgen Ziegler,"The rise of social media has fundamentally transformed how people engage in public discourse and form opinions. While these platforms offer unprecedented opportunities for democratic engagement, they have been implicated in increasing social polarization and the formation of ideological echo chambers. Previous research has primarily relied on observational studies of social media data or theoretical modeling approaches, leaving a significant gap in our understanding of how individuals respond to and are influenced by polarized online environments. Here we present a novel experimental framework for investigating polarization dynamics that allows human users to interact with LLM-based artificial agents in a controlled social network simulation. Through a user study with 122 participants, we demonstrate that this approach can successfully reproduce key characteristics of polarized online discourse while enabling precise manipulation of environmental factors. Our results provide empirical validation of theoretical predictions about online polarization, showing that polarized environments significantly increase perceived emotionality and group identity salience while reducing expressed uncertainty. These findings extend previous observational and theoretical work by providing causal evidence for how specific features of online environments influence user perceptions and behaviors. More broadly, this research introduces a powerful new methodology for studying social media dynamics, offering researchers unprecedented control over experimental conditions while maintaining ecological validity."
24,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Critique accepted as Important because it directly evaluates political-issue polling distributions using LLMs.,d325f69c6ea6e829a4bb7cb8b870bddf77910ef9,Characterizing the ability of LLMs to recapitulate Americans'distributional responses to public opinion polling questions across political issues,2026,0,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/d325f69c6ea6e829a4bb7cb8b870bddf77910ef9,,2603.20229,,E. Gong; Nathan E. Sanders; Bruce Schneier,"Traditional survey-based political issue polling is becoming less tractable due to increasing costs and risk of bias associated with growing non-response rates and declining coverage of key demographic groups. With researchers and pollsters seeking alternatives, Large Language Models have drawn attention for their potential to augment human population studies in polling contexts. We propose and implement a new framework for anticipating human responses on multiple-choice political issue polling questions by directly prompting an LLM to predict a distribution of responses. By comparison to a large and high quality issue poll of the US population, the Cooperative Election Study, we evaluate how the accuracy of this framework varies across a range of demographics and questions on a variety of topics, as well as how this framework compares to previously proposed frameworks where LLMs are repeatedly queried to simulate individual respondents. We find the proposed framework consistently exhibits more accurate predictions than individual querying at significantly lower cost. In addition, we find the performance of the proposed framework varies much more systematically and predictably across demographics and questions, making it possible for those performing AI polling to better anticipate model performance using only information available before a query is issued."
25,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Critique accepted as Important because it benchmarks stability in political role-playing simulations.,5881e53178afcf627e0e8b0225b93be8934596dc,Before You Simulate: A Pre-Study Benchmark for Large Language Model Stability in Political Role-Playing Simulations,2026,0,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/5881e53178afcf627e0e8b0225b93be8934596dc,10.3390/app16042027,,Applied Sciences,Hanyang Shen; Jie Wu; Zhulin Tao,"As large language models (LLMs) are increasingly used as digital respondents and generative agents in computational social science, prior work has primarily focused on the fidelity of their expressed opinions, often overlooking a fundamental question: the behavioral stability of outputs across repeated runs of the same model when the persona specification and task conditions remain unchanged. This paper proposes a behavioral stability evaluation framework for role-playing tasks, using the Political Compass questionnaire as the testbed. The questionnaire maps responses onto a two-dimensional coordinate system defined by an economic axis and a social axis, enabling political orientations to be directly quantified and compared in a continuous space. To ground the simulation in realistic user behaviors, we construct personas from publicly available social media texts and stratify them based on Political Signal Clarity. Across three LLMs, we compare repeated questionnaire completions under different decoding temperatures and prompting strategies. We characterize it along two complementary dimensions: dispersion of the resulting two-dimensional coordinates across runs, measured by an Overall Stability Score (OSS), and dispersion of per-item choices across runs, quantified by response entropy. We further use linear mixed-effects models to account for persona-level heterogeneity and to estimate the effects of key factors on stability. Our results show that coordinate drift and item-level dispersion do not always move in tandem. Increasing temperature typically amplifies variability, although models differ in their sensitivity. Contrary to its success in reasoning tasks, Chain-of-Thought (CoT) prompting failed to enhance stability in this value-laden context. Instead, it frequently amplified coordinate drift by introducing stochasticity into intermediate reasoning steps. Results show that LLMs exhibit greater behavioral stability when role-playing personas with clearer political signals. These findings suggest that stability should be treated as a pre-study benchmark before deploying LLM-based role-playing simulations, and that key generation settings and stability statistics should be reported alongside substantive conclusions."
26,Important,"Politics, Democracy, Public Opinion, and Persuasion",Legislative and political-agent simulation,Critique accepted as Important because it simulates European Parliament voting behavior with politician personas and policy votes.,f4e98cd3a09593e02240f97dab0e75ea556bec75,Persona-driven Simulation of Voting Behavior in the European Parliament with Large Language Models,2025,0,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/f4e98cd3a09593e02240f97dab0e75ea556bec75,10.48550/arXiv.2506.11798,2506.11798,Conference of the European Chapter of the Association for Computational Linguistics,Maximilian Kreutner; Marlene Lutz; Markus Strohmaier,"Large Language Models (LLMs) display remarkable capabilities to understand or even produce political discourse but have been found to consistently exhibit a progressive left-leaning bias. At the same time, so-called persona or identity prompts have been shown to produce LLM behavior that aligns with socioeconomic groups with which the base model is not aligned. In this work, we analyze whether zero-shot persona prompting with limited information can accurately predict individual voting decisions and, by aggregation, accurately predict the positions of European groups on a diverse set of policies. We evaluate whether predictions are stable in response to counterfactual arguments, different persona prompts, and generation methods. Finally, we find that we can simulate the voting behavior of Members of the European Parliament reasonably well, achieving a weighted F1 score of approximately 0.793. Our persona dataset of politicians in the 2024 European Parliament and our code are available at the following url: https://github.com/dess-mannheim/european_parliament_simulation."
27,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Social-science generative-agent modeling framework with validation emphasis.,c78d9f365015f63eb6303c2a93d2c833cc816516,Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences,2024,13,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/c78d9f365015f63eb6303c2a93d2c833cc816516,10.1609/aaaiss.v2i1.27698,,Proceedings of the AAAI Symposium Series,Konstantinos Mitsopoulos; Ritwik Bose; Brodie Mather; Archna Bhatia; Kevin Gluck; Bonnie Dorr; C. Lebiere; Peter Pirolli,"Incorporating dynamic realistic human behaviors in population-scale computational models has been challenging. While some efforts have leveraged behavioral theories from social science, validated theories specifically applicable to Agent-based modeling remain limited. Existing approaches lack a comprehensive framework to model the situated, adaptive nature of human cognition and choice. To address these challenges, this paper proposes a novel framework, Psychologically-Valid Generative Agents. These agents consist of a Cognitive Architecture that provides data-driven and cognitively-constrained decision-making functionality, and a Large Language Model that generates human-like linguistic data. In addition, our framework benefits from Stance Detection, a Natural Language Processing technique, that allows highly personalize initialization of the agents, based on real-world data, within Agent-based modeling simulations. This combination provides a flexible yet structured approach to endogenously represent how people perceive, deliberate, and respond to social or other types of complex decision-making dynamics. Previous work has demonstrated promising results by using a subset of the components of our proposed architecture. Our approach has the potential to exhibit highly-realistic human behavior and can be used across a variety of domains (e.g., public health, group dynamics, social and psychological sciences, and financial markets)."
28,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,LLM survey and election-outcome simulation paper retained as curated due to narrower evidence.,5e49b644c514cc326dcc94d285961914570bf0cd,Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models,2024,11,,,,,,simulation-001,Multi-Agent Social Simulation and Synthetic Societies,https://www.semanticscholar.org/paper/5e49b644c514cc326dcc94d285961914570bf0cd,,2411.01582,,Shapeng Jiang; Lijia Wei; Chen Zhang,"In recent years, large language models (LLMs) have attracted attention due to their ability to generate human-like text. As surveys and opinion polls remain key tools for gauging public attitudes, there is increasing interest in assessing whether LLMs can accurately replicate human responses. This study examines the potential of LLMs, specifically ChatGPT-4o, to replicate human responses in large-scale surveys and to predict election outcomes based on demographic data. Employing data from the World Values Survey (WVS) and the American National Election Studies (ANES), we assess the LLM's performance in two key tasks: simulating human responses and forecasting U.S. election results. In simulations, the LLM was tasked with generating synthetic responses for various socio-cultural and trust-related questions, demonstrating notable alignment with human response patterns across U.S.-China samples, though with some limitations on value-sensitive topics. In prediction tasks, the LLM was used to simulate voting behavior in past U.S. elections and predict the 2024 election outcome. Our findings show that the LLM replicates cultural differences effectively, exhibits in-sample predictive validity, and provides plausible out-of-sample forecasts, suggesting potential as a cost-effective supplement for survey-based research."
29,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,Broad but useful validation paper for synthetic behavioral evidence.,f45c816e1f3c40f1bac4e68b7c01e8b40a235b4f,This human study did not involve human subjects: Validating LLM simulations as behavioral evidence,2026,10,,,,citation,"Generative Agent Simulations of 1,000 People",,,https://www.semanticscholar.org/paper/f45c816e1f3c40f1bac4e68b7c01e8b40a235b4f,10.48550/arXiv.2602.15785,2602.15785,arXiv.org,Jessica Hullman; David Broska; Huaman Sun; Aaron D. Shaw,"A growing literature uses large language models (LLMs) as synthetic participants to generate cost-effective and nearly instantaneous responses in social science experiments. However, there is limited guidance on when such simulations support valid inference about human behavior. We contrast two strategies for obtaining valid estimates of causal effects and clarify the assumptions under which each is suitable for exploratory versus confirmatory research. Heuristic approaches seek to establish that simulated and observed human behavior are interchangeable through prompt engineering, model fine-tuning, and other repair strategies designed to reduce LLM-induced inaccuracies. While useful for many exploratory tasks, heuristic approaches lack the formal statistical guarantees typically required for confirmatory research. In contrast, statistical calibration combines auxiliary human data with statistical adjustments to account for discrepancies between observed and simulated responses. Under explicit assumptions, statistical calibration preserves validity and provides more precise estimates of causal effects at lower cost than experiments that rely solely on human participants. Yet the potential of both approaches depends on how well LLMs approximate the relevant populations. We consider what opportunities are overlooked when researchers focus myopically on substituting LLMs for human participants in a study."
