selected_rank,cluster,recommendation,theme,subtheme,selection_reason,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,url,doi,arxiv,venue,authors,abstract
11,ir-event-data,strong_candidate,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Shared task for multilingual socio-political protest detection and event extraction.,766e30612f93e2e2b1f517fbb0f6fa4c7e953b71,"Multilingual Protest News Detection - Shared Task 1, CASE 2021",2021,49,1,28.29,citation:1,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,https://www.semanticscholar.org/paper/766e30612f93e2e2b1f517fbb0f6fa4c7e953b71,10.18653/v1/2021.case-1.11,,CASE,Ali Hürriyetoǧlu; Osman Mutlu; E. Yörük; Farhana Ferdousi Liza; Ritesh Kumar; Shyam Ratan,"Benchmarking state-of-the-art text classification and information extraction systems in multilingual, cross-lingual, few-shot, and zero-shot settings for socio-political event information collection is achieved in the scope of the shared task Socio-political and Crisis Events Detection at the workshop CASE @ ACL-IJCNLP 2021. Socio-political event data is utilized for national and international policy- and decision-making. Therefore, the reliability and validity of these datasets are of the utmost importance. We split the shared task into three parts to address the three aspects of data collection (Task 1), fine-grained semantic classification (Task 2), and evaluation (Task 3). Task 1, which is the focus of this report, is on multilingual protest news detection and comprises four subtasks that are document classification (subtask 1), sentence classification (subtask 2), event sentence coreference identification (subtask 3), and event extraction (subtask 4). All subtasks had English, Portuguese, and Spanish for both training and evaluation data. Data in Hindi language was available only for the evaluation of subtask 1. The majority of the submissions, which are 238 in total, are created using multi- and cross-lingual approaches. Best scores are above 77.27 F1-macro for subtask 1, above 85.32 F1-macro for subtask 2, above 84.23 CoNLL 2012 average score for subtask 3, and above 66.20 F1-macro for subtask 4 in all evaluation settings. The performance of the best system for subtask 4 is above 66.20 F1 for all available languages. Although there is still a significant room for improvement in cross-lingual and zero-shot settings, the best submissions for each evaluation scenario yield remarkable results. Monolingual models outperformed the multilingual models in a few evaluation scenarios."
12,ir-event-data,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,Recent geopolitical temporal-knowledge-graph forecasting paper surfaced by CAMEO.,dba33ae55b387a5ca5779c448c4e15cc7d00cb10,Toward Better Temporal Structures for Geopolitical Events Forecasting,2026,1,1,48.31,citation:1,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,https://www.semanticscholar.org/paper/dba33ae55b387a5ca5779c448c4e15cc7d00cb10,10.48550/arXiv.2601.00430,2601.00430,arXiv.org,Kian Ahrabian; E. Boxer; Jay Pujara,"Forecasting on geopolitical temporal knowledge graphs (TKGs) through the lens of large language models (LLMs) has recently gained traction. While TKGs and their generalization, hyper-relational temporal knowledge graphs (HTKGs), offer a straightforward structure to represent simple temporal relationships, they lack the expressive power to convey complex facts efficiently. One of the critical limitations of HTKGs is a lack of support for more than two primary entities in temporal facts, which commonly occur in real-world events. To address this limitation, in this work, we study a generalization of HTKGs, Hyper-Relational Temporal Knowledge Generalized Hypergraphs (HTKGHs). We first derive a formalization for HTKGHs, demonstrating their backward compatibility while supporting two complex types of facts commonly found in geopolitical incidents. Then, utilizing this formalization, we introduce the htkgh-polecat dataset, built upon the global event database POLECAT. Finally, we benchmark and analyze popular LLMs on our dataset, providing insights into 1) the positive impact of utilizing the HTKGH formalization compared to existing ones and 2) LLMs'adaptability and capabilities in complex forecasting tasks."
13,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,LLM/KG system for socio-political event extrapolation.,08cb00d8291409bfc4616fdf19b1ef8a28694f10,Agentic Reasoning for Social Event Extrapolation: Integrating Knowledge Graphs and Language Models,2025,1,1,50.51,citation:1,MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/08cb00d8291409bfc4616fdf19b1ef8a28694f10,10.1109/ACCESS.2025.3612015,,IEEE Access,Aditya Narasimhan Sampath; A. Thakur; Siddharth Krishnan,"Accurate prediction of socio-political events is a longstanding challenge with profound implications for risk management, policy planning, and international relations. Traditional machine learning approaches, such as graph neural networks and recurrent neural networks, have achieved notable progress but often struggle to integrate rich textual context and provide interpretable reasoning. Recent advances in large language models (LLMs) have demonstrated unprecedented capabilities across diverse tasks, including text generation, code synthesis, and complex multimodal reasoning, making them promising candidates for event prediction in dynamic, data-rich environments. This research presents an agentic reasoning framework combining temporal knowledge graphs, large language models (LLMs), and a modular tool-based architecture to address event extrapolation in complex, real-world settings. The methodology integrates agent-based reasoning, iterative tool invocation, and explicit validation mechanisms to ensure logical consistency and transparency in predictions. Experiments on country-specific subsets of the POLECAT dataset employ multiple LLM architectures and multiple evaluation metrics, including Hit@k, MRR, F1-scores and Prediction Entropy. Comparative analyses demonstrate that the agentic framework achieves robust predictive performance and interpretability, complementing fine-tuned LLM baselines. Furthermore, the ethical implications of deploying AI in social computing are addressed, including bias, transparency, and accountability. This study advances event prediction by demonstrating how agentic LLMs, equipped with explicit reasoning and validation, provide scalable and ethically grounded solutions for complex social event extrapolation."
14,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Recent LLM event-forecasting training and evaluation paper linked by both ForecastBench and MIRAI.,aae0ff0d91cbbd131ed406eeb8a8f311f7b17f8e,"Advancing Event Forecasting through Massive Training of Large Language Models: Challenges, Solutions, and Broader Impacts",2025,4,2,43.49,citation:2,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/aae0ff0d91cbbd131ed406eeb8a8f311f7b17f8e,10.48550/arXiv.2507.19477,2507.19477,arXiv.org,Sang-Woo Lee; Sohee Yang; Donghyun Kwak; N. Siegel,"Many recent papers have studied the development of superforecaster-level event forecasting LLMs. While methodological problems with early studies cast doubt on the use of LLMs for event forecasting, recent studies with improved evaluation methods have shown that state-of-the-art LLMs are gradually reaching superforecaster-level performance, and reinforcement learning has also been reported to improve future forecasting. Additionally, the unprecedented success of recent reasoning models and Deep Research-style models suggests that technology capable of greatly improving forecasting performance has been developed. Therefore, based on these positive recent trends, we argue that the time is ripe for research on large-scale training of superforecaster-level event forecasting LLMs. We discuss two key research directions: training methods and data acquisition. For training, we first introduce three difficulties of LLM-based event forecasting training: noisiness-sparsity, knowledge cut-off, and simple reward structure problems. Then, we present related ideas to mitigate these problems: hypothetical event Bayesian networks, utilizing poorly-recalled and counterfactual events, and auxiliary reward signals. For data, we propose aggressive use of market, public, and crawling datasets to enable large-scale training and evaluation. Finally, we explain how these technical advances could enable AI to provide predictive intelligence to society in broader areas. This position paper presents promising specific paths and considerations for getting closer to superforecaster-level AI technology, aiming to call for researchers'interest in these directions."
15,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,"Agentic forecasting system using news search, supervisor aggregation, and calibration.",382522641d17bebeb394dd07fe6557a6563defcd,AIA Forecaster: Technical Report,2025,1,2,43.51,citation:2,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/382522641d17bebeb394dd07fe6557a6563defcd,10.48550/arXiv.2511.07678,2511.07678,arXiv.org,Rohan Alur; Bradly C. Stadie; Daniel Kang; Ryan Chen; Matt McManus; Michaela Rickert; Tyler Lee; Michael P. Federici; Richard Zhu; Dennis Fogerty; H. Williamson; Nina Lozinski; Aaron Linsky; J. Sekhon,"This technical report describes the AIA Forecaster, a Large Language Model (LLM)-based system for judgmental forecasting using unstructured data. The AIA Forecaster approach combines three core elements: agentic search over high-quality news sources, a supervisor agent that reconciles disparate forecasts for the same event, and a set of statistical calibration techniques to counter behavioral biases in large language models. On the ForecastBench benchmark (Karger et al., 2024), the AIA Forecaster achieves performance equal to human superforecasters, surpassing prior LLM baselines. In addition to reporting on ForecastBench, we also introduce a more challenging forecasting benchmark sourced from liquid prediction markets. While the AIA Forecaster underperforms market consensus on this benchmark, an ensemble combining AIA Forecaster with market consensus outperforms consensus alone, demonstrating that our forecaster provides additive information. Our work establishes a new state of the art in AI forecasting and provides practical, transferable recommendations for future research. To the best of our knowledge, this is the first work that verifiably achieves expert-level forecasting at scale."
16,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Methodological guardrail paper on temporal leakage and real-world validity in LLM forecasting.,aceb94676d003e84cdc29a9c72259c3d412c7e61,Pitfalls in Evaluating Language Model Forecasters,2025,12,1,41.57,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,https://www.semanticscholar.org/paper/aceb94676d003e84cdc29a9c72259c3d412c7e61,10.48550/arXiv.2506.00723,2506.00723,arXiv.org,Daniel Paleka; Shashwat Goel; Jonas Geiping; F. Tramèr,"Large language models (LLMs) have recently been applied to forecasting tasks, with some works claiming these systems match or exceed human performance. In this paper, we argue that, as a community, we should be careful about such conclusions as evaluating LLM forecasters presents unique challenges. We identify two broad categories of issues: (1) difficulty in trusting evaluation results due to many forms of temporal leakage, and (2) difficulty in extrapolating from evaluation performance to real-world forecasting. Through systematic analysis and concrete examples from prior work, we demonstrate how evaluation flaws can raise concerns about current and future performance claims. We argue that more rigorous evaluation methodologies are needed to confidently assess the forecasting abilities of LLMs."
17,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Directly tests whether LLM forecasts update under newly arriving information.,eb24c93d4efa0d9fb6c7823ae0adf61a6d025208,Do Language Models Update their Forecasts with New Information?,2025,0,2,40.0,citation:2,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/eb24c93d4efa0d9fb6c7823ae0adf61a6d025208,,2509.23936,,Moy Yuan; Zifeng Ding; Andreas Vlachos,"Prior work has largely treated forecasting as a static task, failing to consider how forecasts and the confidence in them should evolve as new evidence emerges. To address this gap, we introduce EvolveCast, a framework for evaluating whether large language models revise their forecasts appropriately in response to new information. In particular, EvolveCast assesses whether LLMs update their forecasts when presented with information released after their training cutoff. We use human forecasters as a comparative reference to assess forecast updates and confidence calibration under new information. While LLMs demonstrate some responsiveness to new information, their updates are often inconsistent or overly conservative. We further find that both verbalized and logits-based confidence estimates remain far from the human reference standard. Across settings with a variety of LLMs, models tend to be conservative in updating their forecasts. These findings suggest that current approaches (e.g., RAG-based methods) for updating model knowledge are insufficient for probabilistic reasoning; models treat new information as retrieval context rather than evidence that shifts posterior probability. EvolveCast thus underscores the need for more robust mechanisms to incorporate external knowledge into belief dynamics."
18,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Outcome-driven fine-tuning approach for future forecasting beyond cutoff.,4fd865860aa5508e092201b6b321926d84ef2ace,LLMs Can Teach Themselves to Better Predict the Future,2025,4,1,39.49,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,https://www.semanticscholar.org/paper/4fd865860aa5508e092201b6b321926d84ef2ace,10.48550/arXiv.2502.05253,2502.05253,arXiv.org,Benjamin Turtel; Danny Franklin; Philipp Schoenegger,"We present an outcome-driven fine-tuning framework that enhances the forecasting capabilities of large language models (LLMs) without relying on human-curated reasoning samples. Our method leverages model self-play to generate pairs of diverse reasoning trajectories and probabilistic forecasts for a set of diverse questions that resolve after the models' knowledge cutoff date. We then rank pairs of these reasoning traces by their distance to the actual outcomes before fine-tuning the model via Direct Preference Optimization (DPO). On a separate test set, our approach increases prediction accuracy of Phi-4 14B and DeepSeek-R1 14B by between 7--10\% over a base model and a DPO fine-tuned control model with randomized labels, bringing them on par with forecasting capabilities of much larger frontier models like GPT-4o."
19,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Direct comparison of frontier LLMs against expert forecasters.,1716271fd5d30cb017515309f5db0330a8944755,Evaluating LLMs on Real-World Forecasting Against Expert Forecasters,2025,2,1,38.39,citation:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,https://www.semanticscholar.org/paper/1716271fd5d30cb017515309f5db0330a8944755,,2507.04562,,Janna Lu,"Large language models (LLMs) have demonstrated remarkable capabilities across diverse tasks, but their ability to forecast future events remains understudied. A year ago, large language models struggle to come close to the accuracy of a human crowd. I evaluate state-of-the-art LLMs on 464 forecasting questions from Metaculus, comparing their performance against top forecasters. Frontier models achieve Brier scores that ostensibly surpass the human crowd but still significantly underperform a group of experts."
20,forecasting-event,strong_candidate,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,Benchmark-style study of whether LMs can use human forecasting strategies.,cbdbd93f4f30693ad408e480b2060a5ffda09994,Can Language Models Use Forecasting Strategies?,2024,12,1,35.77,reference:1,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,https://www.semanticscholar.org/paper/cbdbd93f4f30693ad408e480b2060a5ffda09994,10.48550/arXiv.2406.04446,2406.04446,arXiv.org,Sarah Pratt; S. Blumberg; Pietro K. Carolino; Meredith Ringel Morris,"Advances in deep learning systems have allowed large models to match or surpass human accuracy on a number of skills such as image classification, basic programming, and standardized test taking. As the performance of the most capable models begin to saturate on tasks where humans already achieve high accuracy, it becomes necessary to benchmark models on increasingly complex abilities. One such task is forecasting the future outcome of events. In this work we describe experiments using a novel dataset of real world events and associated human predictions, an evaluation metric to measure forecasting ability, and the accuracy of a number of different LLM based forecasting designs on the provided dataset. Additionally, we analyze the performance of the LLM forecasters against human predictions and find that models still struggle to make accurate predictions about the future. Our follow-up experiments indicate this is likely due to models' tendency to guess that most events are unlikely to occur (which tends to be true for many prediction datasets, but does not reflect actual forecasting abilities). We reflect on next steps for developing a systematic and reliable approach to studying LLM forecasting."
