awesome_section,id,priority,category,title,year_or_timeframe,paper_type_or_source,source_url,notes
Forecasting and Decision-Making,15,Core,Forecasting and event prediction,Approaching Human-Level Forecasting with Language Models,2024,arXiv preprint,https://arxiv.org/abs/2402.18563,Key paper for retrieval-augmented and aggregated language model forecasting.
Forecasting and Decision-Making,16,Core,Forecasting and event prediction,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,2024,arXiv preprint,https://arxiv.org/abs/2409.19839,Important because dynamic forecasting benchmarks reduce training-data contamination concerns.
Forecasting and Decision-Making,17,Core,Forecasting and event prediction,MIRAI: Evaluating LLM Agents for Event Forecasting,2024,arXiv preprint,https://arxiv.org/abs/2407.01231,Central benchmark for agentic international event forecasting.
Forecasting and Decision-Making,18,Important,Forecasting and event prediction,A Comprehensive Evaluation of Large Language Models on Temporal Event Forecasting,2024,arXiv preprint,https://arxiv.org/html/2407.11638v2,Useful for understanding forecasting failures and temporal generalization.
Forecasting and Decision-Making,19,Important,Forecasting and event prediction,The Power of Simplicity in LLM-Based Event Forecasting,2025,Association for Computational Linguistics workshop paper,https://aclanthology.org/2025.realm-1.32/,Methodological caution against over-engineered agent frameworks.
Forecasting and Decision-Making,20,Core,Forecasting and event prediction,Forecasting Future International Events: A Reliable Dataset for Text-Based Event Modeling / WORLDREP,2024,arXiv preprint,https://arxiv.org/abs/2411.14042,Important for data quality and expert-validated labels in geopolitical forecasting.
Forecasting and Decision-Making,21,Important,Forecasting and event prediction,OpenEP: Open-Ended Future Event Prediction,2024,arXiv preprint,https://arxiv.org/html/2408.06578v2,Relevant because real strategic questions often require open-ended outcome descriptions.
Forecasting and Decision-Making,22,Important,Forecasting and event prediction,The Future Is Unevenly Distributed: Forecasting Ability of LLMs Depends on What We’re Asking,2025,arXiv preprint,https://arxiv.org/abs/2511.18394,Useful warning that forecasting ability is not a single scalar model property.
Forecasting and Decision-Making,23,Important,Forecasting and event prediction,LLM4Geopolitics: A Framework Leveraging Large Language Models for Predicting Geopolitical Events,2025,Expert Systems journal article,https://onlinelibrary.wiley.com/doi/10.1111/exsy.70258,Architecture-oriented paper for geopolitical prediction systems.
Geopolitical Risk and Policy Signals,24,Core,Geopolitical risk and policy signals,Geoeconomic Pressure,2026 or current working paper,National Bureau of Economic Research working paper,https://www.nber.org/papers/w34020,One of the most directly relevant papers for geoeconomic measurement.
Geopolitical Risk and Policy Signals,25,Core,Geopolitical risk and policy signals,The AI-GPR Index: Measuring Geopolitical Risk using Artificial Intelligence,2024 or 2025,Working paper / research manuscript,https://www.matteoiacoviello.com/research_files/AI_GPR_PAPER.pdf,Key paper for moving from keyword geopolitical risk indices to model-based scoring.
Geopolitical Risk and Policy Signals,26,Important,Geopolitical risk and policy signals,Quantifying Uncertainty: A New Era of Measurement Through Large Language Models,2024,Swiss National Bank working paper,https://www.snb.ch/public/asset/en/www-snb-ch/publications/research/working-papers/2024/working_paper_2024_12/publications0_en/working_paper_2024_12.pdf,Important companion to AI-based geopolitical risk measurement.
Geopolitical Risk and Policy Signals,27,Important,Geopolitical risk and policy signals,Macroeconomic Forecasting with Large Language Models,2024,arXiv preprint,https://arxiv.org/pdf/2407.00890,Useful for connecting geopolitical shocks to macroeconomic forecasting.
Geopolitical Risk and Policy Signals,28,Important,Geopolitical risk and policy signals,A Large-Scale LLM Analysis of Central Bank Communication,2025,International Monetary Fund working paper,https://www.imf.org/-/media/files/publications/wp/2025/english/wpiea2025109-print-pdf.pdf,Relevant for policy signal extraction and expectation analysis.
Geopolitical Risk and Policy Signals,29,Important,Geopolitical risk and policy signals,Decomposing macroeconomic sentiment with LLMs,2025,Bank for International Settlements working paper,https://www.bis.org/publ/work1294.pdf,Good example of language models as macro narrative parsers.
Multi-Agent Social and Political Simulation,38,Core,Multi-agent and social simulation,Generative Agents: Interactive Simulacra of Human Behavior,2023,arXiv preprint / conference paper,https://arxiv.org/abs/2304.03442,Foundational architecture for large language model based agent simulations.
Multi-Agent Social and Political Simulation,39,Important,Multi-agent and social simulation,"Out of One, Many: Using Language Models to Simulate Human Samples",2023,Political Analysis,https://www.cambridge.org/core/journals/political-analysis/article/out-of-one-many-using-language-models-to-simulate-human-samples/035D7C8A55B237942FB6DBAD7CAA4E49,Central paper for synthetic population and political survey simulation debates.
Multi-Agent Social and Political Simulation,40,Important,Multi-agent and social simulation,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,2023,International Conference on Machine Learning proceedings,https://proceedings.mlr.press/v202/aher23a/aher23a.pdf,Important early empirical work on language models as simulated study participants.
Multi-Agent Social and Political Simulation,41,Core,Multi-agent and social simulation,"Generative Agent Simulations of 1,000 People",2024,arXiv preprint,https://arxiv.org/abs/2411.10109,Major external-validity oriented work for large scale human simulation.
Multi-Agent Social and Political Simulation,42,Important,Multi-agent and social simulation,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,2025,arXiv preprint,https://arxiv.org/abs/2502.08691,Useful for large-scale policy and social-dynamics simulation.
Multi-Agent Social and Political Simulation,43,Important,Multi-agent and social simulation,S3: Social-network Simulation System with Large Language Model-Empowered Agents,2023,arXiv preprint,https://arxiv.org/pdf/2307.14984,"Relevant for public opinion, information operations, and social-media dynamics."
Multi-Agent Social and Political Simulation,44,Important,Multi-agent and social simulation,GA-S3: Comprehensive Social Network Simulation with Group Agents,2025,Association for Computational Linguistics findings paper,https://aclanthology.org/2025.findings-acl.468.pdf,Useful because geopolitical and governance actors are often collective rather than individual.
"Governance, Democracy, and Policymaking",45,Important,"Governance, democracy, policy, and political influence",Large Language Models as agents for augmented democracy,2024,Philosophical Transactions of the Royal Society A,https://royalsocietypublishing.org/rsta/article/382/2285/20240100/108429/Large-language-models-LLMs-as-agents-for-augmented,Key for participatory governance and collective decision-making applications.
"Governance, Democracy, and Policymaking",46,Important,"Governance, democracy, policy, and political influence",Sci2Pol: Evaluating and Fine-tuning LLMs on Scientific-to-Policy Brief Generation,2025,arXiv preprint,https://arxiv.org/abs/2509.21493,Useful for policy decision support and evidence-to-policy workflows.
"Governance, Democracy, and Policymaking",47,Important,"Governance, democracy, policy, and political influence",Biased LLMs can Influence Political Decision-Making,2025,Association for Computational Linguistics long paper,https://aclanthology.org/2025.acl-long.328/,"Important for governance risk, model bias, and human decision influence."
"Governance, Democracy, and Policymaking",48,Important,"Governance, democracy, policy, and political influence","Large Language Models Can Argue in Convincing Ways About Politics, But Humans Dislike AI Authors: Implications for Governance",2024 or 2025,Political communication / governance research listing,https://collaborate.princeton.edu/en/publications/large-language-models-can-argue-in-convincing-ways-about-politics/,Useful for political persuasion and disclosure-related governance questions.
"Governance, Democracy, and Policymaking",49,Important,"Governance, democracy, policy, and political influence",Large language models reflect the ideology of their creators,2025,Nature Machine Intelligence,https://www.nature.com/articles/s44387-025-00048-0,Important for cross-national model governance and ideological bias auditing.
"Governance, Democracy, and Policymaking",50,Important,"Governance, democracy, policy, and political influence",Political Actor Agent: Simulating Legislative Politics with LLM Agents,2024,arXiv preprint,https://arxiv.org/abs/2412.07144,Useful example of modeling political actors under institutional constraints.
"Governance, Democracy, and Policymaking",51,Optional,"Governance, democracy, policy, and political influence",LegiGPT: Party Politics and Transport Policy with Large Language Model,2025,arXiv preprint,https://arxiv.org/abs/2506.16692,Narrower applied case for legislative policy analysis.
"Governance, Democracy, and Policymaking",52,Optional / Important,"Governance, democracy, policy, and political influence",Large-Scale Longitudinal Study of LLMs During the 2024 United States Election Season,2025,arXiv preprint,https://arxiv.org/abs/2509.18446,Useful for election-cycle audits and model behavior drift.
