seed_file,id,priority,category,title,short_name,year_or_timeframe,paper_type_or_source,source_url,notes
llm_finance_papers.csv,13,P1,Bilingual Financial Benchmark,Golden Touchstone: A Comprehensive Bilingual Benchmark for Evaluating Financial Large Language Models,Golden Touchstone,2024,Benchmark,https://arxiv.org/html/2411.06272v1,Useful for cross-market and multilingual financial LLM studies.
llm_finance_papers.csv,14,P1,Financial Benchmark,FLaME: A Holistic Benchmark for Financial Language Models,FLaME,2025,Benchmark,https://arxiv.org/abs/2506.15846,Evaluates many models over financial tasks.
llm_finance_papers.csv,15,P1,Chinese Financial LLM,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",BBT-Fin,2023,Model / Corpus / Benchmark,https://arxiv.org/abs/2302.09432,Includes large Chinese financial corpus and benchmark.
llm_finance_papers.csv,16,P2,Financial Benchmark,Large Language Model Evaluation on Financial Benchmarks,IBM Financial Benchmark Evaluation,2024,Evaluation,https://research.ibm.com/publications/large-language-model-evaluation-on-financial-benchmarks,Includes English and Japanese financial benchmark discussion.
llm_finance_papers.csv,17,P2,Chinese Financial Benchmark,FLAME: Financial Large Language Model Evaluation System in Chinese,FLAME Chinese Evaluation,2025,Benchmark / Evaluation System,https://arxiv.org/abs/2501.06211,Includes certification-style and scenario-style tests.
llm_finance_papers.csv,18,P0,Financial Numerical Reasoning,FinQA: A Dataset of Numerical Reasoning over Financial Data,FinQA,2021,Dataset / Benchmark,https://arxiv.org/abs/2109.00122,Includes expert-labeled question-answer pairs and gold reasoning programs.
llm_finance_papers.csv,19,P0,Table-Text Financial QA,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,TAT-QA,2021,Dataset / Benchmark,https://arxiv.org/abs/2105.07624,"Tests operations such as addition, subtraction, division, sorting, and counting."
llm_finance_papers.csv,20,P0,Conversational Financial QA,ConvFinQA: Exploring the Chain of Numerical Reasoning in Conversational Finance Question Answering,ConvFinQA,2022,Dataset / Benchmark,https://arxiv.org/abs/2210.03849,Extends financial reasoning into multi-turn conversation.
llm_finance_papers.csv,21,P0,Financial Table-Text Reasoning,MultiHiertt: Numerical Reasoning over Multi Hierarchical Tabular and Textual Data,MultiHiertt,2022,Dataset / Benchmark,https://arxiv.org/abs/2206.01347,Important for filings with multiple tables and hierarchical structure.
llm_finance_papers.csv,22,P0,Long-Context Financial Reasoning,DocFinQA: A Long-Context Financial Reasoning Dataset,DocFinQA,2024,Dataset / Benchmark,https://arxiv.org/html/2401.06915v2,Expands local financial question answering to complete report context.
llm_finance_papers.csv,23,P0,Financial QA / RAG,FinanceBench: A New Benchmark for Financial Question Answering,FinanceBench,2023,Benchmark,https://arxiv.org/abs/2311.11944,"Includes questions, answers, and supporting evidence strings."
llm_finance_papers.csv,24,P1,SEC Filing QA,SEC-QA: A Systematic Benchmark for Evaluating Long-Context Question Answering on SEC Filings,SEC-QA,2024,Benchmark,https://arxiv.org/html/2406.14394v1,Semi-automatic question-answer generation from recent filings.
llm_finance_papers.csv,25,P1,SEC Filing QA,SECQUE: A Benchmark for Evaluating Question-Answering on SEC Filings,SECQUE,2025,Benchmark,https://arxiv.org/abs/2504.04596,Includes expert-authored questions and SECQUE-Judge evaluation.
llm_finance_papers.csv,26,P1,Financial Reasoning,FinanceReasoning: A Financial Benchmark for Large Reasoning Models,FinanceReasoning,2025,Benchmark,https://arxiv.org/html/2506.05828,Includes updated public tasks and new questions with Python solutions.
llm_finance_papers.csv,27,P1,Business / Financial Reasoning,BizBench: A Quantitative Reasoning Benchmark for Business and Finance,BizBench,2024,Benchmark,https://aclanthology.org/2024.acl-long.452.pdf,Connects financial reasoning with business analytics.
llm_finance_papers.csv,28,P1,Financial Data Analysis,FinDABench: Benchmarking Financial Data Analysis Ability of Large Language Models,FinDABench,2024,Benchmark,https://arxiv.org/abs/2401.02982,Useful for end-to-end financial analyst workflow evaluation.
llm_finance_papers.csv,29,P0,SEC Filing Analytics,Fin-RATE: Financial Report Analytics and Tracking Evaluation for Large Language Models,Fin-RATE,2026,Benchmark,https://arxiv.org/abs/2602.07294,Important for realistic analyst workflow over multiple companies and periods.
llm_finance_papers.csv,30,P0,XBRL / Financial Reports,XBRL Agent: Leveraging Large Language Models for Financial Report Analysis,XBRL Agent,2024,Agent / Framework,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4993495,Highlights limitations in financial domain knowledge and mathematical calculation.
llm_finance_papers.csv,31,P0,XBRL / Taxonomy Alignment,FinTagging: A Full-Scope Table-Aware XBRL Tagging Benchmark with LLMs,FinTagging,2025,Benchmark,https://arxiv.org/abs/2505.20650,Shows fine-grained XBRL concept alignment remains difficult.
llm_finance_papers.csv,32,P1,SEC Risk Extraction,Taxonomy-Aligned Risk Extraction from 10-K Filings,Taxonomy-Aligned Risk Extraction,2026,Framework / Benchmark,https://arxiv.org/abs/2601.15247,Relevant to risk factor maps and compliance-grade evidence trails.
llm_finance_papers.csv,33,P1,Risk Quantification,Quantifying Material Risks from Textual Disclosures in Financial Statements using Large Language Model Agents,Quantifying Material Risks,2025,Agent / Risk Analysis,https://www.bis.org/ifc/publ/ifcb65_09_rh.pdf,Connects textual disclosures to measurable risk analytics.
llm_finance_papers.csv,34,P0,Financial Statement Analysis,Financial Statement Analysis with Large Language Models,FSA with LLMs,2024,Empirical Study,https://arxiv.org/abs/2407.17866,Major paper on GPT-4 financial-statement reasoning and trading signal construction.
llm_finance_papers.csv,35,P1,News-Based Return Prediction,Can ChatGPT Forecast Stock Price Movements? Return Predictability and Large Language Models,ChatGPT Return Predictability,2023,Empirical Study,https://arxiv.org/abs/2304.07619,Important for event-driven and news sentiment alpha studies.
llm_finance_papers.csv,36,P1,Equity Ratings,AI in Investment Analysis: Large Language Models for Equity Stock Ratings,LLMs for Equity Stock Ratings,2024,Empirical Study,https://arxiv.org/abs/2411.00856,Attempts to reduce leakage by using post-cutoff data.
llm_finance_papers.csv,37,P0,Trading Agent,FinMem: A Performance-Enhanced Large Language Model Trading Agent with Layered Memory and Character Design,FinMem,2023,Agent,https://arxiv.org/abs/2311.13743,Early influential LLM trading agent architecture.
llm_finance_papers.csv,38,P0,Multi-Agent Trading,TradingAgents: Multi-Agents Large Language Models for Financial Trading,TradingAgents,2024,Agent / Framework,https://arxiv.org/abs/2412.20138,Relevant to agentic investment committee workflows.
llm_finance_papers.csv,39,P0,Financial Agent Benchmark,InvestorBench: A Benchmark for Large Language Model Agents in Financial Decision-Making,InvestorBench,2024,Benchmark,https://arxiv.org/abs/2412.18174,Important for measuring investment agents beyond static QA.
llm_finance_papers.csv,40,P1,Trading Benchmark,StockBench: Can Large Language Models Beat the Stock Market?,StockBench,2025,Benchmark,https://arxiv.org/html/2510.02209v2,Useful for checking whether LLM trading conclusions survive stricter evaluation.
llm_finance_papers.csv,41,P1,LLM Investment Strategies,Can LLM-Based Financial Investing Strategies Outperform?,LLM Investing Strategies,2025,Empirical Study,https://arxiv.org/abs/2505.07078,Highlights bull-market and bear-market behavior issues.
llm_finance_papers.csv,42,P1,Fundamental + Technical Trading,FinTradeBench: A Comprehensive Benchmark for Fundamental and Technical Analysis in Financial Trading,FinTradeBench,2026,Benchmark,https://arxiv.org/abs/2603.19225,Useful for comparing RAG benefits across fundamental and technical tasks.
llm_finance_papers.csv,43,P1,Financial Time-Series LM,StockGPT: A GenAI Model for Stock Prediction and Trading,StockGPT,2024,Model,https://arxiv.org/abs/2404.05101,Represents tokenized return sequence modeling for stock prediction.
llm_finance_papers.csv,44,P1,Portfolio Optimization,Decision-Informed Neural Networks with Large Language Model Integration for Portfolio Optimization,Decision-Informed Portfolio Optimization,2025,Method,https://ideas.repec.org/p/arx/papers/2502.00828.html,Important distinction between prediction accuracy and portfolio utility.
llm_finance_papers.csv,45,P1,Sector Allocation,Leveraging Large Language Models for Top-Down Sector Allocation,LLMs for Sector Allocation,2025,Empirical Study,https://arxiv.org/html/2503.09647v5,Complements bottom-up stock selection papers.
llm_finance_papers.csv,46,P2,Multimodal Stock Prediction,The Wall Street Neophyte: A Zero-Shot Analysis of ChatGPT over Multimodal Stock Movement Prediction Challenges,The Wall Street Neophyte,2023,Empirical Study,https://arxiv.org/abs/2304.05351,Useful counterweight to overly optimistic trading papers.
llm_finance_papers.csv,47,P2,Investment Bias,"Your AI, Not Your View: The Bias of Large Language Models in Investment Analysis","Your AI, Not Your View",2025,Empirical Study,https://arxiv.org/html/2507.20957v4,Relevant for governance and investment-style bias auditing.
llm_finance_papers.csv,48,P2,Institutional Investment,Leveraging Large Language Models for Institutional Investment Management,LLMs for Institutional Investment Management,2024,Empirical Study,https://arxiv.org/abs/2411.19515,Relevant to multi-asset allocation and institutional workflows.
llm_finance_papers.csv,49,P0,Equity Research / Valuation Agent,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,FinRobot Equity Research,2024,Agent / Framework,https://arxiv.org/abs/2411.08804,Core paper for equity research automation.
llm_finance_papers.csv,50,P0,Financial Agent Platform,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,FinRobot Platform,2024,Agent Platform,https://arxiv.org/abs/2405.14767,Platform version of the FinRobot research program.
llm_finance_papers.csv,51,P0,Equity Research Report Structure,The Structure of Financial Equity Research Reports,Equity Research Report Structure,2024,Empirical Study,https://arxiv.org/abs/2407.18327,"Important for decomposing report generation into extraction, database lookup, and human judgment."
llm_finance_papers.csv,52,P0,Financial Report Generation,FinRpt: Financial Report Understanding and Generation Benchmark,FinRpt,2025,Benchmark,https://arxiv.org/html/2511.07322v1,Directly relevant to industry and equity research report generation.
llm_finance_papers.csv,53,P1,Investment Report Generation,Task-Adaptive Large Language Models to Generate Human-Persuasive Investment Reports,Task-Adaptive Investment Reports,2025,Method / Evaluation,https://aclanthology.org/2025.finnlp-2.23.pdf,Focuses on persuasion and task adaptation rather than only automatic text metrics.
llm_finance_papers.csv,54,P1,Conversational Stock Analysis,FinSphere: A Conversational Stock Analysis Agent based on Large Language Models,FinSphere,2025,Agent / Benchmark,https://arxiv.org/abs/2501.12399,Includes Stocksis dataset and stock analysis report generation.
llm_finance_papers.csv,55,P1,Financial Assistant Benchmark,Finance Agent Benchmark: Evaluating Language Model Agents as Financial Assistants,Finance Agent Benchmark,2025,Benchmark,https://arxiv.org/abs/2508.00828,Requires recent SEC filing use and expert-authored tasks.
llm_finance_papers.csv,56,P1,Professional Financial Knowledge,A Preliminary Look at the State of the Art of Large Language Models on Chartered Financial Analyst Exams,LLMs on CFA Exams Preliminary,2024,Evaluation,https://aclanthology.org/2024.emnlp-industry.80/,Useful for baseline professional competence evaluation.
llm_finance_papers.csv,57,P1,Professional Financial Reasoning,Advanced Financial Reasoning at Scale: Large Language Models on Chartered Financial Analyst Level III,LLMs on CFA Level III,2025,Evaluation,https://arxiv.org/abs/2507.02954,Compares reasoning methods such as Chain of Thought and Self-Discover.
llm_finance_papers.csv,58,P1,Professional Financial Knowledge / RAG,Can Large Language Models Tackle the Chartered Financial Analyst Exam?,LLMs and CFA Exam,2025,Evaluation,https://arxiv.org/abs/2509.04468,Uses official mock exam questions across CFA Levels I to III.
llm_geopolitics_geoeconomics_governance_papers.csv,1,Core,Survey and foundations,Political-LLM: Large Language Models in Political Science,,2024,arXiv preprint,https://arxiv.org/abs/2412.06864,Good entry point for a political science oriented literature review.
llm_geopolitics_geoeconomics_governance_papers.csv,2,Core,Survey and foundations,Large Language Models in Politics and Democracy: A Comprehensive Survey,,2024,arXiv preprint,https://arxiv.org/abs/2412.04498,"Useful for framing governance, democratic process, transparency, accountability, and political communication."
llm_geopolitics_geoeconomics_governance_papers.csv,3,Core,Survey and foundations,Can Large Language Models Transform Computational Social Science?,,2024,Computational Linguistics / Association for Computational Linguistics,https://aclanthology.org/2024.cl-1.8/,Important methodological baseline; distinguishes classification performance from simulation and research-assistance value.
llm_geopolitics_geoeconomics_governance_papers.csv,4,Important,Survey and foundations,Large language models and political science,,2023,Frontiers in Political Science,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2023.1257092/full,Early framing paper; useful historically even if newer surveys are broader.
llm_geopolitics_geoeconomics_governance_papers.csv,5,Core,Survey and foundations,Large language models empowered agent-based modeling and simulation: a survey and perspectives,,2024,Nature Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-024-03611-3,Best general bridge from language models to agent-based modeling and simulation.
llm_geopolitics_geoeconomics_governance_papers.csv,6,Core,"Strategic, diplomatic, and military simulation",Escalation Risks from Language Models in Military and Diplomatic Decision-Making,,2024,arXiv preprint,https://arxiv.org/abs/2401.03408,Essential safety and evaluation paper for high-risk strategic decision support.
llm_geopolitics_geoeconomics_governance_papers.csv,7,Core,"Strategic, diplomatic, and military simulation",Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine,,2024,arXiv preprint,https://arxiv.org/html/2403.03407v4,Directly addresses whether language model role play resembles expert strategic behavior.
llm_geopolitics_geoeconomics_governance_papers.csv,8,Important,"Strategic, diplomatic, and military simulation",Open-Ended Wargames with Large Language Models,,2024,arXiv preprint,https://arxiv.org/html/2404.11446v1,Useful engineering reference for building interactive strategic simulation environments.
llm_geopolitics_geoeconomics_governance_papers.csv,9,Important,"Strategic, diplomatic, and military simulation",Simulating Influence Dynamics with LLM Agents,,2025,arXiv preprint,https://arxiv.org/html/2503.08709v1,"Relevant for information operations, strategic influence, and institutional response simulation."
llm_geopolitics_geoeconomics_governance_papers.csv,10,Important,"Strategic, diplomatic, and military simulation","LLMs as Strategic Actors: Behavioral Alignment, Risk Calibration, and Argumentation Framing in Geopolitical Simulations",,2026,arXiv preprint,https://arxiv.org/abs/2603.02128,Emerging work directly focused on large language models as strategic actors.
llm_geopolitics_geoeconomics_governance_papers.csv,11,Core,"Strategic, diplomatic, and military simulation",Critical Foreign Policy Decisions Benchmark: Measuring Diplomatic Preferences in Large Language Models,,2025,arXiv preprint,https://arxiv.org/abs/2503.06263,Important benchmark for turning foreign policy preferences into measurable model behavior.
llm_geopolitics_geoeconomics_governance_papers.csv,12,Core,"Strategic, diplomatic, and military simulation",Benchmarking LLMs for Political Science: A United Nations Perspective / United Nations Benchmark,,2025,arXiv preprint,https://arxiv.org/abs/2502.14122,Useful for diplomatic-process modeling and international-organization decision simulation.
llm_geopolitics_geoeconomics_governance_papers.csv,13,Core,"Strategic, diplomatic, and military simulation",UNSC-Bench: Evaluating LLM Diplomatic Role-Playing Through UN Security Council Vote Prediction,,2026,Association for Computational Linguistics paper,https://aclanthology.org/2026.mme-main.10.pdf,Strong fit for testing whether diplomatic role conditioning improves prediction.
llm_geopolitics_geoeconomics_governance_papers.csv,14,Optional / Engineering,"Strategic, diplomatic, and military simulation",LLM-based wargame scenario generation with domain ontology,,2025 or 2026,Simulation journal article,https://journals.sagepub.com/doi/10.1177/00375497251415245,More useful for system construction than for theory.
llm_geopolitics_geoeconomics_governance_papers.csv,15,Core,Forecasting and event prediction,Approaching Human-Level Forecasting with Language Models,,2024,arXiv preprint,https://arxiv.org/abs/2402.18563,Key paper for retrieval-augmented and aggregated language model forecasting.
llm_geopolitics_geoeconomics_governance_papers.csv,16,Core,Forecasting and event prediction,ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities,,2024,arXiv preprint,https://arxiv.org/abs/2409.19839,Important because dynamic forecasting benchmarks reduce training-data contamination concerns.
llm_geopolitics_geoeconomics_governance_papers.csv,17,Core,Forecasting and event prediction,MIRAI: Evaluating LLM Agents for Event Forecasting,,2024,arXiv preprint,https://arxiv.org/abs/2407.01231,Central benchmark for agentic international event forecasting.
llm_geopolitics_geoeconomics_governance_papers.csv,18,Important,Forecasting and event prediction,A Comprehensive Evaluation of Large Language Models on Temporal Event Forecasting,,2024,arXiv preprint,https://arxiv.org/html/2407.11638v2,Useful for understanding forecasting failures and temporal generalization.
llm_geopolitics_geoeconomics_governance_papers.csv,19,Important,Forecasting and event prediction,The Power of Simplicity in LLM-Based Event Forecasting,,2025,Association for Computational Linguistics workshop paper,https://aclanthology.org/2025.realm-1.32/,Methodological caution against over-engineered agent frameworks.
llm_geopolitics_geoeconomics_governance_papers.csv,20,Core,Forecasting and event prediction,Forecasting Future International Events: A Reliable Dataset for Text-Based Event Modeling / WORLDREP,,2024,arXiv preprint,https://arxiv.org/abs/2411.14042,Important for data quality and expert-validated labels in geopolitical forecasting.
llm_geopolitics_geoeconomics_governance_papers.csv,21,Important,Forecasting and event prediction,OpenEP: Open-Ended Future Event Prediction,,2024,arXiv preprint,https://arxiv.org/html/2408.06578v2,Relevant because real strategic questions often require open-ended outcome descriptions.
llm_geopolitics_geoeconomics_governance_papers.csv,22,Important,Forecasting and event prediction,The Future Is Unevenly Distributed: Forecasting Ability of LLMs Depends on What We’re Asking,,2025,arXiv preprint,https://arxiv.org/abs/2511.18394,Useful warning that forecasting ability is not a single scalar model property.
llm_geopolitics_geoeconomics_governance_papers.csv,23,Important,Forecasting and event prediction,LLM4Geopolitics: A Framework Leveraging Large Language Models for Predicting Geopolitical Events,,2025,Expert Systems journal article,https://onlinelibrary.wiley.com/doi/10.1111/exsy.70258,Architecture-oriented paper for geopolitical prediction systems.
llm_geopolitics_geoeconomics_governance_papers.csv,24,Core,"Geoeconomics, macro-finance, and supply chain",Geoeconomic Pressure,,2026 or current working paper,National Bureau of Economic Research working paper,https://www.nber.org/papers/w34020,One of the most directly relevant papers for geoeconomic measurement.
llm_geopolitics_geoeconomics_governance_papers.csv,25,Core,"Geoeconomics, macro-finance, and supply chain",The AI-GPR Index: Measuring Geopolitical Risk using Artificial Intelligence,,2024 or 2025,Working paper / research manuscript,https://www.matteoiacoviello.com/research_files/AI_GPR_PAPER.pdf,Key paper for moving from keyword geopolitical risk indices to model-based scoring.
llm_geopolitics_geoeconomics_governance_papers.csv,26,Important,"Geoeconomics, macro-finance, and supply chain",Quantifying Uncertainty: A New Era of Measurement Through Large Language Models,,2024,Swiss National Bank working paper,https://www.snb.ch/public/asset/en/www-snb-ch/publications/research/working-papers/2024/working_paper_2024_12/publications0_en/working_paper_2024_12.pdf,Important companion to AI-based geopolitical risk measurement.
llm_geopolitics_geoeconomics_governance_papers.csv,27,Important,"Geoeconomics, macro-finance, and supply chain",Macroeconomic Forecasting with Large Language Models,,2024,arXiv preprint,https://arxiv.org/pdf/2407.00890,Useful for connecting geopolitical shocks to macroeconomic forecasting.
llm_geopolitics_geoeconomics_governance_papers.csv,28,Important,"Geoeconomics, macro-finance, and supply chain",A Large-Scale LLM Analysis of Central Bank Communication,,2025,International Monetary Fund working paper,https://www.imf.org/-/media/files/publications/wp/2025/english/wpiea2025109-print-pdf.pdf,Relevant for policy signal extraction and macro-financial expectation analysis.
llm_geopolitics_geoeconomics_governance_papers.csv,29,Important,"Geoeconomics, macro-finance, and supply chain",Decomposing macroeconomic sentiment with LLMs,,2025,Bank for International Settlements working paper,https://www.bis.org/publ/work1294.pdf,Good example of language models as macro narrative parsers.
llm_geopolitics_geoeconomics_governance_papers.csv,30,Optional,"Geoeconomics, macro-finance, and supply chain","Forecasting Federal Fund Rates with AI: Long Short-Term Memory, Gated Recurrent Unit, and LLM",,2025,ASEAN+3 Macroeconomic Research Office working paper,https://amro-asia.org/wp-content/uploads/2025/09/AMRO_WP_25_10_FedAI_model.pdf,Useful if the review includes monetary-policy decision prediction.
llm_geopolitics_geoeconomics_governance_papers.csv,31,Important,"Geoeconomics, macro-finance, and supply chain",BloombergGPT: A Large Language Model for Finance,,2023,arXiv preprint,https://arxiv.org/abs/2303.17564,Foundational finance-specialized language model relevant to geoeconomic intelligence systems.
llm_geopolitics_geoeconomics_governance_papers.csv,32,Important,"Geoeconomics, macro-finance, and supply chain",FinGPT: Open-Source Financial Large Language Models,,2023,arXiv preprint,https://arxiv.org/abs/2306.06031,Relevant for building open-source geoeconomic analysis pipelines.
llm_geopolitics_geoeconomics_governance_papers.csv,33,Important,"Geoeconomics, macro-finance, and supply chain",FinBen: A Holistic Financial Benchmark for Large Language Models,,2024,arXiv preprint,https://arxiv.org/abs/2402.12659,Useful evaluation template for geoeconomic and financial language model systems.
llm_geopolitics_geoeconomics_governance_papers.csv,34,Optional / Engineering,"Geoeconomics, macro-finance, and supply chain",FinRobot: An Open-Source AI Agent Platform for Financial Applications,,2024,arXiv preprint,https://arxiv.org/abs/2405.14767,Engineering reference for agentic financial analysis pipelines.
llm_geopolitics_geoeconomics_governance_papers.csv,35,Important,"Geoeconomics, macro-finance, and supply chain",Digital innovation and supply chain risk: A large language model approach,,2025,Journal article / ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0927538X25001362,Useful for connecting geoeconomic shock exposure to firms and supply chains.
llm_geopolitics_geoeconomics_governance_papers.csv,36,Important,"Geoeconomics, macro-finance, and supply chain",Benchmarking large language models for supply chain risk identification within LARD-SC,,2025,Research manuscript / preprint listing,https://www.researchgate.net/publication/395957937_Benchmarking_large_language_models_for_supply_chain_risk_identification_an_extended_evaluation_within_the_LARD-SC_framework,Good benchmark-style paper for supply-chain risk extraction.
llm_geopolitics_geoeconomics_governance_papers.csv,37,Optional / Engineering,"Geoeconomics, macro-finance, and supply chain",Leveraging large language models to enhance multi-agent framework for supply chain networks,,2026,International Journal of Production Research article,https://www.tandfonline.com/doi/full/10.1080/00207543.2026.2619562,Useful for geoeconomic shock simulation across supply-chain networks.
llm_geopolitics_geoeconomics_governance_papers.csv,38,Core,Multi-agent and social simulation,Generative Agents: Interactive Simulacra of Human Behavior,,2023,arXiv preprint / conference paper,https://arxiv.org/abs/2304.03442,Foundational architecture for large language model based agent simulations.
llm_geopolitics_geoeconomics_governance_papers.csv,39,Important,Multi-agent and social simulation,"Out of One, Many: Using Language Models to Simulate Human Samples",,2023,Political Analysis,https://www.cambridge.org/core/journals/political-analysis/article/out-of-one-many-using-language-models-to-simulate-human-samples/035D7C8A55B237942FB6DBAD7CAA4E49,Central paper for synthetic population and political survey simulation debates.
llm_geopolitics_geoeconomics_governance_papers.csv,40,Important,Multi-agent and social simulation,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,,2023,International Conference on Machine Learning proceedings,https://proceedings.mlr.press/v202/aher23a/aher23a.pdf,Important early empirical work on language models as simulated study participants.
llm_geopolitics_geoeconomics_governance_papers.csv,41,Core,Multi-agent and social simulation,"Generative Agent Simulations of 1,000 People",,2024,arXiv preprint,https://arxiv.org/abs/2411.10109,Major external-validity oriented work for large scale human simulation.
llm_geopolitics_geoeconomics_governance_papers.csv,42,Important,Multi-agent and social simulation,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,,2025,arXiv preprint,https://arxiv.org/abs/2502.08691,Useful for large-scale policy and social-dynamics simulation.
llm_geopolitics_geoeconomics_governance_papers.csv,43,Important,Multi-agent and social simulation,S3: Social-network Simulation System with Large Language Model-Empowered Agents,,2023,arXiv preprint,https://arxiv.org/pdf/2307.14984,"Relevant for public opinion, information operations, and social-media dynamics."
llm_geopolitics_geoeconomics_governance_papers.csv,44,Important,Multi-agent and social simulation,GA-S3: Comprehensive Social Network Simulation with Group Agents,,2025,Association for Computational Linguistics findings paper,https://aclanthology.org/2025.findings-acl.468.pdf,Useful because geopolitical and governance actors are often collective rather than individual.
llm_geopolitics_geoeconomics_governance_papers.csv,45,Important,"Governance, democracy, policy, and political influence",Large Language Models as agents for augmented democracy,,2024,Philosophical Transactions of the Royal Society A,https://royalsocietypublishing.org/rsta/article/382/2285/20240100/108429/Large-language-models-LLMs-as-agents-for-augmented,Key for participatory governance and collective decision-making applications.
llm_geopolitics_geoeconomics_governance_papers.csv,46,Important,"Governance, democracy, policy, and political influence",Sci2Pol: Evaluating and Fine-tuning LLMs on Scientific-to-Policy Brief Generation,,2025,arXiv preprint,https://arxiv.org/abs/2509.21493,Useful for policy decision support and evidence-to-policy workflows.
llm_geopolitics_geoeconomics_governance_papers.csv,47,Important,"Governance, democracy, policy, and political influence",Biased LLMs can Influence Political Decision-Making,,2025,Association for Computational Linguistics long paper,https://aclanthology.org/2025.acl-long.328/,"Important for governance risk, model bias, and human decision influence."
llm_geopolitics_geoeconomics_governance_papers.csv,48,Important,"Governance, democracy, policy, and political influence","Large Language Models Can Argue in Convincing Ways About Politics, But Humans Dislike AI Authors: Implications for Governance",,2024 or 2025,Political communication / governance research listing,https://collaborate.princeton.edu/en/publications/large-language-models-can-argue-in-convincing-ways-about-politics/,Useful for political persuasion and disclosure-related governance questions.
llm_geopolitics_geoeconomics_governance_papers.csv,49,Important,"Governance, democracy, policy, and political influence",Large language models reflect the ideology of their creators,,2025,Nature Machine Intelligence,https://www.nature.com/articles/s44387-025-00048-0,Important for cross-national model governance and ideological bias auditing.
