slug,title,year,importance,theme,subtheme,citationCount,status,text_path,text_source,text_chars,truncated_for_model,error
a-turing-test-of-whether-ai-chatbots-are-behaviorally-similar-b21c96d020,A Turing test of whether AI chatbots are behaviorally similar to humans,2024,Watchlist,Peripheral and Borderline Materials,Generic negotiation and behavioral games,254,abstract_only,data/paper_cache/text/a-turing-test-of-whether-ai-chatbots-are-behaviorally-similar-b21c96d020.txt,abstract,813,False,downloaded file had too little extractable text
adaptive-political-surveys-and-gpt-4-tackling-the-cold-start-e277e924f5,Adaptive political surveys and GPT-4: Tackling the cold start problem with simulated user interactions,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",4,extracted,data/paper_cache/text/adaptive-political-surveys-and-gpt-4-tackling-the-cold-start-e277e924f5.txt,pdf_pypdf,83766,True,
advancing-decision-making-through-ai-human-collaboration-a-systematic-review-cb06db8dd4,Advancing Decision-Making through AI-Human Collaboration: A Systematic Review and Conceptual Framework,2026,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,5,extracted,data/paper_cache/text/advancing-decision-making-through-ai-human-collaboration-a-systematic-review-cb06db8dd4.txt,pdf_pypdf,80420,True,
advancing-event-forecasting-through-massive-training-of-large-language-models-3a205dd772,"Advancing Event Forecasting through Massive Training of Large Language Models: Challenges, Solutions, and Broader Impacts",2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,4,extracted,data/paper_cache/text/advancing-event-forecasting-through-massive-training-of-large-language-models-3a205dd772.txt,pdf_pypdf,119927,True,
advisers-and-aggregation-in-foreign-policy-decision-making-e040a477a8,Advisers and Aggregation in Foreign Policy Decision Making,2024,Important,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",16,extracted,data/paper_cache/text/advisers-and-aggregation-in-foreign-policy-decision-making-e040a477a8.txt,pdf_pypdf,109579,True,
agent-based-modeling-as-organizational-and-public-policy-simulators-39c91d9e1a,Agent-based modeling as organizational and public policy simulators,2002,Curated,"Foundations, Surveys, and Methods",Social simulation and agent-based modeling reviews,181,extracted,data/paper_cache/text/agent-based-modeling-as-organizational-and-public-policy-simulators-39c91d9e1a.txt,html,4671,False,
agent-based-modelling-meets-generative-ai-in-social-network-simulations-2e2690ab9b,Agent-Based Modelling Meets Generative AI in Social Network Simulations,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",34,extracted,data/paper_cache/text/agent-based-modelling-meets-generative-ai-in-social-network-simulations-2e2690ab9b.txt,pdf_pypdf,44347,False,
agentic-forecasting-using-sequential-bayesian-updating-of-linguistic-beliefs-2ad04dcb9c,Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs,2026,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,extracted,data/paper_cache/text/agentic-forecasting-using-sequential-bayesian-updating-of-linguistic-beliefs-2ad04dcb9c.txt,pdf_pypdf,120000,True,
agentic-reasoning-for-social-event-extrapolation-integrating-knowledge-graphs-an-c2f50f747e,Agentic Reasoning for Social Event Extrapolation: Integrating Knowledge Graphs and Language Models,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,1,extracted,data/paper_cache/text/agentic-reasoning-for-social-event-extrapolation-integrating-knowledge-graphs-an-c2f50f747e.txt,html,845,False,
agentsociety-large-scale-simulation-of-llm-driven-generative-agents-advances-8c5323e680,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,Generative agents and social simulation platforms,142,extracted,data/paper_cache/text/agentsociety-large-scale-simulation-of-llm-driven-generative-agents-advances-8c5323e680.txt,pdf_pypdf,120000,True,
ai-agents-alone-are-not-yet-sufficient-for-social-simulation-bcf6c13989,AI Agents Alone Are Not (Yet) Sufficient for Social Simulation,2026,Curated,"Foundations, Surveys, and Methods","Evaluation, validity, and contamination",1,extracted,data/paper_cache/text/ai-agents-alone-are-not-yet-sufficient-for-social-simulation-bcf6c13989.txt,pdf_pypdf,66909,True,
ai-and-corruption-legal-liability-in-algorithmic-decision-making-8616fa7719,AI and Corruption: Legal Liability in Algorithmic Decision-Making,2025,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",2,extracted,data/paper_cache/text/ai-and-corruption-legal-liability-in-algorithmic-decision-making-8616fa7719.txt,pdf_pypdf,78220,True,
ai-arms-and-influence-frontier-models-exhibit-sophisticated-reasoning-in-7d55421cb1,AI Arms and Influence: Frontier Models Exhibit Sophisticated Reasoning in Simulated Nuclear Crises,2026,Core,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",4,extracted,data/paper_cache/text/ai-arms-and-influence-frontier-models-exhibit-sophisticated-reasoning-in-7d55421cb1.txt,pdf_pypdf,120000,True,
ai-can-help-humans-find-common-ground-in-democratic-deliberation-15e42339e7,AI can help humans find common ground in democratic deliberation,2024,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,208,extracted,data/paper_cache/text/ai-can-help-humans-find-common-ground-in-democratic-deliberation-15e42339e7.txt,html,48388,False,
ai-deception-a-survey-of-examples-risks-and-potential-solutions-556f15cf7b,"AI deception: A survey of examples, risks, and potential solutions",2023,Watchlist,Peripheral and Borderline Materials,Generic AI safety and language-bias background,314,extracted,data/paper_cache/text/ai-deception-a-survey-of-examples-risks-and-potential-solutions-556f15cf7b.txt,pdf_pypdf,114717,True,
ai-in-conflict-resolution-practical-considerations-opportunities-and-challenges-47cfd2c452,"AI in Conflict Resolution: Practical Considerations, Opportunities and Challenges",2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,0,extracted,data/paper_cache/text/ai-in-conflict-resolution-practical-considerations-opportunities-and-challenges-47cfd2c452.txt,html,1328,False,
ai-strategy-under-institutional-pressure-strategic-conformity-and-decision-makin-cc12c9d6a5,AI strategy under institutional pressure: strategic conformity and decision-making in large language models,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,0,missing_text,,html,0,False,no extractable text and no abstract
ai-augmented-predictions-llm-assistants-improve-human-forecasting-accuracy-ddf6373991,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,43,extracted,data/paper_cache/text/ai-augmented-predictions-llm-assistants-improve-human-forecasting-accuracy-ddf6373991.txt,pdf_pypdf,90880,True,
ai-augmented-strategic-decision-making-under-time-constraints-an-experimental-a88ae3a35d,AI-Augmented Strategic Decision-Making Under Time Constraints: An Experimental Study on Mental Representations and Strategic Foresight,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,1,abstract_only,data/paper_cache/text/ai-augmented-strategic-decision-making-under-time-constraints-an-experimental-a88ae3a35d.txt,abstract_missing_download,1333,False,download_missing; abstract fallback
ai-slop-and-political-propaganda-the-role-of-ai-generated-91d884ab2f,AI-Slop and Political Propaganda: The Role of AI-Generated Content in Memes and Influence Campaigns,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,1,extracted,data/paper_cache/text/ai-slop-and-political-propaganda-the-role-of-ai-generated-91d884ab2f.txt,pdf_pypdf,44519,False,
aia-forecaster-technical-report-a5b66b602f,AIA Forecaster: Technical Report,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,extracted,data/paper_cache/text/aia-forecaster-technical-report-a5b66b602f.txt,pdf_pypdf,102651,True,
algorithmic-diplomacy-the-role-of-artificial-intelligence-in-shaping-21st-966376c9ef,ALGORITHMIC DIPLOMACY: THE ROLE OF ARTIFICIAL INTELLIGENCE IN SHAPING 21ST CENTURY FOREIGN POLICY DECISIONS,2026,Watchlist,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,0,extracted,data/paper_cache/text/algorithmic-diplomacy-the-role-of-artificial-intelligence-in-shaping-21st-966376c9ef.txt,html,3839,False,
alignsurvey-a-comprehensive-benchmark-for-human-preferences-alignment-in-social-8a56919019,AlignSurvey: A Comprehensive Benchmark for Human Preferences Alignment in Social Surveys,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",1,extracted,data/paper_cache/text/alignsurvey-a-comprehensive-benchmark-for-human-preferences-alignment-in-social-8a56919019.txt,pdf_pypdf,107564,True,
an-automated-information-extraction-tool-for-international-conflict-data-with-8fb6ec7c9b,An Automated Information Extraction Tool for International Conflict Data with Performance as Good as Human Coders: A Rare Events Evaluation Design,2003,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,432,extracted,data/paper_cache/text/an-automated-information-extraction-tool-for-international-conflict-data-with-8fb6ec7c9b.txt,html,19177,False,
an-emergent-understanding-of-human-ai-collaboration-in-deliberation-db9687dc52,An Emergent Understanding of Human-AI Collaboration in Deliberation,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,2,extracted,data/paper_cache/text/an-emergent-understanding-of-human-ai-collaboration-in-deliberation-db9687dc52.txt,html,3506,False,
an-evaluation-of-llms-for-political-bias-in-western-media-8d1784ec87,An evaluation of LLMs for political bias in Western media: Israel-Hamas and Ukraine-Russia wars,2026,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,0,extracted,data/paper_cache/text/an-evaluation-of-llms-for-political-bias-in-western-media-8d1784ec87.txt,pdf_pypdf,80927,True,
an-institutional-theory-framework-for-leveraging-large-language-models-for-e25305f7e5,An Institutional Theory Framework for Leveraging Large Language Models for Policy Analysis and Intervention Design,2025,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,6,extracted,data/paper_cache/text/an-institutional-theory-framework-for-leveraging-large-language-models-for-e25305f7e5.txt,html,2311,False,
analogies-at-war-korea-munich-dien-bien-phu-and-the-f730561d52,Analogies at War: Korea Munich Dien Bien Phu and the Vietnam Decisions of 1965,1992,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,701,abstract_only,data/paper_cache/text/analogies-at-war-korea-munich-dien-bien-phu-and-the-f730561d52.txt,html,349,False,no extractable text and no abstract
analysing-llm-persona-generation-and-fairness-interpretation-in-polarised-geopol-92f3eb8ee5,Analysing LLM Persona Generation and Fairness Interpretation in Polarised Geopolitical Contexts,2026,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,0,extracted,data/paper_cache/text/analysing-llm-persona-generation-and-fairness-interpretation-in-polarised-geopol-92f3eb8ee5.txt,pdf_pypdf,79289,True,
analysis-war-and-decision-why-intelligence-failures-are-inevitable-d80d554aeb,"Analysis, War, and Decision: Why Intelligence Failures Are Inevitable",1978,Core,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",326,extracted,data/paper_cache/text/analysis-war-and-decision-why-intelligence-failures-are-inevitable-d80d554aeb.txt,html,30274,False,
applications-of-gpt-in-political-science-research-extracting-information-from-d3aba77d74,Applications of GPT in Political Science Research: Extracting Information from Unstructured Text,2025,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,9,extracted,data/paper_cache/text/applications-of-gpt-in-political-science-research-extracting-information-from-d3aba77d74.txt,pdf_pypdf,49410,False,
approaching-human-level-forecasting-with-language-models-c13ca96e35,Approaching Human-Level Forecasting with Language Models,2024,Core,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,77,extracted,data/paper_cache/text/approaching-human-level-forecasting-with-language-models-c13ca96e35.txt,pdf_pypdf,119152,True,
are-llms-prescient-a-continuous-evaluation-using-daily-news-as-4c4182cf54,Are LLMs Prescient? A Continuous Evaluation using Daily News as the Oracle,2024,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,11,extracted,data/paper_cache/text/are-llms-prescient-a-continuous-evaluation-using-daily-news-as-4c4182cf54.txt,pdf_pypdf,99673,True,
are-we-asking-the-right-questions-designing-for-community-stakeholders-51366fb02f,Are We Asking the Right Questions?: Designing for Community Stakeholders’ Interactions with AI in Policing,2024,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,27,extracted,data/paper_cache/text/are-we-asking-the-right-questions-designing-for-community-stakeholders-51366fb02f.txt,pdf_pypdf,120000,True,
armor-2025-a-military-aligned-benchmark-for-evaluating-large-language-b095065c37,ARMOR 2025: A Military-Aligned Benchmark for Evaluating Large Language Model Safety Beyond Civilian Contexts,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,extracted,data/paper_cache/text/armor-2025-a-military-aligned-benchmark-for-evaluating-large-language-b095065c37.txt,pdf_pypdf,32930,False,
arms-and-influence-74b48f6391,Arms and Influence,1966,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",2033,extracted,data/paper_cache/text/arms-and-influence-74b48f6391.txt,html,1487,False,
artificial-intelligence-in-political-forecasting-possibilities-and-limitations-a776037411,Artificial Intelligence in Political Forecasting: Possibilities and Limitations,2026,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,0,extracted,data/paper_cache/text/artificial-intelligence-in-political-forecasting-possibilities-and-limitations-a776037411.txt,pdf_pypdf,66274,True,
assessing-political-bias-in-large-language-models-a1dc7fdc6e,Assessing political bias in large language models,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",50,extracted,data/paper_cache/text/assessing-political-bias-in-large-language-models-a1dc7fdc6e.txt,pdf_pypdf,34089,False,
assessing-the-political-fairness-of-multilingual-llms-a-case-study-105edd50e8,Assessing the Political Fairness of Multilingual LLMs: A Case Study based on a 21-way Multiparallel EuroParl Dataset,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,0,extracted,data/paper_cache/text/assessing-the-political-fairness-of-multilingual-llms-a-case-study-105edd50e8.txt,pdf_pypdf,95655,True,
assessing-the-risks-and-opportunities-posed-by-ai-enhanced-influence-4b90baa8d3,Assessing the risks and opportunities posed by AI-enhanced influence operations on social media,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,10,extracted,data/paper_cache/text/assessing-the-risks-and-opportunities-posed-by-ai-enhanced-influence-4b90baa8d3.txt,pdf_pypdf,36315,False,
audit-trails-for-accountability-in-large-language-models-c9a715c010,Audit Trails for Accountability in Large Language Models,2026,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",2,extracted,data/paper_cache/text/audit-trails-for-accountability-in-large-language-models-c9a715c010.txt,pdf_pypdf,67919,True,
autocast-enhancing-world-event-prediction-with-zero-shot-ranking-based-3ada43ecf5,AutoCast++: Enhancing World Event Prediction with Zero-shot Ranking-based Context Retrieval,2023,Important,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,15,extracted,data/paper_cache/text/autocast-enhancing-world-event-prediction-with-zero-shot-ranking-based-3ada43ecf5.txt,pdf_pypdf,65749,True,
automated-coding-of-international-event-data-using-sparse-parsing-techniques-de34354249,Automated Coding of International Event Data Using Sparse Parsing Techniques,2000,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,67,extracted,data/paper_cache/text/automated-coding-of-international-event-data-using-sparse-parsing-techniques-de34354249.txt,pdf_pypdf,56720,True,
automated-coding-of-political-event-data-783db5e082,Automated Coding of Political Event Data,2013,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,52,extracted,data/paper_cache/text/automated-coding-of-political-event-data-783db5e082.txt,html,15901,False,
automated-production-of-high-volume-near-real-time-political-event-cf56c6f644,"Automated Production of High-Volume, Near-Real-Time Political Event Data",2011,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,35,missing_download,,,0,False,download_missing
automatic-extraction-of-events-from-open-source-text-for-predictive-5f9108660a,Automatic Extraction of Events from Open Source Text for Predictive Forecasting,2013,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,52,extracted,data/paper_cache/text/automatic-extraction-of-events-from-open-source-text-for-predictive-5f9108660a.txt,html,9908,False,
automating-forecasting-question-generation-and-resolution-for-ai-evaluation-5e43b8bce8,Automating Forecasting Question Generation and Resolution for AI Evaluation,2026,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,1,extracted,data/paper_cache/text/automating-forecasting-question-generation-and-resolution-for-ai-evaluation-5e43b8bce8.txt,pdf_pypdf,116316,True,
automating-public-policy-a-comparative-study-of-conversational-artificial-intell-06cf324dac,Automating public policy: a comparative study of conversational artificial intelligence models and human expertise in crafting briefing notes,2024,Important,"Policymaking, Governance, and Institutional Decision Support",Policy translation and policy brief generation,2,extracted,data/paper_cache/text/automating-public-policy-a-comparative-study-of-conversational-artificial-intell-06cf324dac.txt,html,23717,False,
bargaining-and-learning-while-fighting-57f744be1f,Bargaining and Learning While Fighting,2003,Core,Political Science and Strategic Judgment Foundations,"Bargaining, signaling, and war",341,missing_download,,,0,False,download_missing
battleagent-multi-modal-dynamic-emulation-on-historical-battles-to-complement-9d3ef8c22f,BattleAgent: Multi-modal Dynamic Emulation on Historical Battles to Complement Historical Analysis,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,26,extracted,data/paper_cache/text/battleagent-multi-modal-dynamic-emulation-on-historical-battles-to-complement-9d3ef8c22f.txt,pdf_pypdf,87475,True,
battlefield-information-and-tactics-engine-bite-a-multimodal-large-language-644dcef056,Battlefield information and tactics engine (BITE): a multimodal large language model approach for battlespace management,2024,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,2,abstract_only,data/paper_cache/text/battlefield-information-and-tactics-engine-bite-a-multimodal-large-language-644dcef056.txt,abstract,1600,False,downloaded file had too little extractable text
bayesian-poisson-tensor-factorization-for-inferring-multilateral-relations-from--73ada09947,Bayesian Poisson Tensor Factorization for Inferring Multilateral Relations from Sparse Dyadic Event Counts,2015,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,112,extracted,data/paper_cache/text/bayesian-poisson-tensor-factorization-for-inferring-multilateral-relations-from--73ada09947.txt,pdf_pypdf,58825,True,
before-you-simulate-a-pre-study-benchmark-for-large-language-a55c2caa93,Before You Simulate: A Pre-Study Benchmark for Large Language Model Stability in Political Role-Playing Simulations,2026,Important,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,0,extracted,data/paper_cache/text/before-you-simulate-a-pre-study-benchmark-for-large-language-a55c2caa93.txt,html,3086,False,
behavioral-differences-between-expert-humans-and-language-models-in-wargame-4896f3be08,Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine,2024,Core,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,23,extracted,data/paper_cache/text/behavioral-differences-between-expert-humans-and-language-models-in-wargame-4896f3be08.txt,pdf_pypdf,85329,True,
bench-to-the-future-a-pastcasting-benchmark-for-forecasting-agents-410a43b274,Bench to the Future: A Pastcasting Benchmark for Forecasting Agents,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting benchmarks and datasets,8,extracted,data/paper_cache/text/bench-to-the-future-a-pastcasting-benchmark-for-forecasting-agents-410a43b274.txt,pdf_pypdf,49696,False,
benchmarking-llms-for-political-science-a-united-nations-perspective-united-62b8403508,Benchmarking LLMs for Political Science: A United Nations Perspective / United Nations Benchmark,2025,Important,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,5,extracted,data/paper_cache/text/benchmarking-llms-for-political-science-a-united-nations-perspective-united-62b8403508.txt,pdf_pypdf,64899,True,
beyond-black-boxes-designing-and-testing-agentic-ai-systems-for-57573d0a6a,Beyond Black Boxes: Designing and Testing Agentic AI Systems for Strategy,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,1,abstract_only,data/paper_cache/text/beyond-black-boxes-designing-and-testing-agentic-ai-systems-for-57573d0a6a.txt,abstract_missing_download,2048,False,download_missing; abstract fallback
beyond-demographics-aligning-role-playing-llm-based-agents-using-human-57c5585942,Beyond Demographics: Aligning Role-playing LLM-based Agents Using Human Belief Networks,2024,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,41,extracted,data/paper_cache/text/beyond-demographics-aligning-role-playing-llm-based-agents-using-human-57c5585942.txt,pdf_pypdf,59749,True,
beyond-nash-equilibrium-bounded-rationality-of-llms-and-humans-in-d1d0e77380,Beyond Nash Equilibrium: Bounded Rationality of LLMs and humans in Strategic Decision-making,2025,Curated,"Strategic Reasoning, Games, Negotiation, and Cooperation",Behavioral game tests and human-like strategy,8,extracted,data/paper_cache/text/beyond-nash-equilibrium-bounded-rationality-of-llms-and-humans-in-d1d0e77380.txt,pdf_pypdf,52446,True,
beyond-prompt-brittleness-evaluating-the-reliability-and-consistency-of-politica-9170c3f832,Beyond Prompt Brittleness: Evaluating the Reliability and Consistency of Political Worldviews in LLMs,2024,Important,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",52,extracted,data/paper_cache/text/beyond-prompt-brittleness-evaluating-the-reliability-and-consistency-of-politica-9170c3f832.txt,pdf_pypdf,73965,True,
bias-beyond-borders-political-ideology-evaluation-and-steering-in-multilingual-9ae72e1f84,Bias Beyond Borders: Political Ideology Evaluation and Steering in Multilingual LLMs,2026,Important,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,1,extracted,data/paper_cache/text/bias-beyond-borders-political-ideology-evaluation-and-steering-in-multilingual-9ae72e1f84.txt,pdf_pypdf,57094,True,
bias-in-symbolic-compliance-out-gpt-s-reliance-on-gender-69b0f2fa16,"Bias in, symbolic compliance out? GPT's reliance on gender and race in strategic evaluations",2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,0,abstract_only,data/paper_cache/text/bias-in-symbolic-compliance-out-gpt-s-reliance-on-gender-69b0f2fa16.txt,abstract,1851,False,downloaded file had too little extractable text
biased-llms-can-influence-political-decision-making-cf2e0afa48,Biased LLMs can Influence Political Decision-Making,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Strategic and institutional decision support,22,extracted,data/paper_cache/text/biased-llms-can-influence-political-decision-making-cf2e0afa48.txt,pdf_pypdf,120000,True,
blueprint-a-social-media-user-dataset-for-llm-persona-evaluation-4263ecbdee,BluePrint: A Social Media User Dataset for LLM Persona Evaluation and Training,2025,Curated,Multi-Agent Social Simulation and Synthetic Societies,"Social networks, movements, and polarization",5,extracted,data/paper_cache/text/blueprint-a-social-media-user-dataset-for-llm-persona-evaluation-4263ecbdee.txt,pdf_pypdf,58284,True,
bringing-everyone-to-the-table-an-experimental-study-of-llm-03270d53e8,Bringing Everyone to the Table: An Experimental Study of LLM-Facilitated Group Decision Making,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,1,extracted,data/paper_cache/text/bringing-everyone-to-the-table-an-experimental-study-of-llm-03270d53e8.txt,pdf_pypdf,84020,True,
can-a-society-of-generative-agents-simulate-human-behavior-and-36bd3eeb02,Can A Society of Generative Agents Simulate Human Behavior and Inform Public Health Policy? A Case Study on Vaccine Hesitancy,2025,Watchlist,Peripheral and Borderline Materials,Policy-adjacent service delivery and operations,16,extracted,data/paper_cache/text/can-a-society-of-generative-agents-simulate-human-behavior-and-36bd3eeb02.txt,pdf_pypdf,120000,True,
can-ai-deliberate-evaluating-deliberative-quality-and-stance-flow-in-bb5b541172,Can AI Deliberate? Evaluating Deliberative Quality and Stance Flow in Multi-Agent LLMs,2026,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,0,abstract_only,data/paper_cache/text/can-ai-deliberate-evaluating-deliberative-quality-and-stance-flow-in-bb5b541172.txt,abstract_missing_download,1148,False,download_missing; abstract fallback
can-ai-do-strategy-18ec1e90e9,Can AI Do Strategy?,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,1,abstract_only,data/paper_cache/text/can-ai-do-strategy-18ec1e90e9.txt,abstract_missing_download,1204,False,download_missing; abstract fallback
