slug,title,year,importance,theme,subtheme,citationCount,status,download_url,file_path,file_type,bytes,download_reason,error,manual_path_hint,source_url,doi,arxiv
ai-and-corruption-legal-liability-in-algorithmic-decision-making-8616fa7719,AI and Corruption: Legal Liability in Algorithmic Decision-Making,2025,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",2,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/ai-and-corruption-legal-liability-in-algorithmic-decision-making-8616fa7719.pdf,https://www.semanticscholar.org/paper/f734ac6754d7a8854a987e9572e85e0261e49b3b,10.33327/ajee-18-8.3-a000120,
ai-arms-and-influence-frontier-models-exhibit-sophisticated-reasoning-in-7d55421cb1,AI Arms and Influence: Frontier Models Exhibit Sophisticated Reasoning in Simulated Nuclear Crises,2026,Core,"Geopolitics, Diplomacy, National Security, and Wargaming","Conflict, escalation, and geopolitical simulation",4,downloaded,https://arxiv.org/pdf/2602.14740,data/paper_cache/downloads/ai-arms-and-influence-frontier-models-exhibit-sophisticated-reasoning-in-7d55421cb1.pdf,pdf,919278,arxiv,,,https://www.semanticscholar.org/paper/61159eaad2619f56621105de3670b54da562e340,10.48550/arXiv.2602.14740,2602.14740
ai-can-help-humans-find-common-ground-in-democratic-deliberation-15e42339e7,AI can help humans find common ground in democratic deliberation,2024,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,208,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/ai-can-help-humans-find-common-ground-in-democratic-deliberation-15e42339e7.pdf,https://www.semanticscholar.org/paper/5456e833710dba2bb3ae92621fa89c27733b1db0,10.1126/science.adq2852,
ai-deception-a-survey-of-examples-risks-and-potential-solutions-556f15cf7b,"AI deception: A survey of examples, risks, and potential solutions",2023,Watchlist,Peripheral and Borderline Materials,Generic AI safety and language-bias background,314,downloaded,https://arxiv.org/pdf/2308.14752,data/paper_cache/downloads/ai-deception-a-survey-of-examples-risks-and-potential-solutions-556f15cf7b.pdf,pdf,5835192,arxiv,,,https://www.semanticscholar.org/paper/afe455cfb03b9487c8f0b67993f42f834b633c23,10.1016/j.patter.2024.100988,2308.14752
ai-in-conflict-resolution-practical-considerations-opportunities-and-challenges-47cfd2c452,"AI in Conflict Resolution: Practical Considerations, Opportunities and Challenges",2025,Curated,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,0,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/ai-in-conflict-resolution-practical-considerations-opportunities-and-challenges-47cfd2c452.pdf,https://www.semanticscholar.org/paper/031268c2c479dddae3cc7b1c957afb1cf1a02cd6,10.1002/crq.70012,
ai-strategy-under-institutional-pressure-strategic-conformity-and-decision-makin-cc12c9d6a5,AI strategy under institutional pressure: strategic conformity and decision-making in large language models,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,0,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/ai-strategy-under-institutional-pressure-strategic-conformity-and-decision-makin-cc12c9d6a5.pdf,https://www.semanticscholar.org/paper/d2e24d551c5eb3fb9bcaf5da5265af1ba61ef007,10.1016/j.jbusres.2026.116227,
ai-augmented-predictions-llm-assistants-improve-human-forecasting-accuracy-ddf6373991,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,43,downloaded,https://arxiv.org/pdf/2402.07862,data/paper_cache/downloads/ai-augmented-predictions-llm-assistants-improve-human-forecasting-accuracy-ddf6373991.pdf,pdf,684920,arxiv,,,https://www.semanticscholar.org/paper/38472e4242e0aa632ed594c3b0ed9c0bd6429c41,10.1145/3707649,2402.07862
ai-augmented-strategic-decision-making-under-time-constraints-an-experimental-a88ae3a35d,AI-Augmented Strategic Decision-Making Under Time Constraints: An Experimental Study on Mental Representations and Strategic Foresight,2026,Watchlist,Peripheral and Borderline Materials,Business and managerial strategy,1,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/ai-augmented-strategic-decision-making-under-time-constraints-an-experimental-a88ae3a35d.pdf,https://www.semanticscholar.org/paper/1fd6e00dc9b8b39d15d93bc544968aee99e0ce59,10.1287/stsc.2025.0442,
ai-slop-and-political-propaganda-the-role-of-ai-generated-91d884ab2f,AI-Slop and Political Propaganda: The Role of AI-Generated Content in Memes and Influence Campaigns,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,1,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/ai-slop-and-political-propaganda-the-role-of-ai-generated-91d884ab2f.pdf,https://www.semanticscholar.org/paper/b91c2e373c95b8b81c711fce3a4ff4161b4a0af4,10.56177/eon.6.3.2025.art.1,
aia-forecaster-technical-report-a5b66b602f,AIA Forecaster: Technical Report,2025,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,1,downloaded,https://arxiv.org/pdf/2511.07678,data/paper_cache/downloads/aia-forecaster-technical-report-a5b66b602f.pdf,pdf,2334556,arxiv,,,https://www.semanticscholar.org/paper/382522641d17bebeb394dd07fe6557a6563defcd,10.48550/arXiv.2511.07678,2511.07678
algorithmic-diplomacy-the-role-of-artificial-intelligence-in-shaping-21st-966376c9ef,ALGORITHMIC DIPLOMACY: THE ROLE OF ARTIFICIAL INTELLIGENCE IN SHAPING 21ST CENTURY FOREIGN POLICY DECISIONS,2026,Watchlist,"Geopolitics, Diplomacy, National Security, and Wargaming",Diplomacy and international institutions,0,manual_needed,,,,0,,,data/paper_cache/manual/algorithmic-diplomacy-the-role-of-artificial-intelligence-in-shaping-21st-966376c9ef.pdf,https://www.semanticscholar.org/paper/6e3c651e567db13815a1bb355335f6a256feb476,10.63878/aaj1599,
alignsurvey-a-comprehensive-benchmark-for-human-preferences-alignment-in-social-8a56919019,AlignSurvey: A Comprehensive Benchmark for Human Preferences Alignment in Social Surveys,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Public opinion, polling, and political annotation",1,downloaded,https://arxiv.org/pdf/2511.07871,data/paper_cache/downloads/alignsurvey-a-comprehensive-benchmark-for-human-preferences-alignment-in-social-8a56919019.pdf,pdf,2995337,arxiv,,,https://www.semanticscholar.org/paper/1daa3bf319a6a63db26df66a6864480d5af99466,10.48550/arXiv.2511.07871,2511.07871
an-automated-information-extraction-tool-for-international-conflict-data-with-8fb6ec7c9b,An Automated Information Extraction Tool for International Conflict Data with Performance as Good as Human Coders: A Rare Events Evaluation Design,2003,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,432,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/an-automated-information-extraction-tool-for-international-conflict-data-with-8fb6ec7c9b.pdf,https://www.semanticscholar.org/paper/195ba4e60c5840de438aa5b22bd99aca33339ffd,10.1017/S0020818303573064,
an-emergent-understanding-of-human-ai-collaboration-in-deliberation-db9687dc52,An Emergent Understanding of Human-AI Collaboration in Deliberation,2025,Important,"Policymaking, Governance, and Institutional Decision Support",Policy persuasion and democratic deliberation,2,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/an-emergent-understanding-of-human-ai-collaboration-in-deliberation-db9687dc52.pdf,https://www.semanticscholar.org/paper/82fdc8bb274a1bc21b9e005c033a952883b8c3e9,10.1145/3715070.3749265,
an-evaluation-of-llms-for-political-bias-in-western-media-8d1784ec87,An evaluation of LLMs for political bias in Western media: Israel-Hamas and Ukraine-Russia wars,2026,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,0,downloaded,https://arxiv.org/pdf/2601.06132,data/paper_cache/downloads/an-evaluation-of-llms-for-political-bias-in-western-media-8d1784ec87.pdf,pdf,5889934,arxiv,,,https://www.semanticscholar.org/paper/b6908b838ad2d52233bc4b9898086ca2969d8d00,10.48550/arXiv.2601.06132,2601.06132
an-institutional-theory-framework-for-leveraging-large-language-models-for-e25305f7e5,An Institutional Theory Framework for Leveraging Large Language Models for Policy Analysis and Intervention Design,2025,Watchlist,Peripheral and Borderline Materials,Generic decision support and human-AI workflow,6,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/an-institutional-theory-framework-for-leveraging-large-language-models-for-e25305f7e5.pdf,https://www.semanticscholar.org/paper/a308f7b920098e579d19bcb16802e42729a45156,10.3390/fi17030096,
analogies-at-war-korea-munich-dien-bien-phu-and-the-f730561d52,Analogies at War: Korea Munich Dien Bien Phu and the Vietnam Decisions of 1965,1992,Important,Political Science and Strategic Judgment Foundations,Intelligence analysis and structured analytic techniques,701,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/analogies-at-war-korea-munich-dien-bien-phu-and-the-f730561d52.pdf,https://www.semanticscholar.org/paper/c9d362b44ba6397a9ba5b9fcff75d563dcf0de9f,10.2307/2167036,
analysing-llm-persona-generation-and-fairness-interpretation-in-polarised-geopol-92f3eb8ee5,Analysing LLM Persona Generation and Fairness Interpretation in Polarised Geopolitical Contexts,2026,Curated,Multi-Agent Social Simulation and Synthetic Societies,Synthetic populations and human samples,0,downloaded,https://arxiv.org/pdf/2603.22837,data/paper_cache/downloads/analysing-llm-persona-generation-and-fairness-interpretation-in-polarised-geopol-92f3eb8ee5.pdf,pdf,3023755,arxiv,,,https://www.semanticscholar.org/paper/71207791ff7b1a4333eaa9b8b6653507fd47e807,10.18653/v1/2026.eacl-srw.51,2603.22837
analysis-war-and-decision-why-intelligence-failures-are-inevitable-d80d554aeb,"Analysis, War, and Decision: Why Intelligence Failures Are Inevitable",1978,Core,Political Science and Strategic Judgment Foundations,"International politics, intelligence, and crisis judgment",326,manual_needed,,,,0,,,data/paper_cache/manual/analysis-war-and-decision-why-intelligence-failures-are-inevitable-d80d554aeb.pdf,https://www.semanticscholar.org/paper/0d5f8a5303dc849f3a3c0080fbf0ca683066024d,10.2307/2009967,
applications-of-gpt-in-political-science-research-extracting-information-from-d3aba77d74,Applications of GPT in Political Science Research: Extracting Information from Unstructured Text,2025,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,9,manual_needed,,,,0,,,data/paper_cache/manual/applications-of-gpt-in-political-science-research-extracting-information-from-d3aba77d74.pdf,https://www.semanticscholar.org/paper/f387afbd458580b4b92123491247538b456f71f7,10.1017/S1049096525000046,
approaching-human-level-forecasting-with-language-models-c13ca96e35,Approaching Human-Level Forecasting with Language Models,2024,Core,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,77,downloaded,https://arxiv.org/pdf/2402.18563,data/paper_cache/downloads/approaching-human-level-forecasting-with-language-models-c13ca96e35.pdf,pdf,1729017,arxiv,,,https://arxiv.org/abs/2402.18563,10.48550/arXiv.2402.18563,2402.18563
are-llms-prescient-a-continuous-evaluation-using-daily-news-as-4c4182cf54,Are LLMs Prescient? A Continuous Evaluation using Daily News as the Oracle,2024,Curated,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,11,downloaded,https://arxiv.org/pdf/2411.08324,data/paper_cache/downloads/are-llms-prescient-a-continuous-evaluation-using-daily-news-as-4c4182cf54.pdf,pdf,14510954,arxiv,,,https://www.semanticscholar.org/paper/51229961bb32b1233be87b77946bfebefaff1f96,10.48550/arXiv.2411.08324,2411.08324
are-we-asking-the-right-questions-designing-for-community-stakeholders-51366fb02f,Are We Asking the Right Questions?: Designing for Community Stakeholders’ Interactions with AI in Policing,2024,Curated,"Policymaking, Governance, and Institutional Decision Support",Public-sector decision support and institutional workflow,27,downloaded,https://arxiv.org/pdf/2402.05348,data/paper_cache/downloads/are-we-asking-the-right-questions-designing-for-community-stakeholders-51366fb02f.pdf,pdf,2665069,arxiv,,,https://www.semanticscholar.org/paper/34ff3baeb735ccf2e8df86572c421ca43e67c696,10.1145/3613904.3642738,2402.05348
armor-2025-a-military-aligned-benchmark-for-evaluating-large-language-b095065c37,ARMOR 2025: A Military-Aligned Benchmark for Evaluating Large Language Model Safety Beyond Civilian Contexts,2026,Curated,"Geopolitics, Diplomacy, National Security, and Wargaming",Military decision-making and wargaming,0,downloaded,https://arxiv.org/pdf/2605.00245,data/paper_cache/downloads/armor-2025-a-military-aligned-benchmark-for-evaluating-large-language-b095065c37.pdf,pdf,1450043,arxiv,,,https://www.semanticscholar.org/paper/893c4cf88cd76f31a267cca45ad6b30846e31ec3,,2605.00245
arms-and-influence-74b48f6391,Arms and Influence,1966,Core,Political Science and Strategic Judgment Foundations,"Deterrence, coercion, and nuclear strategy",2033,manual_needed,,,,0,,,data/paper_cache/manual/arms-and-influence-74b48f6391.pdf,https://www.semanticscholar.org/paper/c4a1ff7f04858b2869298b99de53b906361b538f,10.2307/j.ctvxkn7f8,
artificial-intelligence-in-political-forecasting-possibilities-and-limitations-a776037411,Artificial Intelligence in Political Forecasting: Possibilities and Limitations,2026,Watchlist,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,0,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/artificial-intelligence-in-political-forecasting-possibilities-and-limitations-a776037411.pdf,https://www.semanticscholar.org/paper/3c6f7f8d9918e0858325522de2fe3be56d167046,10.22363/2313-1438-2026-28-1-129-148,
assessing-political-bias-in-large-language-models-a1dc7fdc6e,Assessing political bias in large language models,2024,Curated,"Politics, Democracy, Public Opinion, and Persuasion","Political ideology, representation, and bias",50,downloaded,https://arxiv.org/pdf/2405.13041,data/paper_cache/downloads/assessing-political-bias-in-large-language-models-a1dc7fdc6e.pdf,pdf,1155973,arxiv,,,https://www.semanticscholar.org/paper/684d7ea1b5c890346e68c0ca604a591e0e73e60a,10.1007/s42001-025-00376-w,2405.13041
assessing-the-political-fairness-of-multilingual-llms-a-case-study-105edd50e8,Assessing the Political Fairness of Multilingual LLMs: A Case Study based on a 21-way Multiparallel EuroParl Dataset,2025,Curated,"Politics, Democracy, Public Opinion, and Persuasion",Multilingual and geopolitical bias,0,downloaded,https://arxiv.org/pdf/2510.20508,data/paper_cache/downloads/assessing-the-political-fairness-of-multilingual-llms-a-case-study-105edd50e8.pdf,pdf,760968,arxiv,,,https://www.semanticscholar.org/paper/39ee3b79aa1e63fe327c7f59001077a8d2ad8bb2,10.48550/arXiv.2510.20508,2510.20508
assessing-the-risks-and-opportunities-posed-by-ai-enhanced-influence-4b90baa8d3,Assessing the risks and opportunities posed by AI-enhanced influence operations on social media,2024,Important,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,10,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/assessing-the-risks-and-opportunities-posed-by-ai-enhanced-influence-4b90baa8d3.pdf,https://www.semanticscholar.org/paper/5eb988d1926b80963c382abe0cfb623cc018c308,10.1057/s41254-023-00322-5,
audit-trails-for-accountability-in-large-language-models-c9a715c010,Audit Trails for Accountability in Large Language Models,2026,Curated,"Policymaking, Governance, and Institutional Decision Support","Accountability, auditing, and public-sector AI governance",2,downloaded,https://arxiv.org/pdf/2601.20727,data/paper_cache/downloads/audit-trails-for-accountability-in-large-language-models-c9a715c010.pdf,pdf,1260302,arxiv,,,https://www.semanticscholar.org/paper/f243230bf6b79bcbe371a28a483bd6fe794ad218,10.48550/arXiv.2601.20727,2601.20727
autocast-enhancing-world-event-prediction-with-zero-shot-ranking-based-3ada43ecf5,AutoCast++: Enhancing World Event Prediction with Zero-shot Ranking-based Context Retrieval,2023,Important,"Forecasting, Geopolitical Risk, and Foresight",Geopolitical event prediction systems,15,downloaded,https://arxiv.org/pdf/2310.01880,data/paper_cache/downloads/autocast-enhancing-world-event-prediction-with-zero-shot-ranking-based-3ada43ecf5.pdf,pdf,694350,arxiv,,,https://www.semanticscholar.org/paper/e0605eaba26fee093d972cc667770912c8d2eec9,10.48550/arXiv.2310.01880,2310.01880
automated-coding-of-international-event-data-using-sparse-parsing-techniques-de34354249,Automated Coding of International Event Data Using Sparse Parsing Techniques,2000,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,67,manual_needed,,,,0,,semantic_scholar_lookup_failed: HTTP Error 429:,data/paper_cache/manual/automated-coding-of-international-event-data-using-sparse-parsing-techniques-de34354249.pdf,https://www.semanticscholar.org/paper/f9dc1de1dea55eef0bfdea0231e95045dd7e64b3,,
