title,year,importance,theme,subtheme,source_quality,repo_relevance,curated_tags,tag_count,tag_token_estimate,tag_rationale,model,error
How Strategic Information Operations Affect Peacekeeping: Two Case Studies from the Central African Republic,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,abstract_only,core,peacekeeping mission security; strategic information operations; counter disinformation strategy; social media influence campaigns; un stabilisation mission; central african republic context; multi directional propaganda; facebook platform analysis; peacekeeping missions,9,36,"Tags derived from title and abstract describe the specific domain (peacekeeping), the phenomenon (strategic information operations), the platform (Facebook), and the geographic context (CAR), while avoiding forbidden broad terms due to abstract-only source limitations.",Qwen/Qwen3.6-35B-A3B,
Ignore All Previous Instructions: Jailbreaking as a de-escalatory peace building practise to resist LLM social media bots,2026,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,peripheral,prompt injection defense; civic resistance tactics; misinformation exposure; bot detection methods; social media influence operations; non violent de escalation; automated account identification; user led moderation; disinformation countermeasures; platform governance alternatives,10,39,"Tags derived from the paper's conceptual framework on using prompt injection for civic resistance against bots, limited by the lack of empirical data and peripheral repo relevance.",Qwen/Qwen3.6-35B-A3B,
Navigating the Web of Disinformation and Misinformation: Large Language Models as Double-Edged Swords,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,automated fact checking systems; healthcare misinformation risks; political influence operations; llm hallucination mitigation; training data bias analysis; multimodal detection techniques; information integrity frameworks; social media narrative manipulation; regulatory policy for ai; misinformation detection,10,42,"Tags are derived directly from the paper's review of LLM dual-use capabilities in healthcare and political domains, focusing on specific risks like hallucinations and biases, and mitigation strategies such as fact-checking and detection, while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
New parameters of power: On LLM-based manipulation and control and the spectre of strategic AI,2026,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,partial_text,watchlist,information pollution; conversational persuasion; strategic dialogue systems; silicon subjects modeling; silicon societies modeling; computational power dynamics; meta cicero case study; ai persona manipulation; generative infrastructure risk; strategic ai spectre,10,38,"Tags are derived directly from the paper's core argument and detailed summary, focusing on specific mechanisms of influence and power dynamics rather than broad disciplinary categories, while acknowledging the limited source quality.",Qwen/Qwen3.6-35B-A3B,
Prompt Injection Vulnerability of Consensus Generating Applications in Digital Democracy,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,digital democracy; consensus statement generation; prompt injection attacks; adversarial robustness; deliberative polling; opinion aggregation bias; defense pipeline design; reinforcement learning defense; uk deliberation dataset; algorithmic governance risk,10,36,"Tags are derived directly from the paper's focus on LLM vulnerabilities in UK-based digital democracy consensus tasks, covering the specific attack vectors, defense mechanisms, and domain context without using forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Simulating Misinformation Vulnerabilities with Agent Personas,2025,Curated,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,core,misinformation simulation; agent persona modeling; influence operation proxy; cognitive bias simulation; disinformation susceptibility; mental schema analysis; counter messaging testing; human response approximation; information warfare modeling; llm agents,10,36,"Tags derived from the paper's focus on using LLM agents to simulate human reactions to misinformation, emphasizing cognitive schemas, influence operations, and ethical simulation alternatives.",Qwen/Qwen3.6-35B-A3B,
Whose story wins? LLM-powered chatbots as sites and agents of memory-political contestation and corporate greenwashing,2026,Watchlist,"AI Safety, Influence Operations, and Societal Risk",Influence operations and persuasion risk,substantial_full_text,peripheral,algorithmic auditing; narrative luring; memory politics; corporate greenwashing; indigenous marginalization; hegemonic narrative bias; epistemic authority; collective memory distortion; climate obstructionism; nato security framing,10,32,"Tags are derived directly from the paper's specific methodology ('algorithmic auditing', 'narrative luring') and its core findings regarding memory politics, greenwashing, and narrative bias, avoiding all forbidden broad AI or political science terms.",Qwen/Qwen3.6-35B-A3B,
A Bayesian Hierarchical Topic Model for Political Texts: Measuring Expressed Agendas in Senate Press Releases,2010,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,bayesian hierarchical modeling; expressed agenda model; legislative priority measurement; senate press release analysis; author specific topic attention; variational inference estimation; political representation study; constituent communication metrics; unstructured text extraction; legislative agenda tracking,10,41,"Tags reflect the specific Bayesian methodology, the named model, the legislative domain object, and the core task of measuring author-specific priorities from text.",Qwen/Qwen3.6-35B-A3B,
A Method of Automated Nonparametric Content Analysis for Social Science,2010,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,partial_text,core,nonparametric content analysis; population proportion estimation; automated text classification; social science text mining; unstructured data processing; political text analysis; policy position extraction; bias reduction in classifiers; large scale text corpora; computational social methods,10,42,"Tags are derived from the title, theme, and summary, focusing on the specific statistical method (nonparametric estimation), the task (content analysis/proportion estimation), and the domain (social science/political text), while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
An Automated Information Extraction Tool for International Conflict Data with Performance as Good as Human Coders: A Rare Events Evaluation Design,2003,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,partial_text,core,international conflict data; automated information extraction; rare events evaluation; human coder benchmark; political event coding; news text analysis; conflict event classification; cost effective data collection; skewed event distributions; automated text processing,10,40,"Tags are derived directly from the title and summary, focusing on the specific domain (international conflict), method (automated extraction, rare events evaluation), and comparison (human coder benchmark), while strictly avoiding forbidden broad AI/ML terms.",Qwen/Qwen3.6-35B-A3B,
Applications of GPT in Political Science Research: Extracting Information from Unstructured Text,2025,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,ocr error correction; historical document digitization; meeting minutes parsing; news source citation extraction; elite biography scraping; prompt engineering sensitivity; human model comparison; student labor displacement; privacy risk assessment; bias mitigation strategies,10,40,"Tags are derived directly from the paper's four case studies (OCR, minutes, news, biographies) and its discussion of methodological constraints (prompt sensitivity, human comparison) and ethical implications (labor, privacy, bias), avoiding all forbidden broad categories.",Qwen/Qwen3.6-35B-A3B,
Automated Coding of International Event Data Using Sparse Parsing Techniques,2000,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,sparse parsing; international event coding; political text analysis; kansas event data system; tabari software; news lead extraction; actor verb mapping; weis event codes; automated content analysis; conflict data generation,10,38,"Tags are derived directly from the paper's focus on sparse parsing techniques, specific systems (KEDS, TABARI), and the domain of automated international event data coding from news text.",Qwen/Qwen3.6-35B-A3B,
Automated Coding of Political Event Data,2013,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,partial_text,important,political event coding; conflict information extraction; rule based text analysis; dictionary driven ontologies; news wire processing; duplicate detection methods; reporting bias analysis; counterterrorism data; historical event datasets; automated content classification,10,39,"Tags derived from the paper's focus on rule-based systems, specific ontologies, and data processing challenges in political event coding, avoiding forbidden broad AI/ML terms.",Qwen/Qwen3.6-35B-A3B,
Automatic Extraction of Events from Open Source Text for Predictive Forecasting,2013,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,partial_text,important,political event extraction; predictive conflict forecasting; statistical nlp engines; rule based information extraction; news text analysis; political instability prediction; event data automation; domain shift evaluation; open source intelligence; text classification accuracy,10,40,"Tags derived from the title and summary focus on the specific task of extracting political events from news for forecasting, comparing statistical versus rule-based methods, and evaluating performance on instability prediction, while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Bayesian Poisson Tensor Factorization for Inferring Multilateral Relations from Sparse Dyadic Event Counts,2015,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,bayesian tensor factorization; multilateral relation inference; sparse dyadic event data; geopolitical event forecasting; crisis bargaining analysis; diplomatic role play benchmark; variational inference estimation; geopolitical event interpretation; conflict information extraction; dyadic event data,10,41,"Tags reflect the paper's core method (BPTF), task (inferring multilateral relations from sparse data), domain (international relations/geopolitics), and specific datasets (ICEWS/GDELT), while strictly avoiding forbidden terms by using precise methodological and domain-specific noun phrases.",Qwen/Qwen3.6-35B-A3B,
Coding with the machines: machine-assisted coding of rare event data,2024,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,partial_text,core,political event coding; rare event extraction; llm expert comparison; prompt engineering effects; pre training contamination; zero shot evaluation; protest data annotation; semi supervised algorithms; coding reliability; machine assisted coding,10,38,"Tags derived from the title and summary focus on the specific task of political event coding, the evaluation of GPT-4 against human experts, and methodological concerns like pre-training contamination and prompt engineering, avoiding all forbidden broad AI or political science terms.",Qwen/Qwen3.6-35B-A3B,
Computer-Assisted Text Analysis for Comparative Politics,2015,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,structural topic modeling; multilingual text analysis; political text mining; policy position extraction; machine translation preprocessing; document metadata integration; arabic fatwa analysis; social media event response; unsupervised topic discovery; comparative politics methodology,10,40,"Tags are derived directly from the paper's focus on applying Structural Topic Models to multilingual political texts, specifically highlighting the method, data types, and domain applications described in the summary.",Qwen/Qwen3.6-35B-A3B,
ConfliBERT: A Pre-trained Language Model for Political Conflict and Violence,2022,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,domain specific pre training; political conflict extraction; low data regime performance; custom vocabulary tokenization; event extraction benchmarking; named entity recognition tasks; text classification evaluation; multitask model comparison; english only language model; copyright restricted corpus,10,43,"Tags reflect the paper's core contribution of a domain-specific language model for political conflict, its evaluation on low-data regimes and multiple extraction tasks, and its specific limitations regarding language support and data sharing.",Qwen/Qwen3.6-35B-A3B,
Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,2002,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,event data coding; conflict information extraction; mediation event analysis; foreign policy interactions; automated text coding; news wire analysis; international dispute tracking; cooperation conflict scale; tabari coding program; weis framework comparison,10,39,"Tags are derived directly from the paper's title, theme, and detailed summary, focusing on the specific CAMEO framework, its application to news wires, and its comparison to the WEIS system, while strictly avoiding forbidden broad AI or political science terms.",Qwen/Qwen3.6-35B-A3B,
Creating Custom Event Data Without Dictionaries: A Bag-of-Tricks,2023,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,event extraction pipeline; dictionary free information extraction; political event coding; conflict data generation; active learning classification; extractive question answering; entity resolution mapping; news text corpus analysis; global event dataset creation; political violence tracking,10,42,"Tags reflect the paper's core contribution of a dictionary-free NLP pipeline for political event extraction, covering its methodological components (active learning, QA, entity resolution), domain focus (political violence, global events), and output (custom datasets).",Qwen/Qwen3.6-35B-A3B,
"Creating a Real-Time, Reproducible Event Dataset",2016,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,political event extraction; deep syntactic parsing; real time news ingestion; crameo ontology coding; modular data pipeline; actor dictionary management; conflict information extraction; syria conflict analysis; dataset reproducibility; computational cost analysis,10,39,"Tags reflect the paper's focus on deep parsing NLP for political events, the modular pipeline architecture, and the specific validation context of the Syrian conflict, while avoiding forbidden broad AI or political science terms.",Qwen/Qwen3.6-35B-A3B,
Extracting Policy Positions from Political Texts Using Words as Data,2003,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,partial_text,core,word scoring method; policy position extraction; political text analysis; language blind technique; party manifesto parsing; legislative speech mining; uncertainty quantification; comparative party systems; british irish german politics; cost effective content analysis,10,40,"Tags are derived from the paper's core method (word scoring), task (policy extraction), and specific domains (UK/Ireland/Germany parties), noting that source limitations prevent deeper methodological tagging.",Qwen/Qwen3.6-35B-A3B,
Fightin' Words: Lexical Feature Selection and Evaluation for Identifying the Content of Political Conflict,2008,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,bayesian shrinkage; lexical feature selection; political conflict identification; sampling variation correction; dirichlet prior regularization; laplace prior sparsity; semantic validity assessment; partisan framing analysis; congressional speech data; abortion policy discourse,10,38,"Tags reflect the paper's core methodological contribution (Bayesian shrinkage/regularization for lexical features) and its specific empirical application (US Senate speeches on abortion), avoiding forbidden broad AI/ML terms by focusing on statistical and domain-specific concepts.",Qwen/Qwen3.6-35B-A3B,
Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,substantial_full_text,core,legislative speech classification; congressional debate analysis; discourse relationship modeling; semi supervised graph learning; roll call vote prediction; speaker consistency constraints; agreement cue detection; political text mining; us house of representatives; inter speaker dependency,10,42,Tags are derived directly from the paper's focus on classifying legislative support using discourse structure and semi-supervised learning on US congressional data.,Qwen/Qwen3.6-35B-A3B,
How to train your stochastic parrot: large language models for political texts,2025,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,few shot prompting; political text analysis; ideology scaling; sentiment classification; cost effective coding; human judgment validation; model calibration; supreme court tweets; party manifestos; congressional speeches,10,34,"Tags are derived directly from the paper's core argument regarding few-shot prompting efficacy, specific political tasks (ideology scaling, sentiment), and the datasets used, while strictly avoiding forbidden terms like 'machine learning' or 'political science' by using narrower, descriptive phrases.",Qwen/Qwen3.6-35B-A3B,
Improving the selection of news reports for event coding using ensemble classification,2015,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,partial_text,important,political event coding; news article filtering; ensemble classification; semi automatic pipeline; protest event extraction; mass mobilization database; manual workload reduction; unbalanced training classes; human in the loop coding; event data precision,10,40,"Tags are derived directly from the title, summary, and data materials, focusing on the specific method (ensemble classification), task (news filtering for event coding), domain object (protest events), and dataset (Mass Mobilization on Autocracies) while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
LLM Analysis of 150+ years of German Parliamentary Debates on Migration Reveals Shift from Post-War Solidarity to Anti-Solidarity in the Last Decade,2025,Curated,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,substantial_full_text,core,parliamentary debate analysis; longitudinal text classification; solidarity discourse detection; migration policy rhetoric; design based supervised learning; systematic bias correction; german legislative history; human llm agreement benchmark; political text annotation; discourse shift quantification,10,41,"Tags are derived directly from the paper's focus on applying and correcting LLMs for longitudinal analysis of German parliamentary debates regarding migration and solidarity, avoiding forbidden general terms.",Qwen/Qwen3.6-35B-A3B,
Measurement in the Age of LLMs: An Application to Ideological Scaling,2023,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,ideological scaling; numeric score elicitation; political text analysis; legislator ideology measurement; dw nominate validation; prompt engineering effects; chain of thought reasoning; ideological cue detection; neo nazi dog whistle detection; llm hallucination risks,10,41,"Tags reflect the paper's core focus on using LLMs for ideological scaling, specific validation against DW-NOMINATE, and methodological considerations like prompt engineering and hallucination risks, while strictly avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Measuring Political Positions from Legislative Speech,2016,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,partial_text,core,legislative speech analysis; text based political measurement; legislator position estimation; corpus wide rhetoric analysis; multidimensional polarization; government opposition dimension; anti establishment politics; speech vote correlation; event driven polarization; cross party overlap detection,10,41,"Tags are derived strictly from the abstract and metadata, focusing on the method (text scaling), data (legislative speeches), and findings (polarization dimensions) without inferring specific algorithmic details or using forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Measuring Scalar Constructs in Social Science with LLMs,2025,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,scalar text measurement; political text analysis; policy position extraction; probability weighted scoring; pointwise prompting; pairwise comparison prompting; small model finetuning; immigration fear dataset; ad negativity benchmark; grandstanding speech analysis,10,38,"Tags are derived directly from the paper's focus on LLM-based scalar measurement in political science, specifically highlighting the evaluated methods (pointwise vs pairwise, finetuning) and the three specific political datasets used in the study.",Qwen/Qwen3.6-35B-A3B,
"Multilingual Protest News Detection - Shared Task 1, CASE 2021",2021,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,protest event detection; multilingual information extraction; cross lingual zero shot learning; shared task benchmarking; socio political event analysis; document classification; sentence coreference resolution; glocon dataset; low resource language transfer; news article annotation,10,41,"Tags are derived directly from the paper's title, theme, and detailed summary, focusing on the specific task (protest detection), methodology (multilingual/zero-shot), and dataset (GLOCON) while avoiding forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Political Event Coding as Text-to-Text Sequence Generation,2022,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,important,political event coding; text to text generation; transformer language model; cameo event codes; synthetic training data; conflict information extraction; news text analysis; sequence generation model; automated event extraction; dictionary free coding,10,40,"Tags are derived directly from the paper's title, theme, and methodology, focusing on the specific task of political event coding via text-to-text generation using synthetic data and CAMEO standards, while avoiding forbidden broad AI terms.",Qwen/Qwen3.6-35B-A3B,
Predicting Legislative Roll Calls from Text,2011,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,substantial_full_text,core,ideal point topic model; legislative roll call prediction; supervised topic modeling; text regression analysis; us congress voting data; bill text classification; variational inference methods; political sentiment extraction; spatial voting models; govtrack dataset usage,10,42,"Tags are derived directly from the paper's specific methodology (IPTM, text regression), task (roll call prediction), domain data (US Congress, Govtrack), and technical components (variational inference), avoiding all forbidden broad terms.",Qwen/Qwen3.6-35B-A3B,
Replacing or enhancing the human coder? Multiclass classification of policy documents with large language models,2025,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,partial_text,core,policy topic classification; congressional bill coding; hybrid human ai workflow; comparative agendas project; multiclass text categorization; instruction tuned models; human in the loop evaluation; custom supervised baseline; legislative document analysis; automated content analysis,10,42,"Tags are derived from the paper's focus on classifying US legislative documents using hybrid human-LLM workflows against custom baselines, avoiding forbidden generic terms by specifying the domain object and method.",Qwen/Qwen3.6-35B-A3B,
Socio-political Events of Conflict and Unrest: A Survey of Available Datasets,2024,Curated,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,conflict event datasets; political information extraction; event ontology comparison; text span annotation; structured event coding; media bias analysis; annotator welfare ethics; temporal event dynamics; cross disciplinary data gaps; english news corpora,10,40,"Tags derived from the survey's focus on comparing NLP extraction methods with political science coding schemes, highlighting specific datasets, ethical concerns, and methodological discrepancies.",Qwen/Qwen3.6-35B-A3B,
Synthetically generated text for supervised text analysis,2023,Curated,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,synthetic training data; supervised text classification; political text analysis; named entity recognition; event detection; populism classification; adversarial optimization; annotation cost reduction; copyright barrier mitigation; multilingual manifesto analysis,10,36,"Tags reflect the paper's core method of using LLM-generated text to solve data scarcity in political NLP tasks, covering specific applications like NER, event detection, and populism analysis, while adhering to style constraints.",Qwen/Qwen3.6-35B-A3B,
Text as Data: The Promise and Pitfalls of Automatic Content Analysis Methods for Political Texts,2013,Core,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,core,automated content analysis; political text mining; policy position extraction; text classification methods; dictionary based scaling; supervised learning validation; human augmented analysis; conceptual validity checks; domain mismatch risks; preprocessing techniques,10,38,"Tags reflect the paper's focus on methodological principles, specific techniques like dictionary scaling and supervised learning, and the critical need for validation and human oversight in political text analysis.",Qwen/Qwen3.6-35B-A3B,
The CAMEO (Conflict and Mediation Event Observations) Actor Coding Framework,2008,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,important,conflict event coding; sub state actor identification; non state actor classification; hierarchical coding schema; automated text analysis; standardized event data; mediation event observation; regional conflict dictionaries; machine readable political data; actor role standardization,10,42,"The paper introduces a specific hierarchical coding framework for identifying diverse political actors in conflict texts, focusing on methodological standardization for automated information extraction rather than general AI or broad political theory.",Qwen/Qwen3.6-35B-A3B,
The Media Frames Corpus: Annotations of Frames Across Issues,2015,Important,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,substantial_full_text,important,media framing analysis; news article annotation; cross cutting dimensions; inter annotator agreement; krippendorff alpha; policy issue classification; computational linguistics; public opinion measurement; lexis nexis dataset; subjective text coding,10,37,"The paper introduces a specific annotated corpus for media framing, focusing on the methodology of annotation, reliability metrics, and the resulting dataset for computational analysis of policy issues.",Qwen/Qwen3.6-35B-A3B,
"Three's a Charm?: Open Event Data Coding with EL:DIABLO, PETRARCH, and the Open Event Data Alliance.",2014,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,substantial_full_text,core,political event data; conflict information extraction; open source software; text mining infrastructure; actor identification; event coding systems; data transparency; reproducible research; natural language parsing; ontological standardization,10,35,"Tags reflect the paper's focus on open-source tools for political event extraction, transparency, and parsing methods, avoiding forbidden broad AI/ML terms.",Qwen/Qwen3.6-35B-A3B,
Using Imperfect Surrogates for Downstream Inference: Design-based Supervised Learning for Social Science Applications of Large Language Models,2023,Important,Classical Political NLP and Information Extraction,Political text as data and policy-position extraction,substantial_full_text,important,design based supervised learning; doubly robust estimation; surrogate label bias; gold standard sampling; asymptotic unbiasedness; valid confidence intervals; pseudo outcome correction; regression inference; text as data; measurement error correction,10,38,"Tags derive directly from the paper's methodological contributions (DSL, debiased ML, doubly robust estimation) and its focus on correcting bias in social science regression using LLM surrogates, adhering to the constraint of avoiding forbidden broad terms by using specific technical phrases found in the text.",Qwen/Qwen3.6-35B-A3B,
A Comprehensive Evaluation of Large Language Models on Temporal Event Forecasting,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,substantial_full_text,important,temporal event forecasting; geopolitical risk analysis; mid east conflict data; retrieval augmented generation; supervised instruction tuning; zero shot prediction limits; popularity bias detection; long tail entity handling; graph text hybrid input; event extraction benchmark,10,43,"Tags are derived directly from the paper's focus on evaluating LLM performance for forecasting geopolitical events using a specific Middle East dataset, highlighting methods like RAG and fine-tuning, and identifying key limitations such as bias and data scarcity.",Qwen/Qwen3.6-35B-A3B,
AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,2024,Important,"Forecasting, Geopolitical Risk, and Foresight",Forecasting performance and aggregation,substantial_full_text,core,human ai collaboration; geopolitical risk forecasting; superforecasting methodology; hybrid decision making; predictive accuracy improvement; llm prompt engineering; cognitive augmentation; forecasting aggregation; preregistered experiment; human judgment bias,10,35,"Tags derive directly from the study's focus on human-AI hybrid forecasting, specific prompt strategies, and experimental validation of accuracy gains in geopolitical contexts.",Qwen/Qwen3.6-35B-A3B,
