id,priority,theme,subtheme,title,year_or_timeframe,source_url,notes,resolved_paperId,resolved_title,resolved_year,citationCount,influentialCitationCount,venue,authors,doi,arxiv,semantic_scholar_url,publicationDate,publicationTypes,openAccessPdf,abstract,resolution_method,resolution_error
classical-011,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Predicting Legislative Roll Calls from Text,2011,https://www.semanticscholar.org/paper/62e14dec73970514a5e3f81b059d63b34e9ad37c,Text-to-vote prediction and ideal-point topic modeling.,62e14dec73970514a5e3f81b059d63b34e9ad37c,Predicting Legislative Roll Calls from Text,2011,209,17,International Conference on Machine Learning,S. Gerrish; D. Blei,,,https://www.semanticscholar.org/paper/62e14dec73970514a5e3f81b059d63b34e9ad37c,2011-06-28,JournalArticle; Conference,,,title_exact,
classical-012,Core,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,Textual Predictors of Bill Survival in Congressional Committees,2012,https://www.semanticscholar.org/paper/36da409e56a1a47691bd880fa73954a4aeae41b3,Legislative text prediction.,36da409e56a1a47691bd880fa73954a4aeae41b3,Textual Predictors of Bill Survival in Congressional Committees,2012,70,8,North American Chapter of the Association for Computational Linguistics,T. Yano; Noah A. Smith; J. Wilkerson,,,https://www.semanticscholar.org/paper/36da409e56a1a47691bd880fa73954a4aeae41b3,2012-06-03,JournalArticle; Conference,,,title_exact,
classical-013,Important,Classical Political NLP and Information Extraction,Legislative speech and policy text classification,The Media Frames Corpus: Annotations of Frames Across Issues,2015,https://www.semanticscholar.org/paper/92408cc19033cc4af29accef3793014ab79355c2,Frame annotation and extraction resource for policy/political discourse.,92408cc19033cc4af29accef3793014ab79355c2,The Media Frames Corpus: Annotations of Frames Across Issues,2015,271,44,Annual Meeting of the Association for Computational Linguistics,Dallas Card; A. Boydstun; Justin H. Gross; P. Resnik; Noah A. Smith,10.3115/v1/P15-2072,,https://www.semanticscholar.org/paper/92408cc19033cc4af29accef3793014ab79355c2,2015-07-01,JournalArticle; Conference,https://www.aclweb.org/anthology/P15-2072.pdf,"We describe the first version of the Media Frames Corpus: several thousand news articles on three policy issues, annotated in terms of media framing. We motivate framing as a phenomenon of study for computational linguistics and describe our annotation process.",title_exact,
classical-014,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,An Automated Information Extraction Tool for International Conflict Data with Performance as Good as Human Coders: A Rare Events Evaluation Design,2003,https://www.semanticscholar.org/paper/195ba4e60c5840de438aa5b22bd99aca33339ffd,Foundational automated IE for international conflict event data.,195ba4e60c5840de438aa5b22bd99aca33339ffd,An Automated Information Extraction Tool for International Conflict Data with Performance as Good as Human Coders: A Rare Events Evaluation Design,2003,432,21,International Organization,Gary King; Will Lowe,10.1017/S0020818303573064,,https://www.semanticscholar.org/paper/195ba4e60c5840de438aa5b22bd99aca33339ffd,2003-06-01,,http://gking.harvard.edu/files/infoex.pdf,,title_exact,
classical-015,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Political Science: KEDS-A Program for the Machine Coding of Event Data,1994,https://www.semanticscholar.org/paper/f2a0ce8d7316814628853ec135d465e25dd89279,KEDS machine-coding system for event data.,f2a0ce8d7316814628853ec135d465e25dd89279,Political Science: KEDS—A Program for the Machine Coding of Event Data,1994,165,9,,Philip A. Schrodt; Shannon G. Davis; Judith L. Weddle,10.1177/089443939401200408,,https://www.semanticscholar.org/paper/f2a0ce8d7316814628853ec135d465e25dd89279,1994-12-01,JournalArticle,,,title_fuzzy,
classical-016,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Automated Coding of International Event Data Using Sparse Parsing Techniques,2000,https://www.semanticscholar.org/paper/f9dc1de1dea55eef0bfdea0231e95045dd7e64b3,Sparse parsing approach for international event coding.,f9dc1de1dea55eef0bfdea0231e95045dd7e64b3,AUTOMATED CODING OF INTERNATIONAL EVENT DATA USING SPARSE PARSING TECHNIQUES,2000,67,3,,Philip A. Schrodt,,,https://www.semanticscholar.org/paper/f9dc1de1dea55eef0bfdea0231e95045dd7e64b3,,Review,,,title_exact,
classical-017,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Integrated Data for Events Analysis (IDEA): An Event Typology for Automated Events Data Development,2003,https://www.semanticscholar.org/paper/e2ea7868124efba5283ee98f3d0db5ebb296cc86,Event ontology/typology for automated event-data development.,e2ea7868124efba5283ee98f3d0db5ebb296cc86,Integrated Data for Events Analysis (IDEA): An Event Typology for Automated Events Data Development,2003,257,28,,D. Bond; Joe Bond; Churl Oh; J. Jenkins; C. Taylor,10.1177/00223433030406009,,https://www.semanticscholar.org/paper/e2ea7868124efba5283ee98f3d0db5ebb296cc86,2003-11-01,,,,title_exact,
classical-018,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,2002,https://www.semanticscholar.org/paper/775d7f7262ffb42972e5b87a245bc4b63c20396d,CAMEO event-data framework.,775d7f7262ffb42972e5b87a245bc4b63c20396d,Conflict and Mediation Event Observations (CAMEO): A New Event Data Framework for the Analysis of Foreign Policy Interactions,2002,189,18,,D. Gerner; Rajaa Abu-Jabr; Philip A. Schrodt; Ömür Yilmaz,,,https://www.semanticscholar.org/paper/775d7f7262ffb42972e5b87a245bc4b63c20396d,,Review,,,title_exact,
classical-019,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,The CAMEO (Conflict and Mediation Event Observations) Actor Coding Framework,2008,https://www.semanticscholar.org/paper/dd9b3253977b889490c5baf33502230b6939fa6b,CAMEO actor coding framework.,dd9b3253977b889490c5baf33502230b6939fa6b,The CAMEO (Conflict and Mediation Event Observations) Actor Coding Framework,2008,67,5,,Philip A. Schrodt; D. Gerner; Ömür Yilmaz,,,https://www.semanticscholar.org/paper/dd9b3253977b889490c5baf33502230b6939fa6b,2008-03-26,,,,title_exact,
classical-020,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"GDELT: Global Data on Events, Location and Tone, 1979-2012",2013,https://data.gdeltproject.org/documentation/ISA.2013.GDELT.pdf,GDELT event database paper; not reliably indexed in Semantic Scholar search.,,,,,,,,,,,,,,,unresolved,title search returned no candidates
classical-021,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Automated Production of High-Volume, Near-Real-Time Political Event Data",2011,https://www.semanticscholar.org/paper/22317c1fb2e0339771cb6f263e58c31ea421054c,High-volume near-real-time political event data.,22317c1fb2e0339771cb6f263e58c31ea421054c,"Automated Production of High-Volume, Near-Real-Time Political Event Data ∗",2011,35,1,,"Philip A. Schrodt; S. Shellman; Hans H. Leonard; Brandon M. Stewart; J. Lautenschlager; A. Shilliday; D. V. Brackle; Will Lowe; Stephen Purpura; V. Petrov,",,,https://www.semanticscholar.org/paper/22317c1fb2e0339771cb6f263e58c31ea421054c,,,,,title_fuzzy,
classical-022,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Automated Coding of Political Event Data,2013,https://www.semanticscholar.org/paper/f572d3ae9579b94dd7576ea16ff879ee357c54d9,Overview of automated political event coding.,f572d3ae9579b94dd7576ea16ff879ee357c54d9,Automated Coding of Political Event Data,2013,52,1,,Philip A. Schrodt; D. V. Brackle,10.1007/978-1-4614-5311-6_2,,https://www.semanticscholar.org/paper/f572d3ae9579b94dd7576ea16ff879ee357c54d9,,,,,title_exact,
classical-023,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Precedents, Progress, and Prospects in Political Event Data",2012,https://www.semanticscholar.org/paper/86b1d0c06965266939a167ebe135bfda62234d0d,Review/history of political event data.,86b1d0c06965266939a167ebe135bfda62234d0d,"Precedents, Progress, and Prospects in Political Event Data",2012,126,8,,Philip A. Schrodt,10.1080/03050629.2012.697430,,https://www.semanticscholar.org/paper/86b1d0c06965266939a167ebe135bfda62234d0d,2012-08-15,Review,,,title_exact,
classical-024,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Three's a Charm?: Open Event Data Coding with EL:DIABLO, PETRARCH, and the Open Event Data Alliance.",2014,https://www.semanticscholar.org/paper/ebec268b3097a364f04c9630521ca2c16a3bdfb2,Open event-data coding systems and PETRARCH.,ebec268b3097a364f04c9630521ca2c16a3bdfb2,"Three's a Charm?: Open Event Data Coding with EL:DIABLO, PETRARCH, and the Open Event Data Alliance.",2014,49,3,,Philip A. Schrodt; M. Idris,,,https://www.semanticscholar.org/paper/ebec268b3097a364f04c9630521ca2c16a3bdfb2,,Review,,,title_exact,
classical-025,Core,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Learning to Extract International Relations from Political Context,2013,https://www.semanticscholar.org/paper/de0c0563ee36f3485b5547482cf2b9296107d716,ACL paper directly on extracting international relations from text.,de0c0563ee36f3485b5547482cf2b9296107d716,Learning to Extract International Relations from Political Context,2013,76,2,Annual Meeting of the Association for Computational Linguistics,Brendan T. O'Connor; Brandon M Stewart; Noah A. Smith,,,https://www.semanticscholar.org/paper/de0c0563ee36f3485b5547482cf2b9296107d716,,JournalArticle; Conference,,,title_exact,
classical-026,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Automatic Extraction of Events from Open Source Text for Predictive Forecasting,2013,https://www.semanticscholar.org/paper/323d03d202b9fea2696cbfa86ef86a29bea10b50,ICEWS-style automatic event extraction for forecasting.,323d03d202b9fea2696cbfa86ef86a29bea10b50,Automatic Extraction of Events from Open Source Text for Predictive Forecasting,2013,52,4,,Elizabeth Boschee; P. Natarajan; R. Weischedel,10.1007/978-1-4614-5311-6_3,,https://www.semanticscholar.org/paper/323d03d202b9fea2696cbfa86ef86a29bea10b50,,,,,title_exact,
classical-027,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Improving the selection of news reports for event coding using ensemble classification,2015,https://www.semanticscholar.org/paper/b1dc323fcad19c28240906b989afc02f7d2849d4,News-report selection for event coding.,b1dc323fcad19c28240906b989afc02f7d2849d4,Improving the selection of news reports for event coding using ensemble classification,2015,34,2,,Mihai Croicu; Nils B. Weidmann,10.1177/2053168015615596,,https://www.semanticscholar.org/paper/b1dc323fcad19c28240906b989afc02f7d2849d4,2015-10-01,JournalArticle,https://journals.sagepub.com/doi/pdf/10.1177/2053168015615596,"Manual coding of political events from news reports is extremely expensive and time-consuming, whereas completely automatic coding has limitations when it comes to the precision and granularity of the data collected. In this paper, we introduce an alternative strategy by establishing a semi-automatic pipeline, where an automatic classification system eliminates irrelevant source material before further coding is done by humans. Our pipeline relies on a high-performance supervised heterogeneous ensemble classifier working on extremely unbalanced training classes. Deployed to the Mass Mobilization on Autocracies database on protest, the system is able to reduce the number of source articles to be human-coded by more than half, while keeping over 90% of the relevant material.",title_exact,
classical-028,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,"Creating a Real-Time, Reproducible Event Dataset",2016,https://www.semanticscholar.org/paper/680ef0b7b3e0a415a29ca28e4bb40dad220ad69e,Real-time reproducible event-data pipeline.,680ef0b7b3e0a415a29ca28e4bb40dad220ad69e,"Creating a Real-Time, Reproducible Event Dataset",2016,5,1,arXiv.org,John Beieler,,1612.00866,https://www.semanticscholar.org/paper/680ef0b7b3e0a415a29ca28e4bb40dad220ad69e,2016-12-02,JournalArticle,,"The generation of political event data has remained much the same since the mid-1990s, both in terms of data acquisition and the process of coding text into data. Since the 1990s, however, there have been significant improvements in open-source natural language processing software and in the availability of digitized news content. This paper presents a new, next-generation event dataset, named Phoenix, that builds from these and other advances. This dataset includes improvements in the underlying news collection process and event coding software, along with the creation of a general processing pipeline necessary to produce daily-updated data. This paper provides a face validity checks by briefly examining the data for the conflict in Syria, and a comparison between Phoenix and the Integrated Crisis Early Warning System data.",title_exact,
classical-029,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Political Event Coding as Text-to-Text Sequence Generation,2022,https://www.semanticscholar.org/paper/f4666ec25c7af298ed359c0eca05295b908bab59,Modern neural bridge from classical event coding to sequence generation.,f4666ec25c7af298ed359c0eca05295b908bab59,Political Event Coding as Text-to-Text Sequence Generation,2022,3,0,CASE,Yaoyao Dai; Benjamin J. Radford; Andrew Halterman,10.18653/v1/2022.case-1.16,,https://www.semanticscholar.org/paper/f4666ec25c7af298ed359c0eca05295b908bab59,,JournalArticle,https://aclanthology.org/2022.case-1.16.pdf,"We report on the current status of an effort to produce political event data from unstructured text via a Transformer language model. Compelled by the current lack of publicly available and up-to-date event coding software, we seek to train a model that can produce structured political event records at the sentence level. Our approach differs from previous efforts in that we conceptualize this task as one of text-to-text sequence generation. We motivate this choice by outlining desirable properties of text generation models for the needs of event coding. To overcome the lack of sufficient training data, we also describe a method for generating synthetic text and event record pairs that we use to fit our model.",title_exact,
classical-030,Important,Classical Political NLP and Information Extraction,Political event data and conflict information extraction,Creating Custom Event Data Without Dictionaries: A Bag-of-Tricks,2023,https://arxiv.org/abs/2304.01331,Modern bridge from dictionary event coding toward custom/LLM-assisted event data.,3a8d5ee46951eda62e38ca4d9b364de5387d8be4,Creating Custom Event Data Without Dictionaries: A Bag-of-Tricks,2023,9,1,arXiv.org,Andrew Halterman; Philip A. Schrodt; Andreas Beger; Benjamin E. Bagozzi; G. I. Scarborough,10.48550/arXiv.2304.01331,2304.01331,https://www.semanticscholar.org/paper/3a8d5ee46951eda62e38ca4d9b364de5387d8be4,2023-04-03,JournalArticle,http://arxiv.org/pdf/2304.01331,"Event data, or structured records of ``who did what to whom'' that are automatically extracted from text, is an important source of data for scholars of international politics. The high cost of developing new event datasets, especially using automated systems that rely on hand-built dictionaries, means that most researchers draw on large, pre-existing datasets such as ICEWS rather than developing tailor-made event datasets optimized for their specific research question. This paper describes a ``bag of tricks'' for efficient, custom event data production, drawing on recent advances in natural language processing (NLP) that allow researchers to rapidly produce customized event datasets. The paper introduces techniques for training an event category classifier with active learning, identifying actors and the recipients of actions in text using large language models and standard machine learning classifiers and pretrained ``question-answering'' models from NLP, and resolving mentions of actors to their Wikipedia article to categorize them. We describe how these techniques produced the new POLECAT global event dataset that is intended to replace ICEWS, along with examples of how scholars can quickly produce smaller, custom event datasets. We publish example code and models to implement our new techniques.",arxiv,
