curated_rank,curated_category,paperId,title,year,citationCount,seed_overlap_count,relevance_score,relation_summary,source_seed_titles,url,doi,arxiv,venue,authors,abstract
11,"Geopolitics, Diplomacy, and Strategic Simulation",7e47030443152e05cf721080e90d78c39338b294,When AI Navigates the Fog of War,2026,0,4,57.8,citation:4,Approaching Human-Level Forecasting with Language Models | Benchmarking LLMs for Political Science: A United Nations Perspective / United Nations Benchmark | ForecastBench: A Dynamic Benchmark of AI Forecasting Capabilities | MIRAI: Evaluating LLM Agents for Event Forecasting,https://www.semanticscholar.org/paper/7e47030443152e05cf721080e90d78c39338b294,,2603.16642,,Ming Li; Xirui Li; Tianyi Zhou,"Can AI reason about a war before its trajectory becomes historically obvious? Analyzing this capability is difficult because retrospective geopolitical prediction is heavily confounded by training-data leakage. We address this challenge through a temporally grounded case study of the early stages of the 2026 Middle East conflict, which unfolded after the training cutoff of current frontier models. We construct 11 critical temporal nodes, 42 node-specific verifiable questions, and 5 general exploratory questions, requiring models to reason only from information that would have been publicly available at each moment. This design substantially mitigates training-data leakage concerns, creating a setting well-suited for studying how models analyze an unfolding crisis under the fog of war, and provides, to our knowledge, the first temporally grounded analysis of LLM reasoning in an ongoing geopolitical conflict. Our analysis reveals three main findings. First, current state-of-the-art large language models often display a striking degree of strategic realism, reasoning beyond surface rhetoric toward deeper structural incentives. Second, this capability is uneven across domains: models are more reliable in economically and logistically structured settings than in politically ambiguous multi-actor environments. Finally, model narratives evolve over time, shifting from early expectations of rapid containment toward more systemic accounts of regional entrenchment and attritional de-escalation. Since the conflict remains ongoing at the time of writing, this work can serve as an archival snapshot of model reasoning during an unfolding geopolitical crisis, enabling future studies without the hindsight bias of retrospective analysis."
12,"Geopolitics, Diplomacy, and Strategic Simulation",ec7922ef52feca9f78f4f2a9062e7b71ef71d5c3,Managing Escalation in Off-the-Shelf Large Language Models,2025,0,3,57.0,citation:3,Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine | Critical Foreign Policy Decisions Benchmark: Measuring Diplomatic Preferences in Large Language Models | Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/ec7922ef52feca9f78f4f2a9062e7b71ef71d5c3,10.48550/arXiv.2508.01056,2508.01056,arXiv.org,Sebastian Elbaum; Jonathan Panter,"U.S. national security customers have begun to utilize large language models, including enterprise versions of ``off-the-shelf''models (e.g., ChatGPT) familiar to the public. This uptake will likely accelerate. However, recent studies suggest that off-the-shelf large language models frequently suggest escalatory actions when prompted with geopolitical or strategic scenarios. We demonstrate two simple, non-technical interventions to control these tendencies. Introducing these interventions into the experimental wargame design of a recent study, we substantially reduce escalation throughout the game. Calls to restrict the use of large language models in national security applications are thus premature. The U.S. government is already, and will continue, employing large language models for scenario planning and suggesting courses of action. Rather than warning against such applications, this study acknowledges the imminent adoption of large language models, and provides actionable measures to align them with national security goals, including escalation management."
13,"Geopolitics, Diplomacy, and Strategic Simulation",bb10ecd849b7b311d81d6924f89aa2dc787ebb05,Causal Reasoning and Large Language Models for Military Decision-Making: Rethinking the Command Structures in the Era of Generative AI,2026,0,2,55.8,citation:2,Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine | Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/bb10ecd849b7b311d81d6924f89aa2dc787ebb05,10.3390/ai7010014,,Applied Informatics,Dimitrios Doumanas; Andreas Soularidis; Konstantinos Kotis,"Military decision-making is inherently complex and highly critical, requiring commanders to assess multiple variables in real-time, anticipate second-order effects, and adapt strategies based on continuously evolving battlefield conditions. Traditional approaches rely on domain expertise, experience, and intuition, often supported by decision-support systems designed by military experts. With the rapid advancement of Large Language Models (LLMs) such as ChatGPT, Claude, and DeepSeek, a new research question emerges: can LLMs perform causal reasoning at a level that could meaningfully replace human decision-makers, or should they remain human-led decision-support tools in high-stakes environments? This paper explores the causal reasoning capabilities of LLMs for operational and strategic military decisions. Unlike conventional AI models that rely primarily on correlation-based predictions, LLMs are now able to engage in multi-perspective reasoning, intervention analysis, and scenario-based assessments. We introduce a structured empirical evaluation framework to assess LLM performance through 10 de-identified real-world-inspired battle scenarios, ensuring models reason over provided inputs rather than memorized data. Critically, LLM outputs are systematically compared against a human expert baseline, composed of military officers across multiple ranks and years of operational experience. The evaluation focuses on precision, recall, causal reasoning depth, adaptability, and decision soundness. Our findings provide a rigorous comparative assessment of whether carefully prompted LLMs can assist, complement, or approach expert-level performance in military planning. While fully autonomous AI-led command remains premature, the results suggest that LLMs can offer valuable support in complex decision processes when integrated as part of hybrid human-AI decision-support frameworks. Since our evaluation directly tests this capability, this paradigm shift raises fundamental question: Is there a possibility to fully replace high-ranking officers/commanders in leading critical military operations, or should AI-driven tools remain as decision-support systems enhancing human-driven battlefield strategies?"
14,"Geopolitics, Diplomacy, and Strategic Simulation",af91a7279ff3496824ac33e9088a780fa1192d5f,Effective and responsible use of large language models in strategic wargaming,2026,0,2,53.8,citation:2,Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine | Escalation Risks from Language Models in Military and Diplomatic Decision-Making,https://www.semanticscholar.org/paper/af91a7279ff3496824ac33e9088a780fa1192d5f,10.1177/15485129261438519,,"The Journal of Defence Modeling and Simulation: Applications, Methodology, Technology",H. Meerveld; Henry Brighton; Roy Lindelauf; Marie Safár Postma,"Wargaming is a key component of military strategic decision-making, providing a means to explore human decision-making processes. However, the military frequently depends on scarce wargaming expertise to ensure the quality of wargames. In this context, we examine the potential of large language models (LLMs) to produce useful texts that support wargaming activities. Contrary to previous studies unfavourably juxtaposing LLMs as decision-makers to their human counterparts, we focused on the potential use of these models for generating wargaming components. We conducted a study with wargaming experts to compare the effectiveness of human-created texts and LLM-generated texts across various tasks within the wargaming lifecycle. For all wargaming tasks for which the LLM-generated texts could be compared to the human-created texts, the LLM was able to match or even surpass human-level quality. This demonstrates that despite the dangers of LLMs when in the driving seat, even with minimal training, they can offer significant benefits in support of strategic wargaming, showing effective performance across multiple phases of the lifecycle. By reducing reliance on scarce wargaming expertise, LLMs can make wargaming more accessible. This allows the wargaming process to be more widely used within military strategic decision-making, ultimately enhancing the quality of human decision-making."
15,Multi-Agent Social and Political Simulation,7b508f5a3168e2ecfcb821752dcae576905a50c5,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,2024,87,1,57.92,reference:1,Large Language Models in Politics and Democracy: A Comprehensive Survey,https://www.semanticscholar.org/paper/7b508f5a3168e2ecfcb821752dcae576905a50c5,10.52202/079017-3548,2404.16698,Neural Information Processing Systems,Giorgio Piatti; Zhijing Jin; Max Kleiman-Weiner; Bernhard Schölkopf; Mrinmaya Sachan; Rada Mihalcea,"As AI systems pervade human life, ensuring that large language models (LLMs) make safe decisions remains a significant challenge. We introduce the Governance of the Commons Simulation (GovSim), a generative simulation platform designed to study strategic interactions and cooperative decision-making in LLMs. In GovSim, a society of AI agents must collectively balance exploiting a common resource with sustaining it for future use. This environment enables the study of how ethical considerations, strategic planning, and negotiation skills impact cooperative outcomes. We develop an LLM-based agent architecture and test it with the leading open and closed LLMs. We find that all but the most powerful LLM agents fail to achieve a sustainable equilibrium in GovSim, with the highest survival rate below 54%. Ablations reveal that successful multi-agent communication between agents is critical for achieving cooperation in these cases. Furthermore, our analyses show that the failure to achieve sustainable cooperation in most LLMs stems from their inability to formulate and analyze hypotheses about the long-term effects of their actions on the equilibrium of the group. Finally, we show that agents that leverage""Universalization""-based reasoning, a theory of moral thinking, are able to achieve significantly better sustainability. Taken together, GovSim enables us to study the mechanisms that underlie sustainable self-government with specificity and scale. We open source the full suite of our research results, including the simulation environment, agent prompts, and a comprehensive web interface."
16,Multi-Agent Social and Political Simulation,11a6d66791e244b01bf1a23a98158be789854876,From Individual to Society: A Survey on Social Simulation Driven by Large Language Model-based Agents,2024,71,2,53.49,citation:2,S3: Social-network Simulation System with Large Language Model-Empowered Agents | Simulating Influence Dynamics with LLM Agents,https://www.semanticscholar.org/paper/11a6d66791e244b01bf1a23a98158be789854876,10.1145/3800683,2412.03563,ACM Computing Surveys,Xinyi Mou; Xuanwen Ding; Qi He; Liang Wang; Jingcong Liang; Xinnong Zhang; Libo Sun; Jiayu Lin; Jie Zhou; Xuanjing Huang; Zhongyu Wei,"Traditional sociological research often relies on human participation, which, though effective, is expensive, challenging to scale, and with ethical concerns. Recent advancements in large language models (LLMs) highlight their potential to simulate human behavior, enabling the replication of individual responses and facilitating studies on many interdisciplinary studies. In this article, we conduct a comprehensive survey of this field, illustrating the recent progress in simulation driven by LLM-empowered agents. We categorize the simulations into three types: (1) Individual Simulation, which mimics specific individuals or demographic groups; (2) Scenario Simulation, where multiple agents collaborate to achieve goals within specific contexts; and (3) Society Simulation, which models interactions within agent societies to reflect the complexity and variety of real-world dynamics. These simulations follow a progression, ranging from detailed individual modeling to large-scale societal phenomena. We provide a detailed discussion of each simulation type, including the architecture or key components of the simulation, the classification of objectives or scenarios, and the evaluation method. Afterward, we summarize commonly used datasets, benchmarks and tools. Finally, we discuss the risks and challenges across these three types of simulation. A repository for the related sources is at https://github.com/FudanDISC/SocialAgent."
17,Multi-Agent Social and Political Simulation,57494e9f4eadbcdcd0dd4a6ba5c182dc64c0511d,ElectionSim: Massive Population Election Simulation Powered by Large Language Model Driven Agents,2024,37,4,59.1,citation:1; reference:3,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society | GA-S3: Comprehensive Social Network Simulation with Group Agents | Large Language Models in Politics and Democracy: A Comprehensive Survey | Large language models and political science,https://www.semanticscholar.org/paper/57494e9f4eadbcdcd0dd4a6ba5c182dc64c0511d,10.48550/arXiv.2410.20746,2410.20746,arXiv.org,Xinnong Zhang; Jiayu Lin; Libo Sun; Weihong Qi; Yihang Yang; Yue Chen; Hanjia Lyu; Xinyi Mou; Siming Chen; Jiebo Luo; Xuanjing Huang; Shiping Tang; Zhongyu Wei,"The massive population election simulation aims to model the preferences of specific groups in particular election scenarios. It has garnered significant attention for its potential to forecast real-world social trends. Traditional agent-based modeling (ABM) methods are constrained by their ability to incorporate complex individual background information and provide interactive prediction results. In this paper, we introduce ElectionSim, an innovative election simulation framework based on large language models, designed to support accurate voter simulations and customized distributions, together with an interactive platform to dialogue with simulated voters. We present a million-level voter pool sampled from social media platforms to support accurate individual simulation. We also introduce PPE, a poll-based presidential election benchmark to assess the performance of our framework under the U.S. presidential election scenario. Through extensive experiments and analyses, we demonstrate the effectiveness and robustness of our framework in U.S. presidential election simulations."
18,Multi-Agent Social and Political Simulation,2acbb0a3833c13ecaec963e6b481c13152d5d585,Network formation and dynamics among multi-LLMs,2024,35,3,55.98,citation:1; reference:2,Large language models empowered agent-based modeling and simulation: a survey and perspectives | S3: Social-network Simulation System with Large Language Model-Empowered Agents | Simulating Influence Dynamics with LLM Agents,https://www.semanticscholar.org/paper/2acbb0a3833c13ecaec963e6b481c13152d5d585,10.1093/pnasnexus/pgaf317,2402.10659,PNAS Nexus,Marios Papachristou; Yuan Yuan,"Abstract Social networks shape how humans form opinions, exchange information, and organize collectively. As large language models (LLMs) become embedded in social and professional environments, it is critical to understand whether their interactions resemble human network dynamics. We introduce a framework to study the network formation behaviors of multiple LLM agents and benchmark them against human decisions. Across synthetic and real-world settings, including friendship, telecommunication, and employment networks, LLMs reproduce core microlevel principles (preferential attachment, triadic closure, and homophily), and macrolevel properties (community structure, small-world effects). Their emphasis on these principles adapts to context: for example, LLMs favor homophily in friendship networks but heterophily in organizational settings, mirroring patterns of social mobility. A controlled survey shows strong alignment between LLM and human link-formation decisions. These results highlight LLMs’ potential as tools for social simulation and synthetic data generation, while underscoring risks of bias and fairness in AI systems that interact with human networks."
19,Multi-Agent Social and Political Simulation,5cd29f769cced349fb7c5affb5c6d27fb387a69c,Validation is the central challenge for generative social simulation: a critical review of LLMs in agent-based modeling,2025,12,4,59.57,citation:4,"Can Large Language Models Transform Computational Social Science? | Out of One, Many: Using Language Models to Simulate Human Samples | S3: Social-network Simulation System with Large Language Model-Empowered Agents | Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies",https://www.semanticscholar.org/paper/5cd29f769cced349fb7c5affb5c6d27fb387a69c,10.1007/s10462-025-11412-6,,Artificial Intelligence Review,Maik Larooij; Petter Törnberg,"Recent advances in Large Language Models (LLMs) have revitalized interest in Agent-Based Models (ABMs) by enabling “generative” simulations, with agents that can plan, reason, and interact through natural language. These developments promise greater realism and expressive power, but also revive long-standing concerns over empirical grounding, calibration, and validation—issues that have historically limited the uptake of ABMs in the social sciences. This paper systematically reviews the emerging literature on generative ABMs to assess how these long-standing challenges are being addressed. We map domains of application, categorize reported validation practices, and assess their alignment with the stated modeling goals. Our review suggests that the use of LLMs may exacerbate rather than alleviate the challenge of validating ABMs, given their black-box structure, cultural biases, and stochastic outputs. While the need for validation is increasingly acknowledged, studies often rely on face-validity or outcome measures that are only loosely tied to underlying mechanisms. Generative ABMs thus occupy an ambiguous methodological space—lacking both the parsimony of formal models and the empirical validity of data-driven approaches—and their contribution to cumulative social-scientific knowledge hinges on resolving this tension."
20,Multi-Agent Social and Political Simulation,c79d3682d8506601b3018e91951aa2c7c1da42c0,"Generative Exaggeration in LLM Social Agents: Consistency, Bias, and Toxicity",2025,8,2,56.77,citation:2,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society | Large language models reflect the ideology of their creators,https://www.semanticscholar.org/paper/c79d3682d8506601b3018e91951aa2c7c1da42c0,10.48550/arXiv.2507.00657,2507.00657,Online Soc. Networks Media,Jacopo Nudo; Mario Edoardo Pandolfo; Edoardo Loru; Mattia Samory; Matteo Cinelli; Walter Quattrociocchi,"We investigate how Large Language Models (LLMs) behave when simulating political discourse on social media. Leveraging 21 million interactions on X during the 2024 U.S. presidential election, we construct LLM agents based on 1,186 real users, prompting them to reply to politically salient tweets under controlled conditions. Agents are initialized either with minimal ideological cues (Zero Shot) or recent tweet history (Few Shot), allowing one-to-one comparisons with human replies. We evaluate three model families (Gemini, Mistral, and DeepSeek) across linguistic style, ideological consistency, and toxicity. We find that richer contextualization improves internal consistency but also amplifies polarization, stylized signals, and harmful language. We observe an emergent distortion that we call""generation exaggeration"": a systematic amplification of salient traits beyond empirical baselines. Our analysis shows that LLMs do not emulate users, they reconstruct them. Their outputs, indeed, reflect internal optimization dynamics more than observed behavior, introducing structural biases that compromise their reliability as social proxies. This challenges their use in content moderation, deliberative simulations, and policy modeling."
21,"Politics, Governance, and Public Opinion",e38a29f6463f38f43797b128673b9e44d18a991e,Whose Opinions Do Language Models Reflect?,2023,782,4,36.87,reference:4,Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations / Human vs. Machine | Benchmarking LLMs for Political Science: A United Nations Perspective / United Nations Benchmark | Can Large Language Models Transform Computational Social Science? | Large language models reflect the ideology of their creators,https://www.semanticscholar.org/paper/e38a29f6463f38f43797b128673b9e44d18a991e,,2303.17548,International Conference on Machine Learning,Shibani Santurkar; Esin Durmus; Faisal Ladhak; Cinoo Lee; Percy Liang; Tatsunori Hashimoto,"Language models (LMs) are increasingly being used in open-ended contexts, where the opinions reflected by LMs in response to subjective queries can have a profound impact, both on user satisfaction, as well as shaping the views of society at large. In this work, we put forth a quantitative framework to investigate the opinions reflected by LMs -- by leveraging high-quality public opinion polls and their associated human responses. Using this framework, we create OpinionsQA, a new dataset for evaluating the alignment of LM opinions with those of 60 US demographic groups over topics ranging from abortion to automation. Across topics, we find substantial misalignment between the views reflected by current LMs and those of US demographic groups: on par with the Democrat-Republican divide on climate change. Notably, this misalignment persists even after explicitly steering the LMs towards particular demographic groups. Our analysis not only confirms prior observations about the left-leaning tendencies of some human feedback-tuned LMs, but also surfaces groups whose opinions are poorly reflected by current LMs (e.g., 65+ and widowed individuals). Our code and data are available at https://github.com/tatsu-lab/opinions_qa."
22,"Politics, Governance, and Public Opinion",5456e833710dba2bb3ae92621fa89c27733b1db0,AI can help humans find common ground in democratic deliberation,2024,208,1,41.8,reference:1,Large Language Models in Politics and Democracy: A Comprehensive Survey,https://www.semanticscholar.org/paper/5456e833710dba2bb3ae92621fa89c27733b1db0,10.1126/science.adq2852,,Science,Michael Henry Tessler; Michiel A. Bakker; Daniel Jarrett; Hannah Sheahan; Martin J. Chadwick; Raphael Koster; Georgina Evans; Lucy Campbell-Gillingham; Tantum Collins; David C. Parkes; Matthew M. Botvinick; Christopher Summerfield,"Finding agreement through a free exchange of views is often difficult. Collective deliberation can be slow, difficult to scale, and unequally attentive to different voices. In this study, we trained an artificial intelligence (AI) to mediate human deliberation. Using participants’ personal opinions and critiques, the AI mediator iteratively generates and refines statements that express common ground among the group on social or political issues. Participants (N = 5734) preferred AI-generated statements to those written by human mediators, rating them as more informative, clear, and unbiased. Discussants often updated their views after the deliberation, converging on a shared perspective. Text embeddings revealed that successful group statements incorporated dissenting voices while respecting the majority position. These findings were replicated in a virtual citizens’ assembly involving a demographically representative sample of the UK population. Editor’s summary To act collectively, groups must reach agreement; however, this can be challenging when discussants present very different but valid opinions. Tessler et al. investigated whether artificial intelligence (AI) can help groups reach a consensus during democratic debate (see the Policy Forum by Nyhan and Titiunik). The authors trained a large language model called the Habermas Machine to serve as an AI mediator that helped small UK groups find common ground while discussing divisive political issues such as Brexit, immigration, the minimum wage, climate change, and universal childcare. Compared with human mediators, AI mediators produced more palatable statements that generated wide agreement and left groups less divided. The AI’s statements were more clear, logical, and informative without alienating minority perspectives. This work carries policy implications for AI’s potential to unify deeply divided groups. —Ekeoma Uzogara INTRODUCTION Democracy, at its best, rests upon the free and equal exchange of views among people with diverse perspectives. Collective deliberation can be effectively supported by structured events, such as citizens’ assemblies, but such events are expensive, are difficult to scale, and can result in voices being heard unequally. This study investigates the potential of artificial intelligence (AI) to overcome these limitations, using AI mediation to help people find common ground on complex social and political issues. RATIONALE We asked whether an AI system based on large language models (LLMs) could successfully capture the underlying shared perspectives of a group of human discussants by writing a “group statement” that the discussants would collectively endorse. Inspired by Jürgen Habermas’s theory of communicative action, we designed the “Habermas Machine” to iteratively generate group statements that were based on the personal opinions and critiques from individual users, with the goal of maximizing group approval ratings. Through successive rounds of human data collection, we used supervised fine-tuning and reward modeling to progressively enhance the Habermas Machine’s ability to capture shared perspectives. To evaluate the efficacy of AI-mediated deliberation, we conducted a series of experiments with over 5000 participants from the United Kingdom. These experiments investigated the impact of AI mediation on finding common ground, how the views of discussants changed across the process, the balance between minority and majority perspectives in group statements, and potential biases present in those statements. Lastly, we used the Habermas Machine for a virtual citizens’ assembly, assessing its ability to support deliberation on controversial issues within a demographically representative sample of UK residents. RESULTS Group opinion statements generated by the Habermas Machine were consistently preferred by group members over those written by human mediators and received higher ratings from external judges for quality, clarity, informativeness, and perceived fairness. AI-mediated deliberation also reduced division within groups, with participants’ reported stances converging toward a common position on the issue after deliberation; this result did not occur when discussants directly exchanged views, unmediated. Although support for the majority position increased after deliberation, the Habermas Machine demonstrably incorporated minority critiques into revised statements. We replicated these results in a virtual citizens’ assembly, additionally finding that during AI-mediated deliberation, the views of groups of discussants tended to move in a similar direction on controversial issues. These shifts were not attributable to biases in the AI, suggesting that the deliberation process genuinely aided the emergence of shared perspectives on potentially polarizing social and political issues. CONCLUSION This research demonstrates the potential of AI to enhance collective deliberation by finding common ground among discussants with diverse views. The AI-mediated approach is time-efficient, fair, scalable, and outperforms human mediators on key dimensions. Rather than simply appealing to the majority, the Habermas Machine prominently incorporated dissenting voices into the group statements. AI-assisted deliberation is not without its risks, however; to ensure fair and inclusive debate, steps must be taken to ensure users are representative of the target population and are prepared to contribute in good faith. Under such conditions, AI may be leveraged to improve collective decision-making across various domains, from contract negotiations and conflict resolution to political discussions and citizens’ assemblies. The Habermas Machine offers a promising tool for finding agreement and promoting collective action in an increasingly divided world. AI helps people find common ground in collective deliberation. (Left) The AI mediator uses participants’ opinions to generate group statements and iteratively refines those statements through participants’ critiques. (Middle) Statements from the AI mediator (purple) garner stronger endorsement than those written by a human mediator (orange). (Right) AI mediation leaves groups less divided after deliberation, whereas simply sharing opinions with others does not."
23,"Politics, Governance, and Public Opinion",f8b64c2dad165c92cfb43081c7e0ed70b077ae85,Large language models as a substitute for human experts in annotating political text,2024,94,1,54.09,reference:1,Large Language Models in Politics and Democracy: A Comprehensive Survey,https://www.semanticscholar.org/paper/f8b64c2dad165c92cfb43081c7e0ed70b077ae85,10.1177/20531680241236239,,Research &amp; Politics,Michael Heseltine; Bernhard Clemm von Hohenberg,"Large-scale text analysis has grown rapidly as a method in political science and beyond. To date, text-as-data methods rely on large volumes of human-annotated training examples, which place a premium on researcher resources. However, advances in large language models (LLMs) may make automated annotation increasingly viable. This paper tests the performance of GPT-4 across a range of scenarios relevant for analysis of political text. We compare GPT-4 coding with human expert coding of tweets and news articles across four variables (whether text is political, its negativity, its sentiment, and its ideology) and across four countries (the United States, Chile, Germany, and Italy). GPT-4 coding is highly accurate, especially for shorter texts such as tweets, correctly classifying texts up to 95% of the time. Performance drops for longer news articles, and very slightly for non-English text. We introduce a ‘hybrid’ coding approach, in which disagreements of multiple GPT-4 runs are adjudicated by a human expert, which boosts accuracy. Finally, we explore downstream effects, finding that transformer models trained on hand-coded or GPT-4-coded data yield almost identical outcomes. Our results suggest that LLM-assisted coding is a viable and cost-efficient approach, although consideration should be given to task complexity."
24,"Politics, Governance, and Public Opinion",407a8d6227ece351d9870f96576d4c287a746166,Demonstrations of the Potential of AI-based Political Issue Polling,2023,31,1,53.93,reference:1,Large Language Models in Politics and Democracy: A Comprehensive Survey,https://www.semanticscholar.org/paper/407a8d6227ece351d9870f96576d4c287a746166,10.48550/arXiv.2307.04781,2307.04781,"Issue 5.4, Fall 2023",Nathan Sanders; Alex Ulinich; B. Schneier,"Political polling is a multi-billion dollar industry with outsized influence on the societal trajectory of the United States and nations around the world. However, it has been challenged by factors that stress its cost, availability, and accuracy. At the same time, artificial intelligence (AI) chatbots have become compelling stand-ins for human behavior, powered by increasingly sophisticated large language models (LLMs). Could AI chatbots be an effective tool for anticipating public opinion on controversial issues to the extent that they could be used by campaigns, interest groups, and polling firms? We have developed a prompt engineering methodology for eliciting human-like survey responses from ChatGPT, which simulate the response to a policy question of a person described by a set of demographic factors, and produce both an ordinal numeric response score and a textual justification. We execute large scale experiments, querying for thousands of simulated responses at a cost far lower than human surveys. We compare simulated data to human issue polling data from the Cooperative Election Study (CES). We find that ChatGPT is effective at anticipating both the mean level and distribution of public opinion on a variety of policy issues such as abortion bans and approval of the US Supreme Court, particularly in their ideological breakdown (correlation typically>85%). However, it is less successful at anticipating demographic-level differences. Moreover, ChatGPT tends to overgeneralize to new policy issues that arose after its training data was collected, such as US support for involvement in the war in Ukraine. Our work has implications for our understanding of the strengths and limitations of the current generation of AI chatbots as virtual publics or online listening platforms, future directions for LLM development, and applications of AI tools to the political domain. (Abridged)"
25,"Politics, Governance, and Public Opinion",61d18f878dcd6ee9af171e45e763af114e6eced4,Emergence of human-like polarization among large language model agents,2025,23,1,48.9,reference:1,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,https://www.semanticscholar.org/paper/61d18f878dcd6ee9af171e45e763af114e6eced4,10.48550/arXiv.2501.05171,2501.05171,arXiv.org,J. Piao; Zhihong Lu; Chen Gao; Fengli Xu; F. P. Santos; Yong Li; James Evans,"Rapid advances in large language models (LLMs) have not only empowered autonomous agents to generate social networks, communicate, and form shared and diverging opinions on political issues, but have also begun to play a growing role in shaping human political deliberation. Our understanding of their collective behaviours and underlying mechanisms remains incomplete, however, posing unexpected risks to human society. In this paper, we simulate a networked system involving thousands of large language model agents, discovering their social interactions, guided through LLM conversation, result in human-like polarization. We discover that these agents spontaneously develop their own social network with human-like properties, including homophilic clustering, but also shape their collective opinions through mechanisms observed in the real world, including the echo chamber effect. Similarities between humans and LLM agents -- encompassing behaviours, mechanisms, and emergent phenomena -- raise concerns about their capacity to amplify societal polarization, but also hold the potential to serve as a valuable testbed for identifying plausible strategies to mitigate polarization and its consequences."
26,"Politics, Governance, and Public Opinion",66d89814faca6ca8209cf23ca4ce64e91ab5d035,A Large-Scale Simulation on Large Language Models for Decision-Making in Political Science,2024,7,1,52.72,citation:1,Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/66d89814faca6ca8209cf23ca4ce64e91ab5d035,,2412.15291,,Chenxiao Yu; Jin Ye; Yuangang Li; Zheng Li; Emilio Ferrara; Xiyang Hu; Yue Zhao,"While LLMs have demonstrated remarkable capabilities in text generation and reasoning, their ability to simulate human decision-making -- particularly in political contexts -- remains an open question. However, modeling voter behavior presents unique challenges due to limited voter-level data, evolving political landscapes, and the complexity of human reasoning. In this study, we develop a theory-driven, multi-step reasoning framework that integrates demographic, temporal and ideological factors to simulate voter decision-making at scale. Using synthetic personas calibrated to real-world voter data, we conduct large-scale simulations of recent U.S. presidential elections. Our method significantly improves simulation accuracy while mitigating model biases. We examine its robustness by comparing performance across different LLMs. We further investigate the challenges and constraints that arise from LLM-based political simulations. Our work provides both a scalable framework for modeling political decision-making behavior and insights into the promise and limitations of using LLMs in political science research."
27,"Politics, Governance, and Public Opinion",a0a77a0d66e213c6014aefb8f9a0705aed0da1f5,Echoes of Power: Investigating Geopolitical Bias in US and China Large Language Models,2025,5,2,61.89,citation:2,Biased LLMs can Influence Political Decision-Making | Political-LLM: Large Language Models in Political Science,https://www.semanticscholar.org/paper/a0a77a0d66e213c6014aefb8f9a0705aed0da1f5,10.48550/arXiv.2503.16679,2503.16679,Humanities and Social Sciences Communications,Antônio Pacheco; Athus Cavalini; Giovanni Comarela,"Large Language Models (LLMs) have emerged as powerful tools for generating human-like text, transforming human-machine interactions. However, their widespread adoption has raised concerns about their potential to influence public opinion and shape political narratives. In this work, we investigate the geopolitical biases in US and Chinese LLMs, focusing on how these models respond to questions related to geopolitics and international relations. We collected responses from ChatGPT and DeepSeek to a set of geopolitical questions and evaluated their outputs through both qualitative and quantitative analyses. Our findings show notable biases in both models, reflecting distinct ideological perspectives and cultural influences. However, despite these biases, for a set of questions, the models' responses are more aligned than expected, indicating that they can address sensitive topics without necessarily presenting directly opposing viewpoints. This study highlights the potential of LLMs to shape public discourse and underscores the importance of critically assessing AI-generated content, particularly in politically sensitive contexts."
